SILVER BLAZE	白銀の失踪
Conan Doyle	コナンドイル
``I am afraid, Watson that I shall have to go,''	「ワトソン君、僕は行（ゆ）かなきゃならないんだがね」
said Holmes as we sat down together to our breakfast one morning.	ある朝、一緒に食事をしている時にホームズがいった。
``Go! Where to?''	「行くってどこへ？」
``To Dartmoor;	「ダートムアだ
to King's Pyland.''	――キングス・パイランドだ」
I was not surprised.	私は格別おどろきもしなかった。
Indeed, my only wonder was that he had not already been mixed up in this extraordinary case, which was the one topic of conversation through the length and breadth of England.	事実、私は、今全イングランドの噂の種になっているこの驚くべき事件に、ホームズが関係しないということをむしろ不思議にさえ思っていたのである。
For a whole day my companion had rambled about the room with his chin upon his chest and his brows knitted, charging and recharging his pipe with the strongest black tobacco, and absolutely deaf to any of my questions or remarks.	前の日、ホームズは終日眉根をよせた顔を首垂（うなだ）れて、強い黒煙草をパイプにつめかえつめかえ部屋の中を歩き廻ってばかりいて、私が何を話しかけても何を訊ねても石のように黙りこくっていた。
Fresh editions of every paper had been sent up by our news agent, only to be glanced over and tossed down into a corner.	あらゆる新聞の新らしい版が出るごとに、いちいち配達所から届けられたが、それすらちょっと眼を通すだけですぐに部屋の隅へ投げすてた。
Yet, silent as he was, I knew perfectly well what it was over which he was brooding.	しかも、彼が一言も口をきかないにも拘らず、彼の頭脳（あたま）の中で考えられていることは、私にはよく分っていた。
There was but one problem before the public which could challenge his powers of analysis, and that was the singular disappearance of the favourite for the Wessex Cup, and the tragic murder of its trainer.	いま彼の推理力と太刀打ちの出来る問題といえばただ一つ、ウェセックス賞杯（カップ）争覇戦出場の名馬の奇怪なる失踪と、その調馬師の惨殺された事件があるのみだ。
When, therefore, he suddenly announced his intention of setting out for the scene of the drama, it was only what I had both expected and hoped for.	だから彼が突然、その悲劇の現場（げんじょう）へ行くといい出したことは、私にとっては予期していたことでありまた希望していたことでもあったのだ。
``I should be most happy to go down with you if I should not be in the way,''	「差支えがなければ僕も行ってみたいんだがね」
said I.	と、私はいった。
``My dear Watson, you would confer a great favour upon me by coming.	「君に来てもらえれば大変有難いんだが。
And I think that your time will not be misspent, for there are points about the case which promise to make it an absolutely unique one.	この事件は極めて特異なものだと思われる節があるから、君にしたって行くことはまんざらむだにはなるまいと思う。
We have, I think, just time to catch our train at Paddington,	今からパディントン停車場へ行けば、ちょうど汽車の時間にいいだろう。
and I will go further into the matter upon our journey.	委（くわ）しいことは途々（みちみち）話すとして、
You would oblige me by bringing with you your very excellent field-glass.''	すまないが君のあの上等の双眼鏡を持って来てくれたまえ」
And so it happened that an hour or so later I found myself in the corner of a first-class carriage flying along en route for Exeter,	それから一時間あまりの後には、私はエクスタ行の一等車の一隅に腰かけていた。
while Sherlock Holmes, with his sharp, eager face framed in his ear-flapped travelling-cap, dipped rapidly into the bundle of fresh papers which he had procured at Paddington.	シャーロック・ホームズは耳垂れつきの旅行用ハンチングを被った顔を緊張させて、パディントンで新らたに買った新聞に忙しそうに眼を通していた。
We had left Reading far behind us before he thrust the last one of them under the seat and offered me his cigar-case.	そしてリイディングをずっと過ぎた頃、彼はそれ等の新聞をまとめて座席の下へ突込み、シガー・ケースを取出して私にもすすめた。
``We are going well,''	「至極順調に走ってるようだね」
said he, looking out of the window	ホームズは窓の外を眺めながらそういった。
and glancing at his watch.	そして時計を出して見て、
``Our rate at present is fifty-three and a half miles an hour.''	「今ちょうど速力は一時間五十三哩（まいる）半だ」
``I have not observed the quarter-mile posts,''	「四分の一哩標が見えなかったようだが」
said I.	と、私はいった。
``Nor have I.	「僕はそんなものは見やしないよ、
But the telegraph posts upon this line are sixty yards apart, and the calculation is a simple one.	だが、この線路の電柱は六十ヤードごとに立ってるのだから計算は極めて簡単に出来るんだ。
I presume that you have looked into this matter of the murder of John Straker and the disappearance of Silver Blaze?''	ところで、ジョン・ストレーカ殺しと白銀号（しろがねごう）失踪事件については、もう十分知ってるんだろうね？」
``I have seen what the Telegraph and the Chronicle have to say.''	「テレグラフ紙とクロニクル紙との記事は読んだ」
``It is one of those cases where the art of the reasoner should be used rather for the sifting of details than for the acquiring of fresh evidence.	「この事件も探究の方法としては、新らしい証拠を求めるよりも、既に知れている些末な事実を分析し淘汰して行く方が、賢い方法かも知れぬ。
The tragedy has been so uncommon, so complete, and of such personal importance to so many people that we are suffering from a plethora of surmise, conjecture, and hypothesis.	今度の事件は非常に珍らしい事件で巧妙に行われ、その上多大の人々に重大な関係を持ってるものだから、いろいろと揣摩臆説が行われるんで困らされてるんだが、
The difficulty is to detach the framework of fact -- of absolute undeniable fact -- from the embellishments of theorists and reporters.	要するに問題は事実の骨組を、絶対に動かすべからざる事実の骨組を、諸説紛々たる報道の中から掴み出せばいいんだ。
Then, having established ourselves upon this sound basis, it is our duty to see what inferences may be drawn and what are the special points upon which the whole mystery turns.	そして、それが出来たら、そのしっかりとした根底の上に立って、そこからいかなる推論が出て来るか、事件の秘密はどの点にかかっているかということを発見するのが我々の役目だ。
On Tuesday evening I received telegrams from both Colonel Ross, the owner of the horse, and from Inspector Gregory, who is looking after the case, inviting my cooperation.''	僕は火曜日の晩に、馬の持主のロス大佐と事件担当のグレゴリ警部との両方から、来て一緒に調べてくれという依頼の電報を受け取ったんだ」
``Tuesday evening!''	「火曜日の晩に？」
I exclaimed.	私は叫んだ。
``And this is Thursday morning.	「今日は木曜日じゃないか。
Why didn't you go down yesterday?''	何んだって昨日のうちに行かなかったんだい？」
``Because I made a blunder, my dear Watson	「僕がどじを踏んだんだよ君、
-- which is, I am afraid, a more common occurrence than anyone would think who only knew me through your memoirs.	そうした失敗は、君の記録によってのみ僕を知る人々が考えているよりもはるかにちょいちょい僕にはあるんだよ。
The fact is	こういうわけさ、
that I could not believe it possible that the most remarkable horse in England could long remain concealed, especially in so sparsely inhabited a place as the north of Dartmoor.	――イングランド一流の名馬がそう長く行方の知れないわけがない、殊にダートムアの北部のような人口の稀れな地方にあっては、そんなことはあり得ないと考えたんだ。
From hour to hour yesterday I expected to hear that he had been found, and that his abductor was the murderer of John Straker.	だから、昨日は、今に馬盗人が知れた、そしてストレーカ殺しもその馬盗人と同一人だったと知らせて来るかと、そればかり待ち暮したんだよ、
When, however, another morning had come and I found that beyond the arrest of young Fitzroy Simpson nothing had been done, I felt that it was time for me to take action.	しかし、また一日が空しくすぎて、今朝になってみると、フィツロイ・シンプソンという青年が捕まったきりで、事が少しも捗らないようだから、いよいよ自分の出場（でば）が来たと思ったんだ。
Yet in some ways I feel that yesterday has not been wasted.''	とはいっても、昨日だって決して空費したわけではないがね」
``You have formed a theory, then?''	「じゃ、見込でもついたのかね？」
``At least I have got a grip of the essential facts of the case.	「少くとも事件の主要な事実だけは掴んだ。
I shall enumerate them to you,	それを君に話してきかそう。
for nothing clears up a case so much as stating it to another person, and I can hardly expect your cooperation if I do not show you the position from which we start.''	他人に事件の経緯（いきさつ）を話してきかせるくらい自分の考えをはっきりさせ得ることはないのだし、それに事件をよく知ってもらって、どこから手をつけるべきかを話しておかないと、君にしても助力のしようがあるまいからね」
I lay back against the cushions, puffing at my cigar, while Holmes, leaning forward, with his long, thin forefinger checking off the points upon the palm of his left hand, gave me a sketch of the events which had led to our journey.	私はクッションに身を埋（うず）めて葉巻を吹かしながら、ホームズが身体を前へ乗り出して、要点ごとに細長い人差指で左の掌を叩き、事件の大体を話すのをきくのであった。
``Silver Blaze,'' said he, ``is from the Somomy stock and holds as brilliant a record as his famous ancestor.	「白銀号というのはアイソノミ系の馬だが、祖先の名を恥かしめぬ立派な記録を持っている。
He is now in his fifth year and has brought in turn each of the prizes of the turf to Colonel Ross, his fortunate owner.	今は五歳で競馬のあるたびに賞品をみんな攫って来るんで、持主のロス大佐は非常にうまくやってるわけだ。
Up to the time of the catastrophe he was the first favourite for the Wessex Cup, the betting being three to one on him.	現に今度の事件の起るまで、白銀号といえばウェセクス賞杯（しょうはい）争覇戦第一の人気馬で、賭もほかの馬に対して三対一という割合だった。
He has always, however, been a prime favourite with the racing public and has never yet disappointed them, so that even at those odds enormous sums of money have been laid upon him.	それほど競馬界切っての人気をつづけて来ながら、まだ一度もその贔負に失望を与えたことがないものだから、少々ぐらい賭金は高くても、依然として白銀号には莫大な金が賭けられるというわけなんだ。
It is obvious, therefore, that there were many people who had the strongest interest in preventing Silver Blaze from being there at the fall of the flag next Tuesday.	だから、この火曜日の決戦に白銀号が出られなくするということは、多くの人々に非常な利害関係を持つことになる。
``The fact was, of course, appreciated at King's Pyland, where the colonel's training-stable is situated. Every precaution was taken to guard the favourite.	この事実は、むろん大佐の調馬場のあるキングス・パイランドではよく心得ていた、
The trainer, John Straker, is a retired jockey who rode in Colonel Ross's colours before he became too heavy for the weighing-chair.	調馬師のジョン・ストレーカという男はもと騎手で、ロス大佐の騎手をやっていたが、体重が重くなったので止めたんだ。
He has served the colonel for five years as jockey and for seven as trainer, and has always shown himself to be a zealous and honest servant.	騎手として五年、調馬師として七年大佐に仕えているが、その間いつも熱心で正直な男としてつとめて来た、
Under him were three lads, for the establishment was a small one, containing only four horses in all.	規模の小さな調馬場で、馬が四頭しかいなかったから、ストレーカの下に三人の若い者がいるだけで、
One of these lads sat up each night in the stable, while the others slept in the loft.	そのうちの一人が毎晩厩舎（うまや）に寝ずの番をし、あとの二人は厩舎の二階に寝ることになっていた。
All three bore excellent characters.	三人とも至極性質のよい若者だ。
John Straker, who is a married man lived in a small villa about two hundred yards from the stables.	ストレーカには妻があって、厩舎から二百ヤードばかりはなれたところにある小さな家（うち）に住んでいた。
He has no children, keeps one maidservant, and is comfortably off.	子供はないが女中を一人おいて気楽に暮していた。
The country round is very lonely, but about half a mile to the north there is a small cluster of villas which have been built by a Tavistock contractor for the use of invalids and others who may wish to enjoy the pure Dartmoor air.	この附近は極めて淋しいところで、だだ半哩ばかり北の方に、タヴィストック市のある請負師が、病人や、ダートムアの新鮮な空気を楽しみたいという人達をあてこんで建てた別荘風の家が一かたまりあるだけだ。
Tavistock itself lies two miles to the west, while across the moor, also about two miles distant, is the larger training establishment of Mapleton,	タヴィストックへは西へ二哩ばかりあり、荒地（あれち）を越して二哩ばかり行くと、ケープルトンにはかなり大きな調馬場がある。
which belongs to Lord Backwater and is managed by Silas Brown.	これはバックウォータ卿の所有で、サイラス・ブラウンという男が管理している。
In every other direction the moor is a complete wilderness, inhabited only by a few roaming gypsies.	そのほかどっちを見ても、荒地は全く人気（ひとげ）というものがなく、ただわずかに漂白（さすらい）のジプシーが二三いるくらいのものだ。
Such was the general situation last Monday night when the catastrophe occurred.	これが日曜の晩に事件が起るまでの大体の状況だ。
``On that evening the horses had been exercised and watered as usual, and the stables were locked up at nine o'clock.	当夜はいつもの通り馬を運動させて、水をやった上九時に厩舎の戸を閉めて戸締りをした。
Two of the lads walked up to the trainer's house, where they had supper in the kitchen, while the third, Ned Hunter, remained on guard.	そして三人の若い者のうち二人は台所で夕飯を食べに調馬師の家まで歩いて行くし、あとの一人ネッド・ハンタだけは厩舎に残って番をしていた、
At a few minutes after nine the maid, Edith Baxter, carried down to the stables his supper, which consisted of a dish of curried mutton.	すると、女中のエディス・バクスタが九時ちょっとすぎに、羊のカレ料理の夕飯を運んで来てくれたが、それには飲みものは何も添えてなかった。
She took no liquid, as there was a water-tap in the stables, and it was the rule that the lad on duty should drink nothing else.	仕事中は水以外の飲みものは飲んでならないことになっていたし、水なら厩舎にいくらでも出る栓があるからだ。
The maid carried a lantern with her, as it was very dark and the path ran across the open moor.	非常に暗い晩だったので、それに途中は淋しい荒地だったので女中は提灯を持っていた。
``Edith Baxter was within thirty yards of the stables when a man appeared out of the darkness and called to her to stop.	女中のエディス・バクスタは厩舎から三十ヤードばかりのところまで来ると、暗がりの中から不意に声をかけて一人の男が現われて来た。
As she stepped into the circle of yellow light thrown by the lantern she saw that he was a person of gentlemanly bearing, dressed in a gray suit of tweeds, with a cloth cap.	提灯の投げる丸い光の圏内まで来たのを見ると、鼠色のスコッチの服を着て羅紗のハンチングを被った紳士風の男で、
He wore gaiters and carried a heavy stick with a knob to it.	ゲートルをつけて、握りの玉になってる太いステッキを持っていたという。
She was most impressed, however, by the extreme pallor of his face and by the nervousness of his manner.	が、エディスが特に印象づけられたのは、顔色がひどく蒼ざめて、何んとなく挙動のそわそわしてることだった。
His age, she thought, would be rather over thirty than under it.	年は三十をちょっとすぎたくらいだったという。
```Can you tell me where I am?'	「一体ここはどこなんですか？」
he asked.	と男は訊ねた。
`I had almost made up my mind to sleep on the moor when I saw the light of your lantern.'	「仕方がないからこの荒野で野宿をしようと決心してるところへ、お前さんの灯が見えたんでホッとしたわけですよ」
```You are close to the King's Pyland training stables,'	「ここはキングス・パイランド調馬場のすぐ側（わき）です」
```Oh, indeed!	「おお、そうだったか！
What a stroke of luck!'	それはまあ何んという仕合せなことだろう！
`I understand that a stable-boy sleeps there alone every night.	ふむ、毎晩一人ずつ厩舎で寝るんだと見えるな。
Perhaps that is his supper which you are carrying to him.	それでいまお前さんが夕飯を持って行って来たんだな。
Now I am sure that you would not be too proud to earn the price of a new dress, would you?'	ところでお前さん、新らしい着物が一重ね拵えられるお金の儲かる話があるんだが、嫌だなんて見栄を張るお前さんじゃありますまいね？」
He took a piece of white paper folded up out of his waistcoat pocket.	男はチョッキのポケットから折りたたんだ白い紙を取出して、
`See that the boy has this to-night, and you shall have the prettiest frock that money can buy.'	「これを今晩の中（うち）に厩番（うまやばん）に手渡してくれれば、お前さんは飛切上等（じょうら）の晴着が手に入るんだがね」
``She was frightened by the earnestness of his manner and ran past him to the window through which she was accustomed to hand the meals.	「女中がこの男の様子があんまり真剣だったので恐くなって、すりぬけるようにしていつも食事を渡すことになってる厩舎の窓のところへ駈けて行った。
It was already opened, and Hunter was seated at the small table inside.	と、ハンタはもう窓を開けて、小さなテーブルに向って食事をしていた。
She had begun to tell him of what had happened when the stranger came up again.	ネッド実はいまこれこれだと話しかけてると、そこへまたも先刻（さっき）の男が追っかけて来た。
```Good-evening,'	「今晩は」
looking through the window.	男は窓から中を覗き込みながら、
`I wanted to have a word with you.'	「実はお前さんに少々話したいことがあるんですがね」
The girl has sworn that as he spoke she noticed the corner of the little paper packet protruding from his closed hand.	とハンタに声をかけたが、その時に手に握っていた小さな紙包の端がチラッと見えたと、後で女中は断言している。
```What business have you here?'	「何用で来なすったのかね？」
asked the lad.	ハンタは反問した。
'' `It's business that may put something into your pocket,'	「お前さんの儲かる耳よりな話なんだがね。
`You've two horses in for the Wessex Cup	ここにはウェセクス賞杯戦に出る馬が二頭いる
-- Silver Blaze and Bayard.	――白銀と栗毛と
Let me have the straight tip and you won't be a loser.	――お前さん確実な予想を教えてくれませんかね、決して悪いようにはしないが。
Is it a fact that at the weights Bayard could give the other a hundred yards in five furlongs, and that the stable have put their money on him?'	重量の点で、栗毛は八分の五哩で白銀に百ヤードは分があるというんで、馬主筋はみんな栗毛に賭けたというが本当かね？」
```So, you're one of those damned touts!'	「うむ、さては手前は馬の様子を探りに来たスパイだな？
`I'll show you how we serve them in King's Pyland.'	よしッ！
He sprang up and rushed across the stable to unloose the dog.	とハンタは叫んで、犬を放しに走った。
The girl fled away to the house, but as she ran she looked back and saw that the stranger was leaning through the window.	女中はそのまま家の方へ駈け戻ったが、走りながら振返ってみると、その男は窓から中へ半身を乗り入れるようにしていたという。
A minute later, however, when Hunter rushed out with the hound he was gone, and though he ran all round the buildings he failed to find any trace of him.''	けれどもそれから一分間後に、ハンタが犬をつれて外へ飛び出して見た時には、もうその男はいなかったので、厩舎のまわりを駈けずりまわって探してみたが、どこにも姿は見えなかった。」［＃「」」は底本では欠落］
``One moment,''	「ちょっと」
I asked.	私はホームズを遮った。
``Did the stable-boy, when he ran out with the dog, leave the door unlocked behind him?''	「ハンタは犬をつれて飛び出した時、厩舎の戸締りをしないでおったのかい？」
``Excellent,	「素敵！
Watson, excellent!''	素敵だ！
``The importance of the point struck me so forcibly that I sent a special wire to Dartmoor yesterday to clear the matter up.	その点が非常に大切だと思ったから、僕は昨日ダートムアへ電報を打って訊ねてみた。
The boy locked the door before he left it.	ハンタは出る時鍵をかけたそうだ。
The window, I may add, was not large enough for a man to get through.	そして窓は、人間の入れるほどの大きさはないという。
``Hunter waited until his fellow-grooms had returned, when he sent a message to the trainer and told him what had occurred.	ハンタは仲間が食事から帰って来るのを待って、親方の調馬師に事の次第を報告に出かけた。
Straker was excited at hearing the account, although he does not seem to have quite realized its true significance.	ストレーカはそれをきくとひどく昂奮して、それが何を意味するか分らなかったらしいが、漠然たる不安を感じたらしかった。
It left him, however, vaguely uneasy, and Mrs. Straker, waking at one in the morning, found that he was dressing.	そして夜の一時に細君がふと眼を覚ましてみると、服を着かけていたという。
In reply to her inquiries, he said that he could not sleep on account of his anxiety about the horses, and that he intended to walk down to the stables to see that all was well.	細君が驚いてその理由（わけ）を訊ねると、馬のことが心配になって眠れないから、厩舎に間違いでもないかを見に行くつもりだという。
She begged him to remain at home, as she could hear the rain pattering against the window, but in spite of her entreaties he pulled on his large mackintosh and left the house.	ちょうど雨が窓を打つ音をきいたので、細君はどうぞ家（うち）にいてくれと願ったが、泣かんばかりに願ったが肯（きき）入れないで、大きな雨外套に身を包んでそのまま出ていってしまった。
``Mrs. Straker awoke at seven in the morning	細君が翌朝眼を覚ましたのは七時だった。
to find that her husband had not yet returned.	が、その時はまだストレーカは帰っていなかった。
She dressed herself hastily, called the maid, and set off for the stables.	そこで細君は急いで着物を着て、女中を呼んで一緒に厩舎まで行ってみた。
The door was open;	すると、厩舎の戸は開け放しになっていて、
inside, huddled together upon a chair, Hunter was sunk in a state of absolute stupor, the favourite's stall was empty, and there were no signs of his trainer.	中にはハンタが椅子にうずくまって深い深い眠りに落ちているばかりで、白銀の厩舎は藻抜けの殻で、ストレーカの姿も見えなかった。
``The two lads who slept in the chaff-cutting loft above the harness-room were quickly aroused.	馬具部屋の二階の乾草の中に眠っている二人の若い者をすぐに呼び起したが、
They had heard nothing during the night, for they are both sound sleepers.	二人とも寝ぼすけな性質（たち）なので、夜中に何もきかなかったという。
Hunter was obviously under the influence of some powerful drug,	ハンタはむろん強い薬品のために眠っているのに違いなかった。
and as no sense could be got out of him, he was left to sleep it off while the two lads and the two women ran out in search of the absentees.	ゆり起してみたが、全く正体なく眠っているので、それはそのままにしておいて、二人の若者と二人の女とで、ストレーカと白銀とを探しに［＃「に」は底本では「た」］飛び出して行った。
They still had hopes that the trainer had for some reason taken out the horse for early exercise,	というのは、ストレーカが何かの理由で朝早くから白銀を運動させにつれて行ったものだろうと思われたから。
but on ascending the knoll near the house, from which all the neighbouring moors were visible, they not only could see no signs of the missing favourite, but they perceived something which warned them that they were in the presence of a tragedy.	だが、厩舎の傍の低い丘へかけ上ってみると、そこからは八方の荒地（あれち）が見渡せるが、どっちを見ても名馬の影すら見えないばかりか、何か不吉なことが起ったんだなという予感を起させられたのだった。
``About a quarter of a mile from the stables John Straker's overcoat was flapping from a furze-bush.	厩舎から四分の一哩ばかりのところのはりえにしだの藪にストレーカの外套が引っかかっていた。
Immediately beyond there was a bowl-shaped depression in the moor, and at the bottom of this was found the dead body of the unfortunate trainer.	そしてすぐその先に鉢形の凹（くぼ）みがあって、その底に不幸な調馬師の死体が発見された。
His head had been shattered by a savage blow from some heavy weapon,	何か重い兇器でやられたらしく、頭蓋骨は粉砕され、腿にも傷があった。
and he was wounded on the thigh, where there was a long, clean cut, inflicted evidently by some very sharp instrument.	腿の傷は極めて鋭い兇器でやられたらしく、長く鮮かに切られていた。
It was clear, however, that Straker had defended himself vigorously against his assailants, for in his right hand he held a small knife, which was clotted with blood up to the handle, while in his left he clasped a red and black silk cravat,	ストレーカ自身もよほど烈しく抵抗したものと見え、右の手には柄元までべっとり血のついた小さなナイフをしっかりと握り、左の手には赤と黒との絹の襟飾（ネクタイ）を掴んでいた。
which was recognized by the maid as having been worn on the preceding evening by the stranger who had visited the stables.	この襟飾（ネクタイ）は、前夜厩舎へ来た見知らぬ男のつけていたものに間違いないと女中が申し立てた。
Hunter, on recovering from his stupor, was also quite positive as to the ownership of the cravat.	昏睡からさめたハンタも、この襟飾（ネクタイ）の持主に関しては同様のことを証言した。
He was equally certain that the same stranger had, while standing at the window, drugged his curried mutton, and so deprived the stables of their watchman.	そして自分がこんなに眠ったのも、あの男が窓の外に立ってる時、羊のカレー料理に薬を混ぜたのに相違ないと力んだ。
As to the missing horse, there were abundant proofs in the mud which lay at the bottom of the fatal hollow that he had been there at the time of the struggle.	失踪した名馬に関しては、ストレーカの格闘中その辺にいたものと見え、死の凹みの附近に無数の足跡があったが、
