To Build a Fire	火を起こす
Jack London	ジャック・ロンドン
Day had broken	夜が明けた。
cold and grey,	風は冷たく空は暗い。
exceedingly cold and grey,	きわめて冷たくきわめて暗い。
when the man turned aside from the main Yukon trail and climbed the high earth-zbank,	男はユーコンの本道を外れ、高い土手を登っていた。
where a dim and little-travelled trail led eastward through the fat spruce timberland.	その道はいかにも頼りないものだったが、東へ、トウヒの森の向こうに通じているはずだった。
It was a steep bank, and he paused for breath at the top,	急峻な土手を登りつめ、息を整える。
excusing the act to himself by looking at his watch.	それをごまかそうと懐中時計をとりだす。
It was nine o'clock.	9時。
There was no sun nor hint of sun,	太陽はその気配すらない。
though there was not a cloud in the sky.	が、空が曇っているわけでもない。
It was a clear day,	空は澄みきっていた。
and yet there seemed an intangible pall over the face of things,	それでもあたりのものは不透明な幕がはっているようだった。
a subtle gloom that made the day dark,	日を暗く染めるかすかな闇。
and that was due to the absence of sun.	太陽がないからだ。
This fact did not worry the man.	だからといって男は困惑したりしなかった。
He was used to the lack of sun.	太陽がないのには慣れている。
It had been days since he had seen the sun, and he knew that a few more days must pass before that cheerful orb, due south, would just peep above the sky-line and dip immediately from view.	太陽が昇ったのは数日前、だから、お天道様が南の地平線から顔を出し、即座に引っ込むのが見られるのはあと何日か経ってのことだと知っていた。
The man flung a look back along the way he had come.	男は今きた道を振り返った。
The Yukon lay a mile wide and hidden under three feet of ice.	ユーコン川は1マイルにわたって厚さ1メートルの氷の下に閉ざされている。
On top of this ice were as many feet of snow.	この氷の上にもやはり1メートルほどの雪。
It was all pure white, rolling in gentle undulations where the ice-jams of the freeze-up had formed.	氷雪が風に吹かれて波のようにうねる白銀の世界。
North and south, as far as his eye could see, it was unbroken white,	北も南も目の届くかぎり見事なほどの白さだった。
save for a dark hair-line that curved and twisted from around the spruce-covered island to the south,	ただ、トウヒが密生する島から南にかけて黒い線がほっそりと曲がりくねっているのを除けば。
and that curved and twisted away into the north, where it disappeared behind another spruce-covered island.	その線はさらに曲がりくねって北に向かい、トウヒが密生する、先とは別の島のところで消えている。
This dark hair-line was the trail--the main trail--that led south five hundred miles to the Chilcoot Pass, Dyea, and salt water;	この細い黒線が道――本道――であり、これを500マイル南に下ればチルクート・パスに続きダイーを抜けて海に出る。
and that led north seventy miles to Dawson, and still on to the north a thousand miles to Nulato, and finally to St. Michael on Bering Sea, a thousand miles and half a thousand more.	北に何マイルかいけばドーソンがあり、そこからさらに1,000マイル進めばヌラトがあり、さらに1,500マイルの道のりを経てベーリング海に面するセント・ミカエルに達する。
But all this	けれどもどれもみな
--the mysterious, far-reaching hairline trail, the absence of sun from the sky, the tremendous cold, and the strangeness and weirdness of it all	――頼りない長大な道も、太陽のない空も、猛烈な寒気も、この地の不可思議さはどれもみな
--made no impression on the man.	――男の心に訴えるものではなかった。
It was not because he was long used to it.	そうしたことに長く慣れ親しんでいたからではない。
He was a new-comer in the land, a chechaquo, and this was his first winter.	男は新参者であり、この地の冬を体験するのもこれがはじめてだった。
The trouble with him was that he was without imagination.	想像力の欠如、それが問題だったのだ。
He was quick and alert in the things of life, but only in the things, and not in the significances.	日々の物事には聡かったが、物事についてのみであり、その真意には疎かった。
Fifty degrees below zero	華氏-50度（摂氏だと約-45度）。
meant eighty odd degrees of frost.	氷点下80度あまり。
Such fact impressed him as being cold and uncomfortable, and that was all.	それを凍てつく不快なものだととらえることはできたが、それで終わりだった。
It did not lead him to meditate upon his frailty as a creature of temperature, and upon man's frailty in general, able only to live within certain narrow limits of heat and cold;	そこから自分が温度変化に弱い生物だということを省みたりはしなかったし、一定の温度範囲内でしか生きられないという人間に共通する弱点にも思いが至らなかった。
and from there on it did not lead him to the conjectural field of immortality and man's place in the universe.	そしてもちろん、そこから、不死性という憶測上の分野や宇宙における人間の立場といったことへと思いをはせることもなかった。
Fifty degrees below zero stood for a bite of frost that hurt and that must be guarded against by the use of mittens, ear-flaps, warm moccasins, and thick socks.	-50度、つまりミトンや帽子や厚い靴下で防ぎうる寒さ。
Fifty degrees below zero was to him just precisely fifty degrees below zero.	男にとって、-50度はまさしく-50度でしかなかったのだ。
That there should be anything more to it than that was a thought that never entered his head.	それ以上の意味があるとはまったく思いもしなかった。
As he turned to go on, he spat speculatively.	男は向き直って何気なく唾を吐いた。
There was a sharp, explosive crackle that startled him.	何かが爆ぜたような鋭い音が男を驚かせた。
He spat again.	もう一度唾を吐く。
And again, in the air, before it could fall to the snow, the spittle crackled.	するとふたたび、唾は雪の上に落ちることなく、空中で弾け飛んだ。
He knew that at fifty below spittle crackled on the snow, but this spittle had crackled in the air.	-50度で唾を吐くと雪に触れたとたん弾け飛ぶのは知っていたが、今は空中で弾け飛んだ。
Undoubtedly it was colder than fifty below	間違いなく今は-50度どころではないのだ
--how much colder he did not know.	――いったい何度になっているのか、見当もつかなかった。
But the temperature did not matter.	しかし気温などどうでもいい。
He was bound for the old claim	男は前からの約束を果たさなければならなかった。
on the left fork of Henderson Creek, where the boys were already.	ヘンダーソン・クリークを左にいったキャンプでは子どもたちがもう待っているはずなのだ。
They had come over across the divide from the Indian Creek country, while he had come the roundabout way to take a look at the possibilities of getting out logs in the spring from the islands in the Yukon.	かれらが分水嶺を渡ってインディアン・クリークからそこに向かっている間、男はユーコンの島々から湖に沈んでいる丸太を回収できないものか確かめるため、回り道をしていた。
He would be in to camp by six o'clock;	6時までにはキャンプについておきたかった。
a bit after dark, it was true, but the boys would be there, a fire would be going, and a hot supper would be ready.	着く少し前に真っ暗になってしまうが、子どもたちは火と夕食を用意しておいてくれるだろう。
As for lunch,	昼は大丈夫だ。
he pressed his hand against the protruding bundle under his jacket.	男はジャケットの膨らみをなでた。
It was also under his shirt, wrapped up in a handkerchief and lying against the naked skin.	ハンカチで包んだランチがシャツの中に素肌と直接触れる形で入れてある。
It was the only way to keep the biscuits from freezing.	こうしないとサンドイッチは凍りついてしまう。
He smiled agreeably to himself	男はひとりサンドイッチのことを思ってにやついた。
as he thought of those biscuits, each cut open and sopped in bacon grease, and each enclosing a generous slice of fried bacon.	どれも、切れ目をいれてベーコンオイルを塗りこみ、豪勢にフライドベーコンをはさんである。
He plunged in among the big spruce trees.	トウヒの大木が立ち並ぶ林に分け入った。
The trail was faint.	道はかすか。
A foot of snow had fallen since the last sled had passed over,	最後のそりが通った後に30センチもの雪が積もっていた。
and he was glad he was without a sled, travelling light.	そりを置いて身軽な格好できたのは正解だったと思った。
In fact, he carried nothing but the lunch wrapped in the handkerchief.	事実、男はハンカチに包んだランチ以外に何も持っていなかった。
He was surprised, however, at the cold.	けれども寒さには閉口していた。
It certainly was cold, he concluded, as he rubbed his numbed nose and cheek-bones with his mittened hand.	寒すぎる、と断じつつ、ミトンにくるまれた手でかじかんだ鼻と頬をこすった。
He was a warm-whiskered man, but the hair on his face did not protect the high cheek-bones and the eager nose that thrust itself aggressively into the frosty air.	髭は濃いほうだったが、凍てつくような空気にさらされている高い頬と突き出た鼻は髭でどうなるものではなかった。
At the man's heels trotted a dog,	男は足元に犬を1匹従えていた。
a big native husky, the proper wolf-dog, grey-coated and without any visible or temperamental difference from its brother, the wild wolf.	この地で生まれた大型ハスキーで、灰色の毛に覆われている。
The animal was depressed by the tremendous cold.	この動物も猛烈な寒さに元気をなくしていた。
It knew that it was no time for travelling.	今は旅ができる時期ではないのを知っていた。
Its instinct told it a truer tale than was told to the man by the man's judgment.	その本能は、男の理性よりも正しいことを告げていた。
In reality, it was not merely colder than fifty below zero;	現実として、気温は-50度より低い、どころではなかったのだ。
it was colder than sixty below, than seventy below.	-60度よりも、-70度よりも低かった。
It was seventy-five below zero.	-75度（摂氏だと約-60度）。
Since the freezing-point is thirty-two above zero, it meant that one hundred and seven degrees of frost obtained.	氷点は+32度だから、氷点下107度ということになる。
The dog did not know anything about thermometers.	犬は温度計のことなどまったく知らなかった。
Possibly in its brain there was no sharp consciousness of a condition of very cold such as was in the man's brain.	おそらく、頭の中での理解にかけては男のほうがより鋭く知覚していたことだろう。
But the brute had its instinct.	しかし、獣には本能があった。
It experienced a vague but menacing apprehension that subdued it and made it slink along at the man's heels, and that made it question eagerly every unwonted movement of the man as if expecting him to go into camp or to seek shelter somewhere and build a fire.	本能から、その漠然としてはいるが圧倒的な不安を感じとり、力なく男の後に従いつつ、男が予期せぬ行動をとるたびに、キャンプに入ろうとしているか、あるいは火を起こせる避難所を探そうとしているのではないかと期待して、熱心にその様子を見守った。
The dog had learned fire, and it wanted fire,	犬はすでに火のことを学習しており、いままさに火を欲していた。
or else to burrow under the snow and cuddle its warmth away from the air.	そうでなければ、雪に穴を掘って潜りこみ、体温を奪う空気から身を守ろうとしたことだろう。
The frozen moisture of its breathing had settled on its fur in a fine powder of frost,	吐き出す息に含まれる水分が霧氷となって毛にからみつく。
and especially were its jowls, muzzle, and eyelashes whitened by its crystalled breath.	特に、あごや鼻や睫毛は真っ白に染まっていた。
The man's red beard and moustache were likewise frosted, but more solidly, the deposit taking the form of ice and increasing with every warm, moist breath he exhaled.	男の赤い髭も同様だったが、こちらの場合は、暖かくて湿った息を吐き出すたび、雪達磨式に量を増やしていった。
Also, the man was chewing tobacco, and the muzzle of ice held his lips so rigidly that he was unable to clear his chin when he expelled the juice.	また、煙草を噛んでいるために鼻から息をせねばならず、そのせいで口元がコチコチに凍りついてしまい、唾を吐くときに口を大きくあけることができなくなっていた。
The result was that a crystal beard of the colour and solidity of amber was increasing its length on his chin.	結果、氷結した顎鬚と琥珀の氷柱はあごの先からどんどん伸びていった。
If he fell down it would shatter itself, like glass, into brittle fragments.	もしそれをかき払おうものなら、まるでガラスのように、粉々に砕け散ってしまう。
But he did not mind the appendage.	だが、男はあごの荷物を気にしていなかった。
It was the penalty all tobacco-chewers paid in that country,	それはこの地で煙草を噛む者が払わなければならない代償だ。
and he had been out before in two cold snaps.	以前も二度、寒い時期に出かけたことがあった。
They had not been so cold as this, he knew, but by the spirit thermometer at Sixty Mile he knew they had been registered at fifty below and at fifty-five.	そのときがこれほどまでに寒くはなかったのは分かっているけれど、シックスティ・マイルのアルコール寒暖計が指し示した温度はそれぞれ-50度と-55度だったのも知っているのだ。
He held on through the level stretch of woods for several miles, crossed a wide flat of nigger-heads,	男は数マイルにわたって広がる森に入り、縺れ絡まる木々の枝根をとびこえかいくぐりながら進んだ。
and dropped down a bank to the frozen bed of a small stream.	やがて森は終わり、凍りついた小川に沿う土手にぶつかる。
This was Henderson Creek,	ここがヘンダーソン・クリークだ。
and he knew he was ten miles from the forks.	分かれ道まであと10マイル。
He looked at his watch.	時計を見た。
It was ten o'clock.	10時。
He was making four miles an hour,	1時間で4マイル進んでいる。
and he calculated that he would arrive at the forks at half-past twelve.	計算では12時半には分かれ道につく。
He decided to celebrate that event by eating his lunch there.	着いたらそこでランチにするとしよう。
The dog dropped in again at his heels, with a tail drooping discouragement, as the man swung along the creek-bed.	男が河川敷を歩き出すと、犬は尾を力なく引きずりながらふたたびその足元を追った。
The furrow of the old sled-trail was plainly visible, but a dozen inches of snow covered the marks of the last runners.	かつてのそり道ははっきりと目に見えていたが、最後のそりが通ってから数十センチの雪が積もっていた。
In a month no man had come up or down that silent creek.	1ヶ月もの間誰一人としてこの静かな入り江にきたものがなかったのだ。
The man held steadily on.	男はどんどん先に進んでいった。
He was not much given to thinking,	なにかを考えたりすることもなかった。
and just then particularly he had nothing to think about save that he would eat lunch at the forks and that at six o'clock he would be in camp with the boys.	そもそも、分かれ道でのランチや6時には子どもたちの待つキャンプに入りたいという予定以外にはとりたてて考えるべきことがなかった。
There was nobody to talk to and, had there been, speech would have been impossible because of the ice-muzzle on his mouth.	話相手もいなかったし、仮にいたとしても、口をあけることができない以上話などできるはずがなかった。
So he continued monotonously to chew tobacco and to increase the length of his amber beard.	だから、黙々と煙草を噛んでは琥珀色の顎鬚を伸ばしつづけた。
Once in a while the thought reiterated itself that it was very cold and that he had never experienced such cold.	思い出したように、ひどい寒さだ、こんなに寒いのははじめてだと考えることもあった。
As he walked along he rubbed his cheek-bones and nose with the back of his mittened hand.	歩きながらミトンにくるまれた手の甲で頬骨と鼻をこする。
He did this automatically, now and again changing hands.	男はそれを、ときどき手を変えながら、機械的に繰り返した。
But rub as he would, the instant he stopped his cheek-bones went numb, and the following instant the end of his nose went numb.	けれどもいくらこすっても、手を止めたとたんに頬骨が感覚を失い、次の瞬間には鼻が感覚を失った。
He was sure to frost his cheeks;	頬の凍傷は間違いなかった。
he knew that, and experienced a pang of regret that he had not devised a nose-strap of the sort Bud wore in cold snaps.	それを知って、バドが寒い時期に使っていたような鼻あてを作っておかなかったのをふと後悔した。
Such a strap passed across the cheeks, as well, and saved them.	それから両頬にまたがって寒さを防ぐあてものを。
But it didn't matter much, after all.	だが、結局のところそれはたいしたことではない。
What were frosted cheeks?	頬の凍傷がなんだというんだ？
A bit painful, that was all;	軽い痛み、それだけじゃないか。
they were never serious.	深刻なものじゃない。
Empty as the man's mind was of thoughts, he was keenly observant, and he noticed the changes in the creek, the curves and bends and timber- jams,	頭の中が空っぽになるにつれ研ぎ澄まされる観察力で、入り江のくぼみやたわみ、潅木の変化に留意する。
and always he sharply noted where he placed his feet.	そして、たゆむことなく鋭敏に足を置くべき場所を見ぬく。
Once, coming around a bend, he shied abruptly, like a startled horse, curved away from the place where he had been walking, and retreated several paces back along the trail.	一度だけ、たわんでいるあたりに近づいてしまったが、とっさに、まるで驚いた馬のように後ずさりし、前歩いていた場所を迂回して、道に沿いながら何歩か後退した。
The creek he knew was frozen clear to the bottom	クリークは底まで凍りついているのを男は知っていた
--no creek could contain water in that arctic winter	――この地の冬に水をたたえる入り江など存在しない
--but he knew also that there were springs that bubbled out from the hillsides and ran along under the snow and on top the ice of the creek.	――が、同じく、丘の中腹から湧きたち、雪の下をくぐってクリークの氷の上を流れる泉があることも知っていた。
He knew that the coldest snaps never froze these springs,	そして、こうした泉がいちばん寒い時期にでも完全には凍りつかないのを知っていた。
and he knew likewise their danger.	そしてその危険さも。
They were traps.	それは罠なのだ。
They hid pools of water under the snow that might be three inches deep, or three feet.	雪の下には10センチ、ときには1メートルもの水が隠されている。
Sometimes a skin of ice half an inch thick covered them, and in turn was covered by the snow.	ときには厚さ0.5インチ程度の氷しか張っておらず、その上に雪が積もっている場合もある。
Sometimes there were alternate layers of water and ice-skin, so that when one broke through he kept on breaking through for a while, sometimes wetting himself to the waist.	ときには複層的に氷が張っていることもあり、1枚めを踏み割ったとたん次々に割っていくことになり、ときには腰の辺りまでずぶぬれにしてしまうこともあった。
That was why he had shied in such panic.	だから男はそれほどまでに慌てふためいて後ずさりしたのだ。
He had felt the give under his feet and heard the crackle of a snow-hidden ice-skin.	男は足元のたわみを感じ取り、雪に隠された薄氷が割れる音を聞き取っていた。
And to get his feet wet in such a temperature meant trouble and danger.	このように寒い中で足を濡らしてしまうのは厄介な、危険な事態だ。
At the very least it meant delay,	最低でも予定が遅れる。
for he would be forced to stop and build a fire, and under its protection to bare his feet while he dried his socks and moccasins.	というのも、火を起こし、靴下と靴を乾かす間、無防備になる足を守らなければならないからだ。
He stood and studied the creek-bed and its banks, and decided that the flow of water came from the right.	男は立ったまま入り江の河川敷と土手を調べ、水は右手から流れてきていると判断した。
He reflected awhile, rubbing his nose and cheeks, then skirted to the left, stepping gingerly and testing the footing for each step.	鼻と頬をこすりながらしばし考え、左に迂回し、慎重に慎重に、1歩ずつ足場を確かめながら歩を進めた。
Once clear of the danger,	危険地帯は抜けた。
he took a fresh chew of tobacco and swung along at his four-mile gait.	新しい噛み煙草をとりだし、これまでの4マイルに及ぶ道のりをふりかえる。
In the course of the next two hours he came upon several similar traps.	次の2時間も何度か同じような罠に出くわした。
Usually the snow above the hidden pools had a sunken, candied appearance that advertised the danger.	大抵、隠された水たまりの上に積もった雪は落ちくぼんでおり、見た目がキャンディー状になっていたから、危険はすぐに察知できた。
Once again, however, he had a close call;	だが一度だけ、今度も間一髪のところで免れたときがあった。
and once, suspecting danger, he compelled the dog to go on in front.	そして一度など、危険そうな気がしたために、犬を先に行かせようとした。
The dog did not want to go.	犬は行きたがらなかった。
It hung back until the man shoved it forward, and then it went quickly across the white, unbroken surface.	無理やり前に押し出すと、猛スピードでひびひとつない白色の表面を突っ切ろうとした。
Suddenly it broke through, floundered to one side, and got away to firmer footing.	突如、足元が崩壊したため、犬は固い地面まで死に物狂いで逃げた。
It had wet its forefeet and legs,	犬は足を4本とも濡らしてしまっていた。
and almost immediately the water that clung to it turned to ice.	そしてその水はあっという間に凍りついた。
It made quick efforts to lick the ice off its legs, then dropped down in the snow and began to bite out the ice that had formed between the toes.	犬はすぐに足をなめて氷をはがし、爪の間にできた氷は噛み落とした。
This was a matter of instinct.	これは本能によるものだった。
To permit the ice to remain would mean sore feet.	その氷を張りつけたままにしておいたとしたら足を傷めてしまっていたことだろう。
It did not know this.	だが、犬はそんなことは知らなかった。
It merely obeyed the mysterious prompting that arose from the deep crypts of its being.	ただその存在の根底から湧き上がってきた不可思議な処理命令に従っただけのことなのだ。
But the man knew,	だが男はそれを知っていた。
having achieved a judgment on the subject, and he removed the mitten from his right hand and helped tear out the ice- particles.	問題の件に判断をつけながら、右手のミトンを外し、細かい氷をかき落とすのを手伝う。
He did not expose his fingers more than a minute, and was astonished at the swift numbness that smote them.	そうして指を外気にさらしていたのは1分ほどでしかなかったのに、そこから感覚がなくなっていくその早さには驚かざるをえなかった。
He pulled on the mitten hastily, and beat the hand savagely across his chest.	あわててミトンをつけ、その手を激しく胸にたたきつけた。
At twelve o'clock the day was at its brightest.	12時、空がもっとも明るくなった。
Yet the sun was too far south on its winter journey to clear the horizon.	といっても、太陽は冬特有の南すぎる軌道をとるせいで、地平線の上には出てこなかった。
The bulge of the earth intervened between it and Henderson Creek,	ヘンダーソン・クリークと地平線との間にある地面はふっくらと膨らんでいる。
where the man walked under a clear sky at noon and cast no shadow.	そこを、いま男は、明るい空の下、影を投げることなく歩いていた。
At half-past twelve, to the minute, he arrived at the forks of the creek.	12時半、クリークの分岐路に到着。
He was pleased at the speed he had made.	男はその歩みの順調さに喜んだ。
If he kept it up, he would certainly be with the boys by six.	この調子でいけば、6時には子どもたちに会える。
He unbuttoned his jacket and shirt and drew forth his lunch.	ジャケットの前を開き、シャツの中からランチを取り出した。
The action consumed no more than a quarter of a minute, yet in that brief moment the numbness laid hold of the exposed fingers.	その行為が要したのは若干15秒ほどにすぎなかったが、むきだしの手からはあっという間に感覚がなくなっていった。
