To Build a Fire	火を起こす
for the wires were drawn, and the fingers did not obey.	というのは神経は働かなくなってしまっていて、指は男の意志に従わなかったからだ。
He pulled the mitten on the right hand, and beat it fiercely against his knee.	右手にミトンをつけ、膝に激しくたたきつける。
Then, with both mittened hands, he scooped the bunch of matches, along with much snow, into his lap.	それから両手で、ミトンをしたまま、マッチを大量の雪ごとすくいあげ、膝に広げた。
Yet he was no better off.	けれどもそこからはうまくいかなかった。
After some manipulation he managed to get the bunch between the heels of his mittened hands.	何度かやっているうちに、ミトンにくるまれた両手の付け根の間に、なんとかマッチの束をはさみこんだ。
In this fashion he carried it to his mouth.	そうやって口元に運んだ。
The ice crackled and snapped when by a violent effort he opened his mouth.	氷が砕ける派手な音をたてながら、強引に口をあける。
He drew the lower jaw in, curled the upper lip out of the way, and scraped the bunch with his upper teeth in order to separate a match.	顎をひき、上唇をまくりあげて、前歯でひっかけるようにしてマッチを1本だけひきぬこうとする。
He succeeded in getting one, which he dropped on his lap.	うまいこと1本だけ抜け、膝の上に落ちた。
He was no better off.	けれどもそこからはうまくいかなかった。
He could not pick it up.	それをつまみあげることはできなかったのだ。
Then he devised a way.	それから、違うやり方を思いついた。
He picked it up in his teeth and scratched it on his leg.	歯でくわえあげ、脚で擦る。
Twenty times he scratched before he succeeded in lighting it.	20回ほど擦ったところで、ようやく火がついた。
As it flamed he held it with his teeth to the birch-bark.	燃え上がるそれを歯でくわえたまま、樺の樹皮へと近づける。
But the burning brimstone went up his nostrils and into his lungs, causing him to cough spasmodically.	だが硫黄の燃える臭いが鼻腔をつき、肺に入りこみ、せきこんでしまった。
The match fell into the snow and went out.	マッチは雪に落ち、消えた。
The old-timer on Sulphur Creek was right, he thought in the moment of controlled despair that ensued:	サルファ・クリークの古参者は正しい、自制した絶望の中で男はそう思った。
after fifty below, a man should travel with a partner.	-50度以下のときはパートナーを連れて旅するべきなのだ。
He beat his hands, but failed in exciting any sensation.	男は手で体をたたいてみたが、なんの感覚も感じられなかった。
Suddenly he bared both hands, removing the mittens with his teeth.	とつぜん男は、歯を使って、両手からミトンをはぎとった。
He caught the whole bunch between the heels of his hands.	マッチを束ごと、両手首ではさむ。
His arm-muscles not being frozen enabled him to press the hand-heels tightly against the matches.	腕の筋肉はまだ凍りついていなかったから、マッチをしっかりと両手首でつかむことができた。
Then he scratched the bunch along his leg.	それから、脚で一気に擦った。
It flared into flame, seventy sulphur matches at once!	70本のマッチが一時に燃え上がる！
There was no wind to blow them out.	風は吹いておらず、吹き消される心配はなかった。
He kept his head to one side to escape the strangling fumes, and held the blazing bunch to the birch-bark.	煙たさに顔を背けながら、樺の樹皮に燃え盛るマッチの束を近づける。
As he so held it, he became aware of sensation in his hand.	そのままこらえているうちに、手に感覚があるのに気付いた。
His flesh was burning.	肉が焼けていた。
He could smell it.	その臭いがたちこめた。
Deep down below the surface he could feel it.	皮膚のずっと奥で、それを感じることができた。
The sensation developed into pain that grew acute.	その感覚は痛みとなり、その痛みはどんどん増していった。
And still he endured it, holding the flame of the matches clumsily to the bark	それでも男は、燃え盛るマッチの束を樹皮に押しつけたまま、耐えつづけた。
that would not light readily because his own burning hands were in the way, absorbing most of the flame.	男の両手が炎の大部分を遮ってしまっていたから、火はなかなか点かなかった。
At last, when he could endure no more, he jerked his hands apart.	とうとう男はこれ以上耐えられなくなり、腕を広げた。
The blazing matches fell sizzling into the snow,	燃え盛るマッチは雪に落ち、ジュッという音を立てて消えた。
but the birch-bark was alight.	が、樹皮には火が点いていた。
He began laying dry grasses and the tiniest twigs on the flame.	男はその上に枯草や小枝を乗せはじめた。
He could not pick and choose, for he had to lift the fuel between the heels of his hands.	両手首でつかむことしかできなかったから、選んで乗せることはできなかった。
Small pieces of rotten wood and green moss clung to the twigs, and he bit them off as well as he could with his teeth.	小枝にこびりついていた腐った木片や青々とした苔は、歯で削るのはもちろん、ときには噛みとったりもした。
He cherished the flame carefully and awkwardly.	男はその炎を、慎重に、ぎこちなく慈しんだ。
It meant life, and it must not perish.	それは生命を意味するのだ、絶やしてはならない。
The withdrawal of blood from the surface of his body now made him begin to shiver,	体表にはますます血がめぐらなくなり、震えが襲ってきた。
and he grew more awkward.	それでますます動きがぎこちなくなった。
A large piece of green moss fell squarely on the little fire.	青い苔の塊がその小さな火の上にまともに落ちた。
He tried to poke it out with his fingers, but his shivering frame made him poke too far, and he disrupted the nucleus of the little fire,	指でそれを突き払おうとしたが、震えのせいで的外れな場所を突いてしまい、小さな火の中心を崩してしまった。
the burning grasses and tiny twigs separating and scattering.	火が点いていた枯草や小枝がばらばらに散らばる。
He tried to poke them together again, but in spite of the tenseness of the effort, his shivering got away with him, and the twigs were hopelessly scattered.	今度は散らばったものを突き寄せようとしたが、気を張り詰めて試みたのに、震えのせいでまったくうまくいかず、火種はあえなく散らばっていった。
Each twig gushed a puff of smoke and went out.	それぞれがすうっと煙を上げ、消えた。
The fire-provider had failed.	火造りは失敗した。
As he looked apathetically about him, his eyes chanced on the dog,	無表情に周囲を見渡し、ふと犬に目を留める。
sitting across the ruins of the fire from him, in the snow,	犬は焚火の残骸の向こうに、雪の中、そわそわして座っていた。
making restless, hunching movements, slightly lifting one forefoot and then the other, shifting its weight back and forth on them with wistful eagerness.	前足を前後にせわしなく動かすその様子は、熱心に何かを求めるときのものだった。
The sight of the dog put a wild idea into his head.	犬を見たとたん、乱暴なアイデアが頭に浮かんだ。
He remembered the tale of the man, caught in a blizzard, who killed a steer and crawled inside the carcass, and so was saved.	暴風雪に襲われたとき、難を逃れようとして連れていた牛を殺し、その死体を盾にして実際難を逃れた男の話を思い出したのだ。
He would kill the dog and bury his hands in the warm body until the numbness went out of them.	犬を殺し、両手をまだ暖かい体に突っこんで感覚をとりもどす。
Then he could build another fire.	それからもう一度火を起こしなおせばよい。
He spoke to the dog, calling it to him;	男は犬に話しかけ、呼び寄せようとした。
but in his voice was a strange note of fear that frightened the animal,	けれども、その声には滅多にない怖れの色が表われていたため、その動物は怯えた。
who had never known the man to speak in such way before.	男からそのような口の聞き方をされるのは始めてだったのだ。
Something was the matter, and its suspicious nature sensed danger,	何かがある、そしてそれを動物の疑り深い天性から危険ととらえた
--it knew not what danger but somewhere, somehow, in its brain arose an apprehension of the man.	――どんな危険だかは知らないが、脳の片隅に、どういうわけか、男に対する不信が湧き上がってきたのだ。
It flattened its ears down at the sound of the man's voice,	男の声の響きに、犬はぺたんと耳を閉じた。
and its restless, hunching movements and the liftings and shiftings of its forefeet became more pronounced but it would not come to the man.	まえよりも激しくそわそわし、前足を前後に動かしはじめたが、どうしても男のそばにはやってこようとしなかった。
He got on his hands and knees and crawled toward the dog.	男は四つん這いになって犬のほうに向かってきた。
This unusual posture again excited suspicion, and the animal sidled mincingly away.	この常ならぬ姿勢はふたたび疑惑を湧き起こさせ、動物はつんとして男を遠ざけた。
The man sat up in the snow for a moment and struggled for calmness.	男はなんとか落ちつこうとしながら雪の上に立ちあがった。
Then he pulled on his mittens, by means of his teeth, and got upon his feet.	それからミトンを、歯ではぎとり、足につけた。
He glanced down at first in order to assure himself that he was really standing up,	一瞬目を下にやり、自分が本当に立っているかどうかを確かめた。
for the absence of sensation in his feet left him unrelated to the earth.	感覚のない足では地面とのつながりが分からなくなっていのだ。
His erect position in itself started to drive the webs of suspicion from the dog's mind;	立ちあがった男の姿勢それ自体が、犬の頭に疑惑の網をはりはじめた。
and when he spoke peremptorily, with the sound of whip-lashes in his voice, the dog rendered its customary allegiance and came to him.	断固とした、鞭の風切音の口真似を交えた口調で話しかけると、犬は習慣づけられた忠誠心を発揮して男の元にやってきた。
As it came within reaching distance, the man lost his control.	手の届く範囲にまでやってきたときにはもう、自制できなかった。
His arms flashed out to the dog,	腕をさっと伸ばす。
and he experienced genuine surprise when he discovered that his hands could not clutch, that there was neither bend nor feeling in the lingers.	が、自分の手にはつかむことができず、曲げることすらできなくなっているのを知り、また感覚が微塵もなくなっているのを知って、正真正銘の驚きを体験した。
He had forgotten for the moment that they were frozen and that they were freezing more and more.	両手が凍えてしまっており、なお凍えていきつつあるのを忘れていたのだ。
All this happened quickly,	ここまで、あっという間だった。
and before the animal could get away, he encircled its body with his arms.	犬は、逃げきる前に、男の腕にからめとられていた。
He sat down in the snow,	男はそのまま雪の上に座った。
while it snarled and whined and struggled.	犬は唸り、鼻を鳴らし、もがいた。
But it was all he could do,	けれども男にできたのはそこまでだった。
hold its body encircled in his arms and sit there.	犬をかき抱いたままそこに座る。
He realized that he could not kill the dog.	殺せない、と悟った。
There was no way to do it.	やりようがない。
With his helpless hands he could neither draw nor hold his sheath-knife nor throttle the animal.	この役に立たなくなった手ではナイフを握ることも、その鞘を払うことも、犬を屠ることもできない。
He released it, and it plunged wildly away, with tail between its legs, and still snarling.	放してやると、犬はまだ唸りながら、尾を足の間にいれて猛烈な勢いで男のそばを離れた。
It halted forty feet away and surveyed him curiously,	十数メートルほど離れたところから男を不思議そうにながめる。
with ears sharply pricked forward.	両耳をぴんと立てて。
The man looked down at his hands in order to locate them,	男は、見下ろして、自分の両手の位置を確かめた。
and found them hanging on the ends of his arms.	腕の先にぶらさがっている。
It struck him as curious	ふと、可笑しくなった。
that one should have to use his eyes in order to find out where his hands were.	自分の手がどこにあるのか、目で見ないと分からない、なんてことがあるとはね。
He began threshing his arms back and forth, beating the mittened hands against his sides.	男は手を大きく前後に振って、ミトンをした手を脇腹に打ち付けはじめた。
He did this for five minutes, violently, and his heart pumped enough blood up to the surface to put a stop to his shivering.	ひたむきに5分間やりつづけると、心臓がばくばくと脈打って体表を温め、震えはおさまった。
But no sensation was aroused in the hands.	だが、手には何の感覚もなかった。
He had an impression that they hung like weights on the ends of his arms,	手はまるで両腕の先端にぶらさがる重りみたいな感じだった。
but when he tried to run the impression down, he could not find it.	けれどもその感覚を追求しようとすると、それは消え去ってしまう。
A certain fear of death, dull and oppressive, came to him.	死の恐怖が男の頭の中にどんよりとたちこめた。
This fear quickly became poignant	この恐怖はすぐに強烈なものになり、男を刺激した。
as he realized that it was no longer a mere matter of freezing his fingers and toes, or of losing his hands and feet, but that it was a matter of life and death with the chances against him.	もはや手や足の指を、あるいは手足もろともを壊死させずにすむかどうかという問題ではなく、生きるか死ぬかの問題が男につきつけられていた。
This threw him into a panic, and he turned and ran up the creek-bed along the old, dim trail.	それに気付いた男はパニックに陥り、河川敷の消えかかっている道を走り出した。
The dog joined in behind and kept up with him.	犬がその後を追う。
He ran blindly, without intention, in fear such as he had never known in his life.	これまで生きてきた中で一度も経験したことないほどの恐怖に、男は無我夢中で走りつづけた。
Slowly, as he ploughed and floundered through the snow, he began to see things again	ざくざくと雪を蹴立てているうちに、ゆっくりと、現実が見えるようになってきた
--the banks of the creek, the old timber-jams, the leafless aspens, and the sky.	――クリークの土手、古い潅木、葉を落とした木々、大空が。
The running made him feel better.	走ったおかげで体の調子はよくなっていた。
He did not shiver.	震えはおさまっている。
Maybe, if he ran on, his feet would thaw out;	あるいは、さらに走りつづければ足も温まるかもしれない。
and, anyway, if he ran far enough, he would reach camp and the boys.	そして、さらにさらに走りつづければ子どもたちのいるキャンプに着けるかもしれない。
Without doubt he would lose some fingers and toes and some of his face;	どう考えても手や足の指を何本か失い、顔も一部損なわれているだろう。
but the boys would take care of him,	けれどもキャンプにつきさえすれば、子どもたちが手当てをしてくれる。
and save the rest of him when he got there.	それで無事だった部分は救われるはずだ。
And at the same time there was another thought in his mind	同時に、違う考えが頭をよぎった。
that said	それは言う。
he would never get to the camp and the boys;	おまえは絶対にキャンプにたどりつくことなどないのだ。
that it was too many miles away, that the freezing had too great a start on him,	あまりに遠いし、寒さも苛烈。
and that he would soon be stiff and dead.	おまえはもうすぐ凍え死んでしまうのだよ。
This thought he kept in the background and refused to consider.	男はその考えを払いのけ、深く考えないようにした。
Sometimes it pushed itself forward and demanded to be heard, but he thrust it back and strove to think of other things.	ときどきしゃしゃり出ては耳を貸せと強いてきたが、男はそれを頭の奥に押しこみ、他のことを考えようとした。
It struck him as curious	おもしろいな、と男は思った。
that he could run at all on feet so frozen that he could not feel them when they struck the earth and took the weight of his body.	足は凍えてしまって地面を蹴る衝撃も自分の体重も感じられないというのに、それでも走れるだなんて。
He seemed to himself to skim along above the surface and to have no connection with the earth.	まるで宙に浮いたまま、すべるように飛んでいるみたいだ。
Somewhere he had once seen a winged Mercury, and he wondered if Mercury felt as he felt when skimming over the earth.	いつかどこかで翼を広げたマーキュリーを見たことがあったけれど、マーキュリーもまた空を飛ぶときはこのように感じるものなのだろうか。
His theory of running until he reached camp and the boys had one flaw in it:	男の疾走論は、キャンプにいる子どもたちのもとにたどりつく前にある欠点が見出された。
he lacked the endurance.	持久力不足。
Several times he stumbled, and finally he tottered, crumpled up, and fell.	何度もつまづき、やがてよろよろと歩くのが精一杯になり、ついには倒れてしまった。
When he tried to rise, he failed.	立ちあがろうとしたが、うまくいかなかった。
He must sit and rest,	座って休まねばならない。
he decided,	そう決めた。
and next time he would merely walk and keep on going.	次はただ歩くだけにしてとにかく前に進みつづけよう。
As he sat and regained his breath, he noted that he was feeling quite warm and comfortable.	座って息を整えると、ふと体が心地よく暖まっていることに気付いた。
He was not shivering, and it even seemed that a warm glow had come to his chest and trunk.	震えはおさまり、胸から腹にかけて火照っているように思えた。
And yet, when he touched his nose or cheeks, there was no sensation.	ただ、鼻と頬に触ってみたところ、やはり感覚はなかった。
Running would not thaw them out.	頬や鼻は走って温めることはできない。
Nor would it thaw out his hands and feet.	同じく、手足も。
Then the thought came to him that the frozen portions of his body must be extending.	考えてみると、間違いなく凍ってしまった部分は広がりつづけている。
He tried to keep this thought down, to forget it, to think of something else;	男はそのことを深く考えず忘れようとし、何か他のことを考えてみた。
he was aware of the panicky feeling that it caused,	深く考えるとパニックに陥りそうな気がしていた。
and he was afraid of the panic.	パニックに陥るのは嫌だった。
But the thought asserted itself, and persisted, until it produced a vision of his body totally frozen.	けれどもどうしても他のことを考えることができず、ついに自分の全身が氷づけになったところを想像してしまった。
This was too much, and he made another wild run along the trail.	もうたくさんだ、男はふたたび道に沿って狂ったように走り出した。
Once he slowed down to a walk, but the thought of the freezing extending itself made him run again.	一度は失速して歩きはじめたが、体がますます凍えていくのを思い、ふたたび走り出した。
And all the time the dog ran with him, at his heels.	犬はずっと男にしたがって走りつづけていた。
When he fell down a second time, it curled its tail over its forefeet and sat in front of him facing him curiously eager and intent.	ふたたび男が倒れると、犬も座りこんで尻尾を前足にからませ、期待に胸をふくらませて男と向かい合った。
The warmth and security of the animal angered him, and he cursed it	その元気な姿が男を苛立たせ、悪しざまに罵った。
till it flattened down its ears appeasingly.	犬はなだめるように耳をぺたんと閉じた。
This time the shivering came more quickly upon the man.	今回は、前よりも早く震えが襲ってきた。
He was losing in his battle with the frost.	男は寒さの前に屈しようとしていた。
It was creeping into his body from all sides.	それはあらゆる方向から男の体の中へと忍びこんでくる。
The thought of it drove him on, but he ran no more than a hundred feet, when he staggered and pitched headlong.	そう思うと男はいてもたってもいられなくなり立ちあがったが、わずか30メートル走ったところでふらつき、どうと倒れた。
It was his last panic.	それが最後のパニックだった。
When he had recovered his breath and control, he sat up and entertained in his mind the conception of meeting death with dignity.	息を整え自制心を取りもどすと、座りなおし、心楽しませることで尊厳ある死を構想しようとした。
However, the conception did not come to him in such terms.	といっても、自分の死が尊厳あるものとは思えなかった。
His idea of it was that he had been making a fool of himself,	自分の行動を省みると、自分がまるで道化師のように思えた。
running around like a chicken with its head cut off	首を切られたまま走りまわる鶏
--such was the simile that occurred to him.	――そういうたとえが頭に浮かぶ。
Well, he was bound to freeze anyway,	さあ、とにかくおれは凍死するときまった。
and he might as well take it decently.	だったらそれを素直に受けいれたほうがいい。
With this new-found peace of mind came the first glimmerings of drowsiness.	この新たな安らぎを見出すとともに眠気が襲ってきた。
A good idea, he thought,	グッドアイデアだ、と思った。
to sleep off to death.	眠りながら死ぬのは。
It was like taking an anaesthetic.	麻酔をかけられたようだった。
Freezing was not so bad as people thought.	凍死は人が思っているほど悪くない。
There were lots worse ways to die.	もっとひどい死に方は山ほどある。
He pictured the boys finding his body next day.	明日になって子どもたちが自分を発見する場面が浮かびあがった。
Suddenly he found himself with them,	ふと気がつくと、そばには子どもたちがいた。
coming along the trail and looking for himself.	子どもたちは男を捜しに道をたどってきたのだ。
And, still with them, he came around a turn in the trail and found himself lying in the snow.	それから、やはり子どもたちと一緒に、意識をもうろうとさせたまま、雪に埋もれている自分を見出すところが。
He did not belong with himself any more, for even then he was out of himself, standing with the boys and looking at himself in the snow.	男の体はもはや男のものではなく、体の外から、子どもたちと並んで雪に埋もれた自分を見下ろしていた。
It certainly was cold, was his thought.	本当に寒い、と思った。
When he got back to the States he could tell the folks what real cold was.	アメリカにもどったら、本当の寒さとはどんなものか教えてやれるな。
He drifted on from this to a vision of the old-timer on Sulphur Creek.	そしてサルファ・クリークの古参者が現れた。
He could see him quite clearly,	その姿ははっきりと見えた。
warm and comfortable, and smoking a pipe.	暖かそうに、快適そうに、パイプをふかしている。
"You were right, old hoss;	「あんた正しかったよ、親父。
you were right,"	あんたが正しかった」
the man mumbled to the old-timer of Sulphur Creek.	と、男はサルファ・クリークの古参者に向かってつぶやいた。
Then the man drowsed off	そして男はゆっくりと眠りに落ちていった。
into what seemed to him the most comfortable and satisfying sleep he had ever known.	それは男にとって、これまでなかったほど快適で満ち足りたもののように思えた。
The dog sat facing him and waiting.	犬は男に面と向かって座り、待った。
The brief day drew to a close in a long, slow twilight.	早くも日が暮れ、長い長い夕闇が近づいてきた。
There were no signs of a fire to be made,	火が起こされる気配はない。
and, besides, never in the dog's experience had it known a man to sit like that in the snow and make no fire.	人間が雪の中に座り火を起こさないとは、前代未聞のことだった。
As the twilight drew on, its eager yearning for the fire mastered it, and with a great lifting and shifting of forefeet, it whined softly, then flattened its ears down in anticipation of being chidden by the man.	夕闇があたりをつつむころになると、火への渇望は圧倒的になり、前足をひっきりなしに動かしながら甘えるように鼻を鳴らし、ふてくされたように耳をぺたんと閉じた。
But the man remained silent.	けれども男はなんの反応も示さなかった。
Later, the dog whined loudly.	少し経って、今度は大きく鼻を鳴らした。
And still later it crept close to the man and caught the scent of death.	さらに少し経って男のそばにちかよってみると、死臭がかぎとられた。
This made the animal bristle and back away.	それをかぎとると動物は毛を逆立たせて後ずさりした。
A little longer it delayed, howling under the stars that leaped and danced and shone brightly in the cold sky.	程なく、寒空にきらきらと舞う星々に向かって遠吠えを響かせる。
Then it turned and trotted up the trail in the direction of the camp it knew,	それから男に背を向けると、自分が知っているキャンプに向かって駆け出していった。
where were the other food-providers and fire-providers.	そこではまた別の人間が食料と火を与えてくれるのだ。
