An Inner Landscape	ある心の風景
Kajii Motojiro	梶井基次郎
Takashi gazes from his window at the sleeping street.	喬（たかし）は彼の部屋の窓から寝静まった通りに凝視（みい）っていた。
No windows are lit, and the silence of late night forms a halo about the street lights.	起きている窓はなく、深夜の静けさは暈（かさ）となって街燈のぐるりに集まっていた。
The occasional harsh sound could be beetles colliding.	固い音が時どきするのは突き当っていく黄金虫（ぶんぶん）の音でもあるらしかった。
It is a maze-like town, and even during the day few people pass by.	そこは入り込んだ町で、昼間でも人通りは少なく、
Fish entrails and the corpses of rats lie for days without moving.	魚の腹綿（はらわた）や鼠の死骸は幾日も位置を動かなかった。
The houses on either side have a dilapidated air,	両側の家々はなにか荒廃していた。
and show the scars of weathering.	自然力の風化して行くあとが見えた。
The colorings are faded, the rough plaster walls crumbling, and one feels that the people within must live spiritless lives like old rags.	紅殻（べにがら）が古びてい、荒壁の塀（へい）は崩れ、人びとはそのなかで古手拭のように無気力な生活をしているように思われた。
The window in Takashi's room opens out to that street, positioning him as if sitting at the head of a table.	喬の部屋はそんな通りの、卓子（テーブル）で言うなら主人役の位置に窓を開いていた。
At times the sound of a clock's pendulum can be heard seeping in through gaps in the door.	時どき柱時計の振子の音が戸の隙間から洩れてきこえて来た。
A wind blows blackly through a faraway tree,	遠くの樹に風が黒く渡る。
and then a nearby oleander tree begins to shudder in the deep night.	と、やがて眼近い夾竹桃（きょうちくとう）は深い夜のなかで揺れはじめるのであった。
Takashi just gazes.	喬（たかし）はただ凝視（みい）っている。
The dimly white peaks of houses fade away and then reappear in his field of vision, and he feels unfocused thoughts passing through his mind again.	――暗（やみ）のなかに仄（ほの）白く浮かんだ家の額（ひたい）は、そうした彼の視野のなかで、消えてゆき現われて来、喬は心の裡に定かならぬ想念のまた過ぎてゆくのを感じた。
Crickets are chirping.	蟋蟀（こおろぎ）が鳴いていた。
From where he thinks he can hear them wafts a faint odor of moldering vegetation.	そのあたりから――と思われた――微（かす）かな植物の朽ちてゆく匂いが漂って来た。
"Your room always smells like French escargot,"	「君の部屋は仏蘭西（フランス）の蝸牛（エスカルゴ）の匂いがするね」
a friend once said while visiting.	喬のところへやって来たある友人はそんなことを言った。
"No matter where you live you immediately give the place an aura of gloom".	またある一人は
A spread out futon pushes through the room's clutter:	いつも紅茶の滓（かす）が溜っているピクニック用の湯沸器。
A water heater meant for use on picnics, always choked with spent tea leaves.	帙（ちつ）と離ればなれに転（ころが）っている本の類。
Here and there various books, separated from their cases.	紙切れ。
Scraps of paper.	そしてそんなものを押しわけて敷かれている蒲団。
During the day Takashi sleeps in the midst of all this like some nocturnal bird.	喬はそんななかで青鷺（あおさぎ）のように昼は寝ていた。
He awakes to the faraway sound of a school bell.	眼が覚めては遠くに学校の鐘を聞いた。
At night, when people are settling down to sleep, he comes to the window to gaze outside.	そして夜、人びとが寝静まった頃この窓へ来てそとを眺めるのだった。
His thoughts gradually become clearer, like a silhouette emerging from a thick fog.	深い霧のなかを影法師のように過ぎてゆく想念がだんだん分明になって来る。
The scenery that disperses and condenses before his eyes begins to seem at times completely familiar, and then at other times completely unknown.	彼の視野のなかで消散したり凝聚（ぎょうしゅう）したりしていた風景は、ある瞬間それが実に親しい風景だったかのように、またある瞬間は全く未知の風景のように見えはじめる。
Then a certain point is reached,	そしてある瞬間が過ぎた。
and Takashi can no longer distinguish between his thoughts and the late-night town.	――喬にはもう、どこまでが彼の想念であり、どこからが深夜の町であるのか、わからなかった。
His melancholy and the oleander in the darkness are one.	暗のなかの夾竹桃はそのまま彼の憂鬱であった。
An unseen electric lamp traces out an earthen wall, merging its shadow with the darkness,	物陰の電燈に写し出されている土塀、暗と一つになっているその陰影。
and there his resignation too takes solid form.	観念もまたそこで立体的な形をとっていた。
Takashi thinks that his inner landscape lies just there.	喬（たかし）は彼の心の風景をそこに指呼することができる、と思った。
Takashi stays awake at his window all night because he can't sleep, even at such an hour.	どうして喬がそんなに夜更けて窓に起きているか、それは彼がそんな時刻まで寝られないからでもあった。
Thoughts too dark to allow sleep torment him.	寝るには余り暗い考えが彼を苦しめるからでもあった。
He has caught a terrible illness from a woman.	彼は悪い病気を女から得て来ていた。
Long ago, he had a dream something like this--	ずっと以前彼はこんな夢を見たことがあった。
His leg is swelling.	――足が地脹（じば）れをしている。
Not only that, but it bears two rows of something like bite marks.	その上に、噛（か）んだ歯がたのようなものが二列（ふたなら）びついている。
As the swelling gradually becomes worse	脹れはだんだんひどくなって行った。
the marks grow deeper and their edges expand.	それにつれてその痕（あと）はだんだん深く、まわりが大きくなって来た。
Some of the marks look like the navel on a navel orange,	あるものはネエヴルの尻のようである。
with mounds of foul-looking meat peeking out from within.	盛りあがった気味悪い肉が内部から覗（のぞ）いていた。
Some are long, deep slits, like the path of a bookworm through an old book.	またある痕は、細長く深く切れ込み、古い本が紙魚（しみ）に食い貫（ぬ）かれたあとのようになっている。
Strangely, his leg turns green as it swells before his eyes,	変な感じで、足を見ているうちにも青く脹れてゆく。
yet there is no pain.	痛くもなんともなかった。
The sores are scarlet, like flowers on a cactus.	腫物（はれもの）は紅い、サボテンの花のようである。
His mother is there.	母がいる。
"Well,	「あああ。
now look what's happened to me,"	こんなになった」
he says in an accusing tone.	彼は母に当てつけの口調だった。
"It's not my fault!"	「知らないじゃないか」
"Well you're the one who made these marks with your fingernails!"	「だって、あなたが爪でかたをつけたのじゃありませんか」
He believes that his mother has dug her nails into him.	母が爪で圧したのだ、と彼は信じている。
But as he says so, a thought comes to him. Could it be...?	しかしそう言ったとき喬（たかし）に、ひょっとしてあれじゃないだろうか、という考えが閃（ひらめ）いた。
But there is no way she could know about that, he reassures himself, and in his dream he implores her,	でも真逆（まさか）、母は知ってはいないだろう、と気強く思い返して、夢のなかの喬は
"Mother!	「ね！
Help me!"	お母さん！」
His mother's resolve softens,	母は弱らされていた。
and after a time she at last says,	が、しばらくしてとうとう
"All right, I'll fix you up."	「そいじゃ、癒（なお）してあげよう」
At some point the two rows of sores have moved, and now stretch from his chest to his stomach.	二列の腫物（はれもの）はいつの間にか胸から腹へかけて移っていた。
As he watches, wondering what she will do, his mother pulls at the skin of his chest (which at some point has started sagging like a shriveled teat) and begins stuffing one sore into its opposite, just as if sliding a button into a buttonhole.	どうするのかと彼が見ていると、母は胸の皮を引張って来て（それはいつの間にか、萎（しぼ）んだ乳房のようにたるんでいた）一方の腫物を一方の腫物のなかへ、ちょうど釦（ボタン）を嵌（は）めるようにして嵌め込んでいった。
In the dream Takashi looks on silently with a dissatisfied expression.	夢のなかの喬はそれを不足そうな顔で、黙って見ている。
One pair at a time, a sore is tucked into the one opposing it.	一対（つい）ずつ一対ずつ一列の腫物は他の一列へそういうふうにしてみな嵌まってしまった。
"This is Dr. ___'s method,"	「これは××博士の法だよ」
his mother says.	と母が言った。
He looks as if he is wearing a frock coat with many buttons,	釦の多いフロックコートを着たようである。
though the smallest movement seems likely to make them come loose.	しかし、少し動いてもすぐ脱（はず）れそうで不安であった。――
Takashi is careful to keep his secret concealed from his mother while he continues to stab out at her.	何よりも母に、自分の方のことは包み隠して、気強く突きかかって行った。
This had an effect on him, even though it was all within a dream.	そのことが、夢のなかのことながら、彼には応（こた）えた。
Takashi was surprised that consorting with prostitutes could so darkly encroach upon his life, to the point of appearing in his dreams.	女を買うということが、こんなにも暗く彼の生活へ、夢に出るまで、浸（し）み込んで来たのかと喬は思った。
In the course of his normal life he would have relations with girls,	現実の生活にあっても、彼が女の児の相手になっている。
and sometimes a girl would do some unkind thing.	そしてその児が意地の悪いことをしたりする。
At such times Takashi would imagine that girl a cruel whore, and then be taken by an unbearable self-loathing.	そんなときふと邪慳（じゃけん）な娼婦は心に浮かび、喬（たかし）は堪（たま）らない自己嫌厭（けんお）に堕（お）ちるのだった。
Each time that happened Takashi realized how filthy he had become inside, and knew the extent of the deformation caused by this wedge driven into his life.	生活に打ち込まれた一本の楔（くさび）がどんなところにまで歪（ひずみ）を及ぼして行っているか、彼はそれに行き当るたびに、内面的に汚れている自分を識（し）ってゆくのだった。
And then another wedge was driven into him-the suspicion of disease.	そしてまた一本の楔、悪い病気の疑いが彼に打ち込まれた。
Part of his old nightmare had come true.	以前見た夢の一部が本当になったのである。
He found himself noticing doctors' signboards on the street,	彼は往来で医者の看板に気をつける自分を見出すようになった。
or unintentionally reading advertisements in newspapers,	新聞の広告をなにげなく読む自分を見出すようになった。
though he had never before paid attention to such things.	それはこれまでの彼が一度も意識してした事のないことであった。
He would see some beautiful thing, and feel happy because of it.	美しいものを見る、そして愉快になる。
But then he would feel a sudden discontent, and following that emotion to its source would invariably lead to the sickness.	ふと心のなかに喜ばないものがあるのを感じて、それを追ってゆき、彼の突きあたるものは、やはり病気のことであった。
At those times Takashi could not help but feel as if some dark thing lay in wait for him everywhere he went.	そんなとき喬は暗いものに到るところ待ち伏せされているような自分を感じないではいられなかった。
Sometimes he would take out that diseased part of him and examine it.	時どき彼は、病める部分を取出して眺めた。
It beseeched him with an expression like some sorrowful animal.	それはなにか一匹の悲しんでいる生き物の表情で、彼に訴えるのだった。
Takashi often remembers that unfortunate night.	喬はたびたびその不幸な夜のことを思い出した。――
He sat alone in a room facing the traffic, where he could hear drunken johns and the voices of the women who called to them.	彼は酔っ払った嫖客（ひょうきゃく）や、嫖客を呼びとめる女の声の聞こえて来る、往来に面した部屋に一人坐っていた。
The sounds of lively shamisen guitars and taiko drums from the neighborhood beat against his solitary heart.	勢いづいた三味線や太鼓の音が近所から、彼の一人の心に響いて来た。
Oh, this place!	「この空気！」
Takashi thought, straining to hear the sounds of shuffling sandals	と喬（たかし）は思い、耳を欹（そばだ）てるのであった。
and, weaving among that, the clacking of wooden clogs.	ゾロゾロと履物（はきもの）の音。
It seemed as if all the sounds, the call of the ice cream seller, the singing voices, all of them, were being made for some purpose.	――物音はみな、あるもののために鳴っているように思えた。
The sound of the serving girl's clogs, too, hadn't affected him so when they were just out front on Shijo Avenue.	小婢（こおんな）の利休の音も、すぐ表ての四条通ではこんなふうには響かなかった。
Takashi felt a self like the one that had walked down Shijo Avenue a few minutes ago――a self that could freely think upon things――there in the room with him.	喬は四条通を歩いていた何分か前の自分、――そこでは自由に物を考えていた自分、――と同じ自分をこの部屋のなかで感じていた。
Finally, I'm here, he thought.	「とうとうやって来た」
The serving girl entered, and the room filled with the smell of wax from the charcoal sticks in the brazier she brought.	小婢が上って来て、部屋には便利炭の蝋（ろう）が匂った。
Takashi found his tongue tied, and when she left he told himself that no one could be expected to change moods so abruptly.	喬は満足に物が言えず、小婢の降りて行ったあとで、そんなすぐに手の裏返したようになれるかい、と思うのだった。
The woman was a long time in coming.	女はなかなか来なかった。
Takashi grew anxious, and on a whim decided to climb up to the fire lookout of this house that he had come to know so well.	喬は屈託した気持で、思いついたまま、勝手を知ったこの家の火の見へ上って行こうと思った。
Climbing up a rotting ladder, he passed a room with its paper window screen open.	朽ちかけた梯子（はしご）をあがろうとして、眼の前の小部屋の障子が開いていた。
Inside, a futon was laid out and someone glared out at him.	なかには蒲団が敷いてあり、人の眼がこちらを睨（にら）んでいた。
Takashi pretended not to notice and continued up, thinking about how this place lent self-assurance.	知らぬふりであがって行きながら喬は、こんな場所での気強さ、と思った。
Climbing up to the lookout, he saw that this part of town was covered in dark roof tiles.	火の見へあがると、この界隈（かいわい）を覆っているのは暗い甍（いらか）であった。
Here and there amid the tiles electrically lit parlors were visible through bamboo screens.	そんな間から所どころ、電燈をつけた座敷が簾（すだれ）越しに見えていた。
A tall building containing a restaurant stuck out from a surprising location.	レストランの高い建物が、思わぬところから頭を出していた。
That must be Shijo Avenue, Takashi thought.	四条通はあすこかと思った。
Beyond the rooftops he could see the red gate of Yasaka Shrine and the forest, dimly revealed by reflected light from electric lamps.	八坂神社の赤い門。
The evening haze blurred the far-away details	夜の靄が遠くはぼかしていた。
of the Maruyama and Higashiyama districts.	円山、それから東山（ひがしやま）。
The Milky Way flowed from somewhere in that direction.	天の川がそのあたりから流れていた。
Takashi felt himself being set free.	喬（たかし）は自分が解放されるのを感じた。
From now on I'll always come up here, he thought.	そして、
A night heron flew by, calling.	五位が鳴いて通った。
A soot-black cat walked along the roof.	煤（すす）黒い猫が屋根を歩いていた。
Takashi saw a pot of spent autumn flowers at his feet.	喬は足もとに闌（すが）れた秋草の鉢を見た。
The woman said that she was from Hakata,	女は博多から来たのだと言った。
and her Kyoto dialect had a strange accent.	その京都言葉に変な訛りがあった。
She had a neat appearance, and Takashi told her so.	身嗜（みだしな）みが奇麗で、喬は女にそう言った。
This loosened the woman's mouth, and she told him that even though she had just come to town she had sold some thousands of flowers the previous month, putting her fourth from the top in this brothel district.	そんなことから、女の口はほぐれて、自分がまだ出て々（そうそう）だのに、先月はお花を何千本売って、この廓（くるわ）で四番目なのだと言った。
Starting with whoever topped the list, the girls’ names would be posted in the coordinating office, and some number of top girls would receive prize money.	またそれは一番から順に検番に張り出され、何番かまではお金が出る由言った。
She said that she looked so neat and tidy because her mistress, who she called Mother, took good care of so valuable a girl.	女の小ざっぱりしているのはそんな彼女におかあはんというのが気をつけてやるのであった。
"So I'm working as hard as I can,"	「そんなわけやでうちも一生懸命にやってるの。
"Just recently I caught a cold, and so I'm quite tired, and so Mother told me I should rest, but I keep working."	こないだからもな、風邪ひいとるんやけど、しんどうてな、おかあはんは休めというけど、うちは休まんのや」
"Are you taking any medicine?"	「薬は飲んでるのか」
"They gave me some, but each dose costs five sen , and it never helps, no matter how much I take."	「うちでくれたけど、一服五銭でな、……あんなものなんぼ飲んでもきかせん」
While listening to the girl, Takashi recalled a woman that a man named S___ had spoken of.	喬はそんな話を聞きながら、頭ではＳ―という男の話にきいたある女の事を憶（おも）い浮かべていた。
She was an ugly woman, S___ said, and you would be embarrassed to ask for her by name no matter how drunk you were.	それは醜い女で、その女を呼んでくれと名を言うときは、いくら酔っていても羞（はずか）しい思いがすると、Ｓ―は言っていた。
And the filth of the nightwear she wore, you wouldn't believe it, he said.	そして着ている寝間着の汚（きたな）いこと、それは話にならないよと言った。
The first time S___ was paired with her it was by mere chance.	Ｓ―は最初、ふとした偶然からその女に当り、その時、よもやと思っていたような異様な経験をしたのであった。
He ended up having quite the bizarre experience, however, and after that whenever he got raging drunk he would give in to his baser self and call for that woman.	その後Ｓ―はひどく酔ったときなどは、気持にはどんな我慢をさせてもという気になってついその女を呼ぶ、
He said that when he drank something happened to stir him up, and then no other woman could satisfy him.	心が荒くなってその女でないと満足できないようなものが、酒を飲むと起こるのだと言った。
When Takashi heard the story he thought that it was one thing if the woman had perversions of her own, but the fact that the battle for survival in the red light district forced that ugly woman to do such peculiar things was depressing.	喬（たかし）はその話を聞いたとき、女自身に病的な嗜好（しこう）があるのなればとにかくだがと思い、畢竟（ひっきょう）廓での生存競争が、醜いその女にそのような特殊なことをさせるのだと、考えは暗いそこへ落ちた。
S___ told him that the woman was as silent as a mute.	その女は（おし）のように口をきかぬとＳ―は言った。
Not that you would want to talk to her, he added.	もっとも話をする気にはならないよと、また言った。
At the time Takashi had wondered how many customers, likely mute themselves, the woman had.	いったい、やはりの、何人位の客をその女は持っているのだろうと、その時喬は思った。
In his mind, Takashi compared the ugly woman with this one as he listened to her prattle.	喬はその醜い女とこの女とを思い比べながら、耳は女のお喋（しゃべ）りに任せていた。
"You sure are a quiet one,"	「あんたは温柔（おとな）しいな」
she said.	と女は言った。
Her skin was hot.	女の肌は熱かった。
Each time his touch reached some new place he found her heat increased.	新しいところへ触れて行くたびに
"I have another to go to,"	「またこれから行かんならん」
the woman said, beginning her preparations to leave.	と言って女は帰る仕度をはじめた。
"You're leaving too, right?"	「あんたも帰るのやろ」
"Yeah."	「うむ」
Lying down, Takashi saw the woman facing him, putting on her kimono.	喬は寝ながら、女がこちらを向いて、着物を着ておるのを見ていた。
Watching her, he thought, Here it comes… There! That's it…,	見ながら彼は
‘that’ being a feeling something like this:	それはこんな気持であった。
He's always thinking about women, and he comes to a place like this to buy one.	――平常自分が女、女、と想っている、そしてこのような場所へ来て女を買うが、
She comes into the room.	女が部屋へ入って来る、
Up to this point she's fine.	それまではまだいい、
The woman takes off her kimono, and still she's fine.	女が着物を脱ぐ、それまでもまだいい、
But then as things progress he becomes unsure of what it is that he is always imagining as being a woman.	それからそれ以上は、何が平常から想っていた女だろう。
So, these are the arms of a woman, he tells himself.	「さ、これが女の腕だ」
But they are just a woman's arms, and nothing more.	しかしそれはまさしく女の腕であって、それだけだ。
But then, as she prepares to leave, she once again takes the form of a woman.	そして女が帰り仕度をはじめた今頃、それはまた女の姿をあらわして来るのだ。
"I wonder if the trains are still running?"	「電車はまだあるか知らん」
"I have no idea."	「さあ、どうやろ」
Actually, Takashi hoped that the trains had stopped.	喬（たかし）は心の中でもう電車がなくなっていてくれればいいと思った。
Then the mistress downstairs might say something like	階下のおかみは
"If you don't want to leave, I don't mind if you sleep here until morning."	「帰るのがお厭（いや）どしたら、朝まで寝とおいやしても、うちはかましまへん」
Takashi thought it more likely that she would say,	それより
"If you aren't going to call someone up, you need to leave."	「誰ぞをお呼びやおへんのどしたら、帰っとくれやす」
"You aren't leaving with me?"	「あんた一緒に帰らへんのか」
The woman had finished dressing, but was still hanging back.	女は身じまいはしたが、まだ愚図ついていた。
Well...,	「まあ」
he thought, starting to take off his sweaty robe.	と思い、彼は汗づいた浴衣（ゆかた）だけは脱ぎにかかった。
The woman left, and he immediately told the serving girl to bring him a beer.	女は帰って、すぐ彼は「ビール」と小婢（こおんな）に言いつけた。
The cry of a sparrow sounded in the gutter.	ジュ、ジュクと雀の啼声（なきごえ）が樋（とゆ）にしていた。
In his half-awake mind, Takashi pictured the fresh exterior being lit up in the morning fog.	喬は朝靄（あさもや）のなかに明けて行く水みずしい外面を、半分覚めた頭に描いていた。
Lifting his head, he could see the sleeping face of a woman, lit by the dim light of electric lamps in the morning air.	頭を挙げると朝の空気のなかに光の薄れた電燈が、睡っている女の顔を照していた。
He awoke again to the sound of a flower seller's voice at the front door.	花売りの声が戸口に聞こえたときも彼は眼を覚ました。
What a fresh voice, he thought.	新鮮な声、と思った。
He could almost see the color of the morning sun spilling over the flowers and the sakaki leaves that she carried.	榊（さかき）の葉やいろいろの花にこぼれている朝陽の色が、見えるように思われた。
After a time the doors of homes flew open, and the voices of children heading for school came from the street.	やがて、家々の戸が勢いよく開いて、学校へ行く子供の声が路に聞こえはじめた。
The woman was still deep asleep.	女はまだ深く睡っていた。
"Go home.	「帰って、
Take a bath,"	風呂へ行って」
the woman said through a yawn, holding on her palm the woven hairpiece she wore on top of her bun.	と女は欠伸（あくび）まじりに言い、束髪の上へ載せる丸く編んだ毛を掌に載せ、
"I'm going now,"	「帰らしてもらいまっさ」
she said, leaving.	と言って出て行った。
Takashi just went back to sleep.	喬（たかし）はそのまままた寝入った。
Takashi goes from the foot of the Marutacho Bridge down to the dry riverbed.	喬は丸太町の橋の袂（たもと）から加茂磧（かわら）へ下りて行った。
The houses facing the riverbed create afternoon shadows.	磧に面した家々が、そこに午後の日蔭を作っていた。
There is a pile of the stones used to fortify the riverbank,	護岸工事に使う小石が積んであった。
and they have a strong, peculiar odor under the autumn sun.	それは秋日の下で一種の強い匂いをたてていた。
Over towards the Aragami Bridge centrifugal drying machines are strewn about the fields.	荒神橋の方に遠心乾燥器が草原に転っていた。
Somewhere in that direction a metal measuring tape flashes in the sun.	そのあたりで測量の巻尺が光っていた。
Below the Aragami Bridge the river flows in fine ripples like a reed screen.	川水は荒神橋の下手で簾（すだれ）のようになって落ちている。
Shallow water glitters as it burbles by a sandbar choked with summer grasses.	夏草の茂った中洲（なかす）の彼方（かなた）で、浅瀬は輝きながらサラサラ鳴っていた。
A wagtail flies off.	鶺鴒（せきれい）が飛んでいた。
The sun stabs down onto his back, but in the shade the cold of autumn curls about him.	背を刺すような日表（ひなた）は、蔭となるとさすが秋の冷たさが跼（くぐま）っていた。
Takashi sits there.	喬はそこに腰を下した。
People go by, cars go by, he thinks.	「人が通る、車が通る」
And then, I'm in pain in the city.	「街では自分は苦しい」
Foot and vehicle traffic passes by on the road running along the opposite bank.	川向うの道を徒歩や車が通っていた。
Along it is the public market,	川添の公設市場。
a shed filled with barrels of tar,	タールの樽（たる）が積んである小屋。
and people working in an empty lot, perhaps building a house.	空地では家を建てるのか人びとが働いていた。
Occasionally a wind blows from upriver.	川上からは時どき風が吹いて来た。
With a rustling it pushes a crumpled page of a newspaper past where he sits.	カサコソと彼の坐っている前を、皺（しわ）になった新聞紙が押されて行った。
Stopped by a small stone, for a time it holds out against the wind.	小石に阻（はば）まれ、一しきり風に堪えていたが、
But then with a sudden flip it is carried off again.	ガックリ一つ転ると、また運ばれて行った。
Two children and a dog walk upriver.	二人の子供に一匹の犬が川上の方へ歩いて行く。
The dog comes back, gives the newspaper a sniff, and returns to following the children.	犬は戻って、ちょっとその新聞紙を嗅（か）いで見、また子供のあとへついて行った。
A zelkova tree thick with leaves stands on his side of the river.	川のこちら岸には高い欅（けやき）の樹が葉を茂らせている。
Takashi is taken by the tips of its branches, waving high in the wind.	喬（たかし）は風に戦（そよ）いでいるその高い梢（こずえ）に心は惹（ひ）かれた。
After gazing at it for a time some part of his soul moves into the treetop, and he feels himself swaying with the small leaves and bending with the green branches among the high air currents.	ややしばらく凝視（みい）っているうちに、彼の心の裡のなにかがその梢に棲（とま）り、高い気流のなかで小さい葉と共に揺れ青い枝と共に撓（たわ）んでいるのが感じられた。
Ah, this feeling...	「ああこの気持」
Takashi thinks.	と喬は思った。
To just look, that's something, too.	「視（み）ること、それはもうなにかなのだ。
I can move part, perhaps all of my soul into a thing.	自分の魂の一部分あるいは全部がそれに乗り移ることなのだ」
Takashi thinks on such things.	喬はそんなことを思った。
The lure of the window he sits at every night, how it quells his depression and troubles.	毎夜のように彼の坐る窓辺、その誘惑――病鬱や生活の苦渋が鎮められ、
The marvel of becoming some thing that he gazes at from a distance.	ある距（へだた）りをおいて眺められるものとなる心の不思議が、
He feels that in the high branches of the zelkova tree as well.	ここの高い欅の梢にも感じられるのだった。
I'm in pain in the city.	「街では自分は苦しい」
To the north, red torii dot the Kamo Forest.	北には加茂の森が赤い鳥居を点じていた。
Above that the faraway mountains blend together.	その上に遠い山々は累（かさな）って見える。
Hieizan Mountain forms a backdrop for columns of smoke from the chimneys of spinning mills.	比叡山――それを背景にして、紡績工場の煙突が煙を立登らせていた。
Red brick buildings,	赤煉瓦（れんが）の建物。
a post office.	ポスト。
Bicycles pass over the Aragami Bridge, among parasols and horse-drawn carriages.	荒神橋には自転車が通り、パラソルや馬力（ばりき）が動いていた。
The shade reaches the riverbed, and a peddler sounds his trumpet.	日蔭は磧に伸び、物売りのラッパが鳴っていた。
Takashi sometimes aimlessly walks the streets of the city until late at night.	喬（たかし）は夜更けまで街をほっつき歩くことがあった。
There are no people on Shijo Avenue, except for the rare passing drunk.	人通りの絶えた四条通は稀（まれ）に酔っ払いが通るくらいのもので、
The night fog has settled down onto the asphalt.	夜霧はアスファルトの上までおりて来ている。
Stores on both sides of the street have trash bins pushed out to the pavement, and their doors are locked tight.	両側の店はゴミ箱を舗道に出して戸を鎖（とざ）してしまっている。
Here and there are puddles of vomit and overturned bins.	所どころに嘔吐（へど）がはいてあったり、ゴミ箱が倒されていたりした。
Takashi recalls times when he would get so drunk, but now he walks on in silence.	喬は自分も酒に酔ったときの経験は頭に上り、今は静かに歩くのだった。
He turns and enters the Shinkyogoku mall, where it is oddly busy for the time. The sound of a woman's clogs comes from between shuttered doors as she carries a metal basin to the bath. A shop clerk brings out a pair of roller skates. A man carries a delivery order of udon noodles. Youths play tug-of-war with a pole in the middle of traffic.	新京極に折れると、たてた戸の間から金盥（かなだらい）を持って風呂へ出かけてゆく女の下駄が鳴り、ローラースケートを持ち出す小店員、うどんの出前を運ぶ男、往来の真中で棒押しをしている若者などが、異様な盛り場の夜更けを見せている。
It is almost as if the existence of these people is buried in the bustle of daytime, but is able to express itself at this hour.	昼間は雑閙（ざっとう）のなかに埋れていたこの人びとはこの時刻になって存在を現わして来るのだと思えた。
Leaving the mall, the town returns to a true late night.	新京極を抜けると町はほんとうの夜更けになっている。
The sound of his clogs, which he never notices during the daytime, is sharp in his ears.	昼間は気のつかない自分の下駄の音が変に耳につく。
The silence of the area makes him feel as if he is walking through it with some strange intent.	そしてあたりの静寂は、なにか自分が変なたくらみを持って町を歩いているような感じを起こさせる。
Takashi hangs a small Korean bell at his waist as he walks through these late nights.	喬は腰に朝鮮の小さい鈴を提（さ）げて、そんな夜更け歩いた。
It is a gift from a friend, purchased for him at the Korea Pavilion in the Okazaki Park exhibition grounds.	それは岡崎公園にあった博覧会の朝鮮館で友人が買って来たものだった。
It has blue and red cloisonne work over a silver base, and a beautiful mellow sound.	銀の地に青や赤の七宝がおいてあり、美しい枯れた音がした。
When among other people it can't be heard, but it begins to ring on late night roads as if an embodiment of his heart.	人びとのなかでは聞こえなくなり、夜更けの道で鳴り出すそれは、彼の心の象徴のように思えた。
The town he walks through opens up to him, as does the view from his window.	ここでも町は、窓辺から見る風景のように、歩いている彼に展（ひら）けてゆくのであった。
These are roads that he has never walked down before,	生まれてからまだ一度も踏まなかった道。
but at the same time they produce a feeling of familiarity in him.	そして同時に、実に親しい思いを起こさせる道。
These are no longer just the same roads that he has walked down some few times before.	――それはもう彼が限られた回数通り過ぎたことのあるいつもの道ではなかった。
Takashi would lose track of how long he had been walking, and would feel that he has become an eternal passer-by.	いつの頃から歩いているのか、喬（たかし）は自分がとことわの過ぎてゆく者であるのを今は感じた。
At such times, the ring of the Korean bell causes Takashi's heart to tremble.	そんな時朝鮮の鈴は、喬の心を顫（ふる）わせて鳴った。
At times, Takashi feels as if his shell of a body is left behind on the street and only the sound of the bell passes through the town.	ある時は、喬の現身（うつせみ）は道の上に失われ鈴の音だけが町を過るかと思われた。
At other times it feels as if a clear mountain stream flows out from near his waist and into his body.	またある時それは腰のあたりに湧（わ）き出して、彼の身体の内部へ流れ入る澄み透った溪流のように思えた。
It flows about within him, and cleanses his sickness-fouled blood.	それは身体を流れめぐって、病気に汚れた彼の血を、洗い清めてくれるのだ。
I'm gradually getting better.	「俺はだんだん癒（なお）ってゆくぞ」
The ringing of his small hope purely vibrates the late-night air.	コロコロ、コロコロ、彼の小さな希望は深夜の空気を清らかに顫わせた。
The view from his window is the same every night.	窓からの風景はいつの夜も渝（かわ）らなかった。
To Takashi all nights are the same.	喬にはどの夜もみな一つに思える。
But one night Takashi sees a point of blue-white light in a tree in the darkness.	しかしある夜、喬は暗（やみ）のなかの木に、一点の蒼白（あおじろ）い光を見出した。
It must be some kind of insect, he thinks.	いずれなにかの虫には違いないと思えた。
Takashi sees the light again the following night, and the night after that.	次の夜も、次の夜も、喬はその光を見た。
When he leaves the window and lays down on his bed, he feels a dim point of light glowing in the darkness of his room as well.	そして彼が窓辺を去って、寝床の上に横になるとき、彼は部屋のなかの暗にも一点の燐光（りんこう）を感じた。
"You creature that is ailing me!	「私の病んでいる生き物。
In due course I will disappear into the darkness,	私は暗闇のなかにやがて消えてしまう。
but I think that you are able to stay awake without sleeping.	しかしお前は睡らないでひとりおきているように思える。
Like that insect outside, burning its blue light."	そとの虫のように……青い燐光を燃（もや）しながら……」
