The Resident Patient	入院患者
His heart was weak, it appears, and he needed constant medical supervision.	彼は心臓が弱く、いつも医者の監督が必要らしいのでした。
He turned the two best rooms of the first floor into a sitting-room and bedroom for himself.	――彼は一階の最上等の部屋を二部屋占領して、一つは居間に、一つは寝室に使っておりました。
He was a man of singular habits, shunning company and very seldom going out.	彼は奇妙な孤独癖の人間で、人ともあまり交際せず、外出することなどはほとんどありませんでした。
His life was irregular, but in one respect he was regularity itself.	彼の日常生活はむしろ不規則的でしたが、しかしただある一つのことに関してだけは、実に規則そのもののように正確でした。
Every evening, at the same hour, he walked into the consulting-room, examined the books, put down five and three-pence for every guinea that I had earned, and carried the rest off to the strong-box in his own room.	それは毎日夕方になると、診察室の中に這入って来て、帳簿を調べ、それから私が稼いだお金を、一ギニアについて五シルリングと三ペンスだけおいて、あとの残りはみんな持っていって、自分の部屋の中においてある丈夫そうな箱の中にしまうことでした。
``I may say with confidence that he never had occasion to regret his speculation.	さて次に商売のほうですが、少くも私の知ってる範囲では、彼がその評判を悲しまなければならないような機会は、ただ一度もなかったろうと、確信しております。
From the first it was a success.	それは初めから成功でした。
A few good cases and the reputation which I had won in the hospital brought me rapidly to the front,	私がその前に、病院でかち得ておいた評判や、また二三の成功などのために、私はすごい勢（いきおい）ではやり出しました。
and during the last few years I have made him a rich man.	そしてこの一二年の間に、私は彼をすっかりお金持ちにしてやってしまったのです。
``So much, Mr. Holmes, for my past history	ホームズさん、私の今日まではこんな風な生涯だったのです。
and my relations with Mr. Blessington.	そしてまたブレシントンとの関係も今お話したようなわけだったのです。
It only remains for me now to tell you what has occurred to bring me here tonight.	――そこでこれからお話しなければならないのは、今夜の出来ごとなのですが……
``Some weeks ago	ちょうど二三週間前のことでした。
Mr. Blessington came down to me in, as it seemed to me, a state of considerable agitation.	ブレシントン氏が突然に、私の所へやって参りましたが、彼は何だか、変にイライラしているらしいような様子でした。
He spoke of some burglary which, he said, had been committed in the West End, and he appeared, I remember, to be quite unnecessarily excited about it, declaring that a day should not pass before we should add stronger bolts to our windows and doors.	そして彼はしきりに、西部地方で起きた盗難事件のことを話し、滑稽なほど昂奮して、どうしても私たちも二三日のうちに、窓や扉へ丈夫な閂（かんぬき）をつけなくてはならないと主張するのでした。
For a week he continued to be in a peculiar state of restlessness, peering continually out of the windows,	そうして、それからと云うものは一週間の間、毎日休みなく窓から外をのぞいては見るのです。
and ceasing to take the short walk which had usually been the prelude to his dinner.	そして彼が昼飯をとる前には必ずその辺をブラブラして来る恒例の散歩もやめてしまって、その奇妙な昂奮状態にいるのでした。
From his manner it struck me that he was in mortal dread of something or somebody,	――こうした彼の様子から、私は、彼が何かの恐迫観念に捕われているのに相違ない、と感づきました。
but when I questioned him upon the point he became so offensive that I was compelled to drop the subject.	しかし私が彼に、何かそのことについてきき出すと、彼は猛烈に反抗的になって来て、どうしても何か他の事に話をそらしてしまわないわけにはいかないのでした。
Gradually, as time passed, his fears appeared to die away, and he renewed his former habits,	――有難いことに、そんな風にしてしばらく日を経ているうちに、次第に彼の恐迫観念は消えていって、また普通の彼にかえったのです。
when a fresh event reduced him to the pitiable state of prostration	ところが、事実はそれはツカの間の喜びで、また新しい出来事が彼を再び気の毒な虚脱の状態にもどらしてしまったのでした。
in which he now lies.	そうして現在彼はその状態にいるのです。
``What happened was this.	一体、その彼を再びそんな状態に追い込んだ出来事と云うのは、どんな出来事なのか？
Two days ago I received the letter which I now read to you.	と申しますと、二日前のことでした。
Neither address nor date is attached to it.	今あなたに読んでおきかせしますが、一通の、日附けもなければ、住所も書いてない手紙を受取ったのです。
``A Russian nobleman who is now resident in England	――こちらはただいまイギリスに滞在中のロシヤの貴族ですが、
[ it runs ],	――と、その手紙は書き出されていました。
would be glad to avail himself of the professional assistance of Dr. Percy Trevelyan.	ペルシー・トレベリアン博士に御診察をぜひお願いしたいと思っております。
He has been for some years a victim to cataleptic attacks,	実はこちらの患者は数年来、顛癇の発作に悩まされているのでございます。
on which, as is well known, Dr. Trevelyan is an authority.	幸いトレベリアン博士は顛癇病の大家であるとききましたので、
He proposes to call at about a quarter-past six to-morrow evening,	明日午後六時十五分頃にお伺い致したいと思います。
if Dr. Trevelyan will make it convenient to be at home.	御迷惑でも御在宅のほど御願い申上げます。
``This letter interested me deeply,	この手紙は私に深い興味を起こさせました。
because the chief difficulty in the study of catalepsy is the rareness of the disease.	なぜなら、この顛癇病の研究にとって、一番苦しいことは患者が非常に少いと云うことだったからです。
You may believe, then, that I was in my consulting-room when, at the appointed hour, the page showed in the patient.	ですからその翌日、その手紙が指定して来た時間に、私はちゃんと診察室に坐って、その患者の来るのを待っていたことは申すまでもありません。
``He was an elderly man, thin, demure, and commonplace -- by no means the conception one forms of a Russian nobleman.	その男は年をとった、痩せぎすな真面目そうな当り前な男で、どこにもロシアの貴族と云ったような感じは少しもありませんでした。
I was much more struck by the appearance of his companion.	が、それよりももっと私を驚かしたのは、その患者の附添いの男でした。
This was a tall young man, surprisingly handsome, with a dark, fierce face, and the limbs and chest of a Hercules.	それは背の高い若い男で、色の浅黒いしっかりした顔つきに、ヘラクレスのような丈夫そうな四肢と胸とを持っている、見るから堂々とした男でした、
He had his hand under the other's arm as they entered, and helped him to a chair	彼は患者を肩に倚りかからせながら這入って来て、静かに椅子に腰かけさせました。
with a tenderness which one would hardly have expected from his appearance.	彼の表情を見ていただけでは、彼のどこに、そんな風に患者をいたわるやさしさがあるのだろうと思えるほど、彼は堂々としていたのです。
```You will excuse my coming in, Doctor,'	「ごめん下さい、先生」
said he to me, speaking English with a slight lisp.	と、彼は流暢な英語で挨拶しました。
`This is my father,	「これは私の父でございます。
and his health is a matter of the most overwhelming importance to me.'	私にとってはこの父の健康は、何ものにもかえがたい大切なものなのです」
``I was touched by this filial anxiety.	私は彼のその子としての心痛にいたく心を動かされました。
`You would, perhaps, care to remain during the consultation?'	「診察にお立ち合いになりますか？」
said I.	私は云いました。
```Not for the world,'	「とんでもない」
he cried with a gesture of horror.	彼は恐ろしそうな顔をして叫びました。
`It is more painful to me than I can express.	「とても私には苦しくって見てはいられないんです。
If I were to see my father in one of these dreadful seizures I am convinced that I should never survive it.	私は父親が、この病気の発作に襲われるのを見るたびに、まるで死んだような気がするのです。
My own nervous system is an exceptionally sensitive one.	私の神経組織は、お話にならないほど弱々しく敏感なんです。
With your permission, I will remain in the waiting-room while you go into my father's case.'	――私はお許しをいただいて、診察が終るまで待合室で待っております」
``To this, of course, I assented,	無論私は彼の申出に同意しました。
and the young man withdrew.	そしてその若い男は診察室から出て行きました。
The patient and I then plunged into a discussion of his case, of which I took exhaustive notes.	こんな風にして、いよいよ私は、患者と二人きりになり、その診察に移り、私はその様子を熱心にノートに記して行きました。
He was not remarkable for intelligence, and his answers were frequently obscure, which I attributed to his limited acquaintance with our language.	患者にあまり高い教養はないらしく、時々その答弁は曖昧に分かりにくくなりましたが、私はそれを彼が私たちの国の言葉にまだ不馴れだからだ、と云うような様子を装ってやりました。
Suddenly, however, as I sat writing, he ceased to give any answer at all to my inquiries, and on my turning towards him I was shocked to see that he was sitting bolt upright in his chair, staring at me with a perfectly blank and rigid face.	けれどもそのうちに突然に、彼は私の問いに答えるのをやめましたので、私は驚いて彼を見ていますと、彼はやがて椅子から立ち上って、全く無表情な硬わばった顔をして、私をまじまじと見詰めるのでした。
He was again in the grip of his mysterious malady.	――云わずと知れた、彼は例の神秘的な精神錯乱の発作に捕われたのです。
``My first feeling, as I have just said, was one of pity and horror.	実際の話、私がその患者を見て、まず一番最初に感じたのは同情とそれから恐れとでした。
My second, I fear, was rather one of professional satisfaction.	が、その次に感じたのは、たしかに学問的な満足だったことを白状します。
I made notes of my patient's pulse and temperature, tested the rigidity of his muscles, and examined his reflexes.	――私はその患者の脈の状態や性質やを詳しく書きとめ、それから彼のからだの筋肉の剛直性をためしてみたり、またその感受性や反応の度合いをしらべてみたりしました。
There was nothing markedly abnormal in any of these conditions, which harmonized with my former experiences.	が、これらの諸点の診察では、私がかつて取扱った患者と、特別に違った所は何もありませんでした。
I had obtained good results in such cases by the inhalation of nitrite of amyl, and the present seemed an admirable opportunity of testing its virtues.	そこで私はこうした場合に、患者に亜硝酸アミルを吸入させて、よい結果を得ることを思い出しましたので、この時こそ、その効果をためしてみるのによい時だと考えつきました。
The bottle was downstairs in my laboratory, so, leaving my patient seated in his chair, I ran down to get it.	ところが、その瓶は折悪しく階下の実験室においてありましたので、私は患者を椅子に腰かけさせたまま残しておいて、それを取りに階下におりたのです。
There was some little delay in finding it -- five minutes, let us say -- and then I returned.	そして、そうですね、せいぜい五分、
Imagine my amazement to find the room empty and the patient gone.	――ところがどうです、そのひまに患者は私の診察室からどこかへ出ていっちまって、室の中はからっぽなんじゃありませんか。
``Of course, my first act was to run into the waiting-room.	無論私は、第一番に待合室にとんでいってみましたよ。
The son had gone also.	するとどうです、その息子もやっぱりいないのです。
The hall door had been closed, but not shut.	大広間のドアが閉められてはいましたが、鍵がかけてなかったのですね
My page who admits patients is a new boy and by no means quick.	――その患者たちを案内して来たボーイは、まだ来たばかりのボーイで、とにかく気がきかないのです。
He waits downstairs and runs up to show patients out when I ring the consulting-room bell.	で、彼はいつも階下に待っていて、私がベルを鳴らすと二階へとんで上って来て、患者を下へつれておりることになっていたのです。
He had heard nothing,	――そのボーイも何も物音を聞かなかったと云うのです。
and the affair remained a complete mystery.	こうしてこの日のこの事件は全くわけの分からないままにすんでしまったのでした。
Mr. Blessington came in from his walk shortly afterwards, but I did not say anything to him upon the subject,	――が、それからしばらくしてブレシントン氏がその習慣の散歩から帰ってきましたが、しかし私はその事件については何も話しをしませんでした。
for, to tell the truth, I have got in the way of late of holding as little communication with him as possible.	と云うのは、なるべく彼と、うるさい事件についてはかかり合わないような方針をとっていたからなのです。
``Well, I never thought that I should see anything more of the Russian and his son,	こんなわけで昨日は不思議な事件が起きたままで暮れてしまい、それから今日は、私はまた今日の仕事に追われて、ついそのロシア人親子のことを忘れておりました。
so you can imagine my amazement when, at the very same hour this evening, they both came marching into my consulting-room, just as they had done before.	ところがきょうの夕方のこと、ふと、私は診察室に這入って来る彼等親子を見てびっくりしたのです。
```I feel that I owe you a great many apologies for my abrupt departure yesterday, Doctor,'	「どうも昨日は、突然にだまって帰ってしまって申わけございません」
said my patient.	と、その患者は云いわけを申しました。
```I confess that I was very much surprised at it,'	「いいえ、どうしまして。
said I.	私は答えました。
```Well, the fact is,'	「いえ、実はそのこう云うわけなんでございますよ」
he remarked,	患者は話し出しました。
`that when I recover from these attacks my mind is always very clouded as to all that has gone before.	「私はいつも例の発作が起きた後は、心に雲がかかったようになって、その前にあったことをすっかり忘れちまうのです。
I woke up in a strange room, as it seemed to me,	だものですから昨日も発作からさめてみますと、見たことのない変な部屋におりますでしょう。
and made my way out into the street in a sort of dazed way	で、これは怪しいぞと思いながら、立ち上って、ふらふらと表の通（とおり）に出ていってしまったんでございます。
when you were absent.'	ちょうど先生が部屋にお見えにならない最中に……」
```And I,'	「私はまた……」
said the son,	と、彼の息子は話をつぐのでした。
n`seeing my father pass the door of the waiting-room,	「見ていると親じが待合室の入口からフラフラと這入って来るんでしょう。
naturally thought that the consultation had come to an end.	ですから、これはてっきりもう診察が終っちまったことだろうと思いましてね、
It was not until we had reached home that I began to realize the true state of affairs.'	――家へ帰って親じから事情をいろいろきいてみるまで、ちっとも気がつかずにいたんです」
```Well,'	「そうでしたか、そりゃどうも……」
said I, laughing,	私は笑いながら答えました。
`there is no harm done	「いや、かまいませんよ、私のほうはちっとも迷惑しなかったんですから。
except that you puzzled me terribly;	――ただ、どうしたんだろうと思って、ひどくまごつきはしましたがね。
so if you, sir, would kindly step into the waiting-room	――では、待合室でお持ち下さい。
I shall be happy to continue our consultation	昨日の、診察のつづきをやってしまいましょう。
which was brought to so abrupt an ending.'	もうじき、終りそうな所までいっていたんですから……」
``For half an hour or so I discussed the old gentleman's symptoms with him, and then, having prescribed for him, I saw him go off upon the arm of his son.	それから三十分ばかりの間、私はその老紳士と、彼の病気の徴候について話し合ったり、診察したりして、すっかり記録をとってから、やがて彼はその息子に手をとられながら帰って行きました。
``I have told you that Mr. Blessington generally chose this hour of the day for his exercise.	そこで私は、ちょうどその日もほどなく散歩から帰って来たブレシントン氏に、この患者の話をしてきかせました。
He came in shortly afterwards and passed upstairs.	するとその話をきき終るか終らないかの時でした。
An instant later I heard him running down, and he burst into my consulting-room like a man	ブレシントン氏はあわただしく二階にかけ上って行きましたが、やがてすぐとんで降りて来ると、いきなり私の診察室にとび込んで来たのです。
who is mad with panic.	その恰好は発作に襲われた狂人さながらなのでした。
```Who has been in my room?'	「僕の部屋に這入った奴はどいつだ？」
he cried.	彼は呶鳴りました。
'' `No one,'	「誰も這入りませんよ」
said I.	私は答えました。
```It's a lie!'	「いいや、嘘だ」
he yelled.	彼は呻（うな）るように云うのでした。
`Come up and look!'	「あがって来てみろ！」
``I passed over the grossness of his language, as he seemed half out of his mind with fear.	私は彼が恐迫観念に襲われて、半分正気を失っている時に使う、乱暴な粗野な言葉使いは、平気できき流すことになれていた。
When I went upstairs with him he pointed to several footprints upon the light carpet.	私は彼の云うままに二階に上っていってみますと、彼の指さすカーペットの上に、ありありと人の足跡が三つ四つしるされているのでした。
```Do you mean to say those are mine?'	「君はこれを僕の足跡だと云うつもりか？」
he cried.	彼はなお、呶鳴りつづけました。
'' They were certainly very much larger than any which he could have made, and were evidently quite fresh.	それはたしかに彼の足跡より、遥かに大きいもので、おまけに極めて新しくあざやかについていました。
It rained hard this afternoon, as you know,	御承知のようにきょうの午後は雨降りでした。
and my patients were the only people who called.	そして午後にやって来た患者は、彼等親子より外にはなかったのです。
It must have been the case, then,	――とすると、事実はこう思われなくてはならなくなります。
that the man in the waiting-room had, for some unknown reason, while I was busy with the other, ascended to the room of my resident patient.	私が患者を診察している間に待合室にいた彼の息子が、この部屋に這入り込んだに相違ないと。
Nothing had been touched or taken, but there were the footprints to prove that the intrusion was an undoubted fact.	事実、そこには何も手がかりも証拠も見あたりはしませんでしたけれど、この足跡が何よりもはっきり、彼が闖入したことを物語っているのでした。
``Mr. Blessington seemed more excited over the matter than I should have thought possible,	ブレシントン氏はすっかり昂奮してしまいました。
though of course it was enough to disturb anybody's peace of mind.	無論こう云うことは、普通の人だって心の平和をかき乱されずにいられるものではありません。
He actually sat crying in an armchair, and I could hardly get him to speak coherently.	彼は何だかわけの分からないことを叫びながら椅子に腰をおろすと、めちゃくちゃなことを口走り始めて、どうにも手がつけられないんです。
It was his suggestion that I should come round to you,	――で、私があなたの所へ伺ったのも、実は彼の意志なんです。
and of course I at once saw the propriety of it,	もちろん、こんな事件は、すぐ解決のつくことだろうと私は思っているんですが。
for certainly the incident is a very singular one, though he appears to completely overrate its importance.	――事実、ブレシントン氏は非常な重大問題か何かのように思っているらしいんですが、しかし本当はごく単純な出来事なんですからね。
If you would only come back with me in my brougham, you would at least be able to soothe him, though I can hardly hope that you will be able to explain this remarkable occurrence.''	――そんなわけで、もう今からすぐ、私の馬車で私と一しょに来ていただけますようですと、よしその事件の解決はすぐつかないにしても、彼は平静にして下さることが出来ると思うんですが……」
Sherlock Holmes had listened to this long narrative with an intentness	シャーロック・ホームズは、彼の長い話を熱心にきいていた。
which showed me that his interest was keenly aroused.	私はそのホームズの様子を見て、彼の心のうちにその事件に対して興味が湧いて来たらしいことを見てとった。
His face was as impassive as ever, but his lids had drooped more heavily over his eyes, and his smoke had curled up more thickly from his pipe to emphasize each curious episode in the doctor's tale.	彼の顔の表情は少しも変りはしなかったが、彼の目蓋は重く彼の上に垂れさがり、彼の唇からは、あたかもその医者の話す一つ一つの珍妙な物語を、更に不思議にするかのように、濃い煙草の煙がもくもくと吐かれていた。
As our visitor concluded, Holmes sprang up without a word,	――が、やがて私たちのその訪問客が話を終ると、ホームズはものも云わずに突然立ち上った。
handed me my hat, picked his own from the table, and followed Dr. Trevelyan to the door.	そして私に私の帽子を手渡し、自分のもテーブルの上からつまみ上げて、トレベリアン博士の後について入口のほうに出かけた。
Within a quarter of an hour we had been dropped at the door of the physician's residence in Brook Street, one of those sombre, flat-faced houses which one associates with a West End practice.	こうしてそれから二十分ばかりの後、私たちはブルック・ストリートにあるトレベリアン博士の住居（すまい）の前で馬車をおりた。
A small page admitted us, and we began at once to ascend the broad, well-carpeted stair.	そして小さな少年の給仕が出て来て案内してくれたので、私たちは直ちに、美しいカーペットの敷いてある階段を昇って二階に行こうとした。
But a singular interruption brought us to a standstill.	と、その時、奇妙な故障が起きて、私たちはそのままそこへ立ちん坊をさせられるようなことになった。
The light at the top was suddenly whisked out, and from the darkness came a reedy, quavering voice.	と云うのは、その時、不意に階段の頂きについていた電灯が消えて、暗闇の中から奇妙な震え声が聞えて来たからである。
``I have a pistol,''	「僕はピストルを持ってるぞ！」
it cried.	と、その声は叫んでいた。
``I give you my word that I'll fire if you come any nearer.''	「もしそれから一歩でも近よってみろ、俺はブッ放すから……」
``This really grows outrageous, Mr. Blessington,''	「ブレシントン氏、何を乱暴なことをなさるんです」
cried Dr. Trevelyan.	トレベリアン博士は叫んだ。
``Oh, then it is you, Doctor.''	「ああ、博士、あなたですか？」
said the voice with a great heave of relief.	その声は、ホッとしたように云った。
``But those other gentlemen,	「だが、その他の男は何者ですか？
are they what they pretend to be?''	何をしに来たんです？」
We were conscious of a long scrutiny out of the darkness.	私たちは闇を通して長い間見詰め合っていた。
``Yes,	「分かりました。
yes,	分かりました。
it's all right,''	さあどうぞ……」
said the voice at last.	やがてその声は云った。
``You can come up,	「どうもお気の毒なことをしました。
and I am sorry if my precautions have annoyed you.''	あんまり私が用心深すぎて、御迷惑をおかけしまして……」
He relit the stair gas as he spoke,	彼はそう言いながら階段の明りを再びつけた。
and we saw before us a singular-looking man,	そこで私たちは初めて、私たちの前に、奇妙な恰好をした男の立っているのを見ることが出来た。
whose appearance, as well as his voice, testified to his jangled nerves.	その男の顔つきは、ちょうど彼の声と同じように、その藪のように入り乱れた神経をそのまま現していた。
He was very fat, but had apparently at some time been much fatter, so that the skin hung about his face in loose pouches, like the cheeks of a bloodhound.	彼は非常に太っていたが、しかしいつかはそれよりもっと太っていたらしく、ちょうど猟犬のブラッド・ハウンドの頬のように、ゆるんだ革袋のような皮が、顔の周囲に垂れ下っていた。
He was of a sickly colour, and his thin, sandy hair seemed to bristle up with the intensity of his emotion.	そうして彼の顔色は一目で分かるほど、病人らしい色つやで、そのやせた赫茶けた頭髪は、いかに彼の感情がはげしいかを物語っていた。
In his hand he held a pistol, but he thrust it into his pocket as we advanced.	――彼は案の定、手にピストルを持っていたが、私たちが近よって行くと、それをポケットの中にしまってしまった。
``Good-evening, Mr. Holmes,''	「今晩は、ホームズさん、よくいらしって下さいました」
said he.	彼は云った。
``I am sure I am very much obliged to you for coming round.	「実は大事件が起きましてね、どうしてもあなたに御足労願わなければならなかったのです。
No one ever needed your advice more than I do.	おそらく今まで、私ぐらい、あなたのお力を必要としていたものは、この世界中に一人だってないでしょう。
I suppose that Dr. Trevelyan has told you of this most unwarrantable intrusion into my rooms.''	――たぶん、もうトレベリアン博士が、このけしからん闖入者について、あなたにお話ししたこととは思いますが……」
``Quite so,''	「ええ、もう大体のことはうかがいました」
said Holmes.	と、ホームズは云った。
``Who are these two men,	「だが、一体その二人の男と云うのは何者なんですか？
Mr. Blessington,	ブレシントンさん。
and why do they wish to molest you?''	そうして一体、なんのためにあなたにそんな迫害を加えようとするんですか？」
``Well, well,''	「そうです、そうです、そのことです」
said the resident patient in a nervous fashion,	この入院患者は、精神病者らしい神経質な様子をして答えた。
``of course it is hard to say that.	「それは無論、云いにくいんです。
You can hardly expect me to answer that, Mr. Holmes.''	ホームズさん、私はそれについて、あなたにお答えすることは出来ないでしょう」
``Do you mean that you don't know?''	「とおっしゃるのは、あなたは知らない、と云う意味なんですか？」
``Come in here, if you please.	「どうぞ、まあ、こちらへいらしって下さい。
Just have the kindness to step in here.''	――まあどうか、こっちへお這入りになって下さい、お願いですから」
He led the way into his bedroom,	彼は私たちを彼の寝室の中へつれていった。
which was large and comfortably furnished.	その部屋は大きくて、居心地よく飾りつけてあった。
``You see that,''	「あれを御覧下さい」
said he, pointing to a big black box at the end of his bed.	彼は、寝台の裾のほうにおいてある大きな黒い箱を指さしながら云うのだった。
``I have never been a very rich man, Mr. Holmes	「ホームズさん、私は決して大金持ちではありません。
-- never made but one investment in my life, as Dr. Trevelyan would tell you.	――トレベリアン博士があなたにお話しした通り、私はこの病院に投資した以外には、何も事業などはしていないのです。
But I don't believe in bankers.	――そのくせ私は、銀行にお金を預けることが出来ないんです。
I would never trust a banker, Mr. Holmes.	私は銀行家を信用したことはまだ一度もありません。
Between ourselves, what little I have is in that box,	ですから、私は、私の持っているすべてのものは、みんなあの箱の中にしまってあるのです。
so you can understand what it means to me when unknown people force themselves into my rooms.''	――と、これだけ申上げれば、私の部屋に見ず知らずの人間が這入って来ると云うことは、私にとってどれほど重大な問題であるかと云うことは、お分かりになるだろうと思います」
Holmes looked at Blessington in his questioning way	ホームズはもの問いたげな様子をして、ブレシントンを眺めた。
and shook his head.	そしてそれから首をふった。
``I cannot possibly advise you if you try to deceive me,''	「もしあなたが私を信用なさらないのなら、私はあなたに、何もお力になって上げることは出来ませんよ」
said he.	彼は云った。
``But I have told you everything.''	「いえいえ、しかし何もかもあなたにお話ししたんです」
Holmes turned on his heel with a gesture of disgust.	ホームズは不愉快そうな顔をして、彼の踵（きびす）をめぐらすと、
``Good-night, Dr. Trevelyan,''	「さようなら、トレベリアン博士」
said he.	と、彼は声をかけた。
``And no advice for me?''	「私には何も相談に乗っていただけないんですか？」
cried Blessington in a breaking voice.	ブレシントンは、うろたえた声で叫んだ。
``My advice to you, sir, is to speak the truth.''	「あなたに申上げたいことは、真実をお話しなさいと云うことだけです」
A minute later we were in the street and walking for home.	それから数分の後、私たちは街へ出て、家路を辿りつつあった。
We had crossed Oxford Street and were halfway down Harley Street before I could get a word from my companion.	私たちはオックスフォード街を横切り、そしてハーレイ街の中ほどまで下って来るまで、お互いに一言も口をきき合わなかった。
``Sorry to bring you out on such a fool's errand, Watson,''	「ワトソン、あんな馬鹿な奴の所へ、下らなく君を引っ張り出してすまなかったねえ」
he said at last.	遂に、ホームズは口をひらいた。
``It is an interesting case, too, at the bottom of it.''	「しかしあの問題のどん詰りまで行けば、面白い事件なんだよ」
``I can make little of it,''	「そうかねえ、僕には全然分からない」
I confessed.	私は正直に白状した。
``Well, it is quite evident that there are two men	「とにかく何かの理由で、このブレシントンをつけねらってる男が二人、
-- more perhaps, but at least two	――いや、ことによるともっといるかも知れないが、少くも二人いる、と云うことはたしかなんだ。
I have no doubt in my mind that both on the first and on the second occasion that young man penetrated to Blessington's room,	僕は最初の時もそれから二度目の時にも、例の若い男がブレシントンの部屋に忍び込んだに違いないと思ってるんだ。
while his confederate, by an ingenious device, kept the doctor from interfering.''	そしてその間片方では、共謀者が、実に巧みな計略で、例の医者を診察室の中へとじこめちまっていたんだ」
``And the catalepsy?''	「だがしかし一人の男は顛癇病の患者だったのじゃないかね！」
``A fraudulent imitation, Watson, though I should hardly dare to hint as much to our specialist.	「なあに、君、ありア仮病さ、ワトソン君、なんだか専問家に僕のほうで教えるような形になって変だけれど、
It is a very easy complaint to imitate.	その真似をして仮病をつかうぐらいのことは何でもないんだよ。
I have done it myself.''	僕にだって出来る」
``And then?''	「ふむ、
``By the purest chance Blessington was out on each occasion.	「それからだね、前後二回とも、ブレシントンが外出中のことだったのは、偶然にそうなったのだと云うことだ。
Their reason for choosing so unusual an hour for a consultation was obviously to insure that there should be no other patient in the waiting-room.	それは、つまり診察してもらうのに、殊更に夕方のそんな変な時間を選んだと云うのは、そんな時間なら待合室には誰もいないのに相違ないからだったのだ。
