The Resident Patient	入院患者
It just happened, however, that this hour coincided with Blessington's constitutional,	ところが、それが偶然にもブレシントンの毎日の規則と合ってしまったわけなんだ。
which seems to show that they were not very well acquainted with his daily routine.	その二人の男は全くブレシントンが毎日夕方になると散歩に出ることなどは知らなかったのだ。
Of course, if they had been merely after plunder they would at least have made some attempt to search for it.	――無論、もしその二人の男が、何か略奪をする目的でやって来たのだとしたら、あのブレシントンの部屋に少くもその辺を探し廻ったらしい形跡がなくてはならない。
Besides, I can read in a man's eye when it is his own skin that he is frightened for.	その上、僕は、大ていの場合、人の目を見れば、その男が何か心に恐怖を持ってる場合には、ちゃんと見抜くことが出来るんだ。
It is inconceivable	――そこで僕はこう見当をつけた。
that this fellow could have made two such vindictive enemies as these appear to be without knowing of it.	その二人の男は、ブレシントンを讐（かたき）とねらってる男に相違ない、とね。
I hold it, therefore, to be certain that he does know who these men are, and that for reasons of his own he suppresses it.	――とすれば、その二人の男が何者だか、ブレシントンは知っていなければならないはずだし、それだからこそ彼はそれを隠して知らないような顔をしているのに違いないのだ。
It is just possible that to-morrow may find him in a more communicative mood.''	だが、見たまえ、あしたになると、あの男はきっと正直に何もかも打ちあけて話すようになるから……」
``Is there not one alternative,''	「なるほど、それはたしかにそうかもしれないね」
I suggested,	と、私は云った。
``grotesquely improbable, no doubt, but still just conceivable?	「だがその他に、こうも考えられる。
Might the whole story of the cataleptic Russian and his son be a concoction of Dr. Trevelyan's, who has, for his own purposes, been in Blessington's rooms?''	その顛癇病のロシア人親子の話は、みんなトレベリアン博士のつくり話で、ブレシントンに対して何かなす所あろうため、そんな話をつくったのではないかと云う事だね」
I saw in the gas-light that Holmes wore an amused smile at this brilliant departure of mine.	私は、ホームズが私のこの反対を耳にした時、ニヤリと得意げに微笑したのをガスの光りの中に見た。
``My dear fellow,''	「僕もそれは最初に考えたよ」
said he,	彼は云った。
but I was soon able to corroborate the doctor's tale.	「しかし僕は、医者の話は本当のことだと云うことを確かめることが出来た。
This young man has left prints upon the stair-carpet which made it quite superfluous for me to ask to see those which he had made in the room.	――と云うのは例の若い男は、階段のカーペットの上へも、ちゃんと足跡を残していっていたので、部屋の内へ残していったと云うその足跡を見に行かなくても僕はちゃんと分かってしまったんだが、
When I tell you that his shoes were square-toed instead of being pointed like Blessington's, and were quite an inch and a third longer than the doctor's,	ブレシントンの靴もあの医者の靴もさきが尖っているのに、その足跡は四角な爪さきで、そして医者の靴よりは一吋（インチ）三分の一は大きいのだ。
you will acknowledge that there can be no doubt as to his individuality.	これを見れば、彼の話がつくり話ではなさそうに思われたんだ。
But we may sleep on it now,	――が、まあ、今夜は早く寝て、寝ながら少し考えてみようよ。
for I shall be surprised if we do not hear something further from Brook Street in the morning.''	きっと明日の朝になるとブルックストリートから何か云って使（つかい）が迎えにやって来るから………」
Sherlock Holmes's prophecy was soon fulfilled,	このシャーロック・ホームズの予言は、たちまち見事にあたってしまった。
and in a dramatic fashion.	しかも最も劇的な筋みちを辿って。
At half-past seven next morning,	――と、云うのは、その翌朝の七時半頃のことだった。
in the first dim glimmer of daylight, I found him standing by my bedside in his dressing-gown.	窓からさし込む朝のうす明かりの中に、もう不断服（ふだんふく）に着かえたホームズが、私の寝台の側に立っているのを見出した。
``There's a brougham waiting for us, Watson,''	「ワトソン、馬車が迎えにやって来てるんだ」
said he.	と、彼は云った。
``What's the matter, then?''	「何か起きたのかい」
``The Brook Street business.''	「いいや、例のブルックストリートの事件だよ」
``Any fresh news?''	「ああ、
``Tragic, but ambiguous,''	「悲劇的な、しかも至ってまぎらわしい知らせなんだ」
said he, pulling up the blind.	彼は部屋の窓の鎧戸を引きあけながらそう云った。
``Look at this	「まあ、これを読んでみたまえ、
-- a sheet from a notebook,	――ノートから破りとった紙の上へ、鉛筆で、
with `For God's sake come at once. P. T.,'	――直ちに御来駕御救援願いたし、トレベリアン、
scrawled upon it in pencil.	――と書いてあるんだからね。
Our friend, the doctor, was hard put to it when he wrote this.	たぶん医者は、このノートさえ書くのにやっとだったに違いないんだよ。
Come along, my dear fellow, for it's an urgent call.''	――とにかくよほど困ってるらしいんだから、いってみてやろうじゃないか」
In a quarter of an hour or so we were back at the physician's house.	それから二三十分の後、私たちは例の医院の前に着くことが出来た。
He came running out to meet us with a face of horror.	と、彼は恐怖に満ちた顔つきをしながら家の中からとび出して来た。
``Oh, such a business!''	「思いがけないことになったんです」
he cried with his hands to his temples.	彼はそう云いながら、自分の手で自分の額を押えた。
``What then?''	「一体、どうしたと云うんです？」
``Blessington has committed suicide!''	「ブレシントンが、自殺をしちまったんですよ」
Holmes whistled.	ホームズは驚きの声をあげた。
``Yes,	「そうなんです。
he hanged himself during the night.''	昨夜（ゆうべ）のうちに、ブレシントンは首をくくっちまったんです」
We had entered,	私たちは家の中に這入っていった。
and the doctor had preceded us into what was evidently his waiting-room.	そして医者は、私たちをたぶん待合室であろうと思われる部屋に案内していった。
``I really hardly know what I am doing,''	「実際、私はどうしたらいいのか、全く分からないんです」
he cried.	トレベリアンは云った。
``The police are already upstairs.	「巡査はもうとうに来て二階にいます。
It has shaken me most dreadfully.''	私はただもうふるえているばかりです」
``When did you find it out?''	「あなたが自殺を見つけたのはいつ頃ですか？」
``He has a cup of tea taken in to him early every morning.	「彼は毎朝早く、きまってお茶を一杯飲むのが習慣だったんですが、
When the maid entered, about seven, there the unfortunate fellow was hanging in the middle of the room.	今朝も七時に女中がお茶を持って部屋に這入って行くと、その時には既に、彼は部屋の真ん中にブラさがっていたのだと云うことです。
He had tied his cord to the hook on which the heavy lamp used to hang, and he had jumped off from the top of the very box that he showed us yesterday.''	――いつもあの重いランプをかけることにしていた鈞（はり）に、紐をむすびつけて、昨日私たちに見せたあの箱の上から飛んでぶらさがったものらしいですね」
Holmes stood for a moment in deep thought.	ホームズはしばらくの間じっと考えて立っていた。
``With your permission,''	「ねえどうでしょう」
said he at last,	ホームズはやがて云った。
``I should like to go upstairs and look into the matter.''	「僕も二階へいって、事件を調べてみたいんですがね」
We both ascended, followed by the doctor.	そこで私たちは医者につれられて二階に上って行った。
It was a dreadful sight which met us as we entered the bedroom door.	そうして私たちがその寝室に這入って見た光景は、実に恐ろしい眺めだった。
I have spoken of the impression of flabbiness which this man Blessington conveyed.	私は、これがブレシントンかと思われるように、グニャリとしてたれさがっていたその様子を、どうしてもここに書き現すことは出来ない。
As he dangled from the hook it was exaggerated and intensified until he was scarce human in his appearance.	その鈞（はり）からぶらさがっている様子は、どうしても人間だとは思われなかったと云っても、少しも誇張ではないのである。
The neck was drawn out like a plucked chicken's, making the rest of him seem the more obese and unnatural by the contrast.	その首は、ひねられた鶏の首のように伸びて、余計にからだ全体を太っているように見せ、その対象の奇妙さと云ったらなかった。
He was clad only in his long nightdress, and his swollen ankles and ungainly feet protruded starkly from beneath it.	それはブレシントンの長い寝巻きをまとった粘土細工で、その下からふくれ上った踵と不恰好な足とがニョキッとまる出しになっているのにすぎないのであった。
Beside him stood a smart-looking police-inspector, who was taking notes in a pocketbook	――そしてその側にはすばしっこそうな警察の探偵が立って、しきりに懐中手帳に何か書きとめていた。
``Ah, Mr. Holmes,''	「ああホームズさん」
said he heartily as my friend entered,	ホームズが這入って行くと彼は云った。
``I am delighted to see you.''	「あなたがいらしって下すったのは、大変有難いです」
``Good-morning, Lanner,''	「お早う、レーナー君」
answered Holmes,	ホームズは答えた。
``you won't think me an intruder, I am sure.	「余計な奴が闖入して来たと思わないでくれたまえよ。
Have you heard of the events which led up to this affair?''	――君はこの事件を引き起こした原因になるべきいろいろな出来事について、きいたかね？」
``Yes, I heard something of them.''	「ええ、大体はききました」
``Have you formed any opinion?''	「で、君の意見はどうかね？」
``As far as I can see, the man has been driven out of his senses by fright.	「私の見ました限りでは、この男は何かの恐怖のために精神に異常を来たしたものじゃないかと思うんです。
The bed has been well slept in, you see.	――ごらんのようにベットには寝ていたらしい形跡があり、
There's his impression, deep enough.	しかも彼のからだの形がそのまま深く残っています。
It's about five in the morning, you know, that suicides are most common.	――普通、自殺と云うものは、朝の五時頃に行われるのが一番多いと云うことはあなたも御存じの通りですが、
That would be about his time for hanging himself.	彼の自殺もやはりその頃に行われたのじゃないかと思うんです。
It seems to have been a very deliberate affair.''	――しかしいずれにしてもこれは、慎重に考うべき事件らしいような気がします」
``I should say that he has been dead about three hours, judging by the rigidity of the muscles,''	「筋肉のかたまりかたから見ると、死んでから三時間ぐらい経過していますね」
said I.	私は云った。
``Noticed anything peculiar about the room?''	「その外に、この部屋の中で何か変ったことはありませんでしたか？」
asked Holmes.	ホームズは訊ねた。
``Found a screw-driver and some screws on the wash-hand stand.	「螺旋（ねじ）まわしと二三の螺旋を手洗い台の上で見つけました。
Seems to have smoked heavily during the night, too.	それから前の晩にはよほどひどく煙草を吸ったらしい紙を見ました。
Here are four cigar-ends that I picked out of the fireplace.''	ここに暖炉の中からひろい出した葉巻の吸いさしが四つあります」
``Hum!''	「ふーむ」
said Holmes,	ホームズは云った。
``have you got his cigar-holder?''	「彼の葉巻パイプを持ってますか？」
``No,	「いいえ。
I have seen none.''	そんなものは見えないようでしたよ」
``His cigar-case, then?''	「じゃ、葉巻入れは？」
``Yes, it was in his coat-pocket.''	「ああそれは上衣（うわぎ）のポケットの中にありました」
Holmes opened it and smelled the single cigar which it contained.	ホームズはその葉巻入れをひらいて、その中にたった一本残っていた葉巻の匂いをかいでみた。
``Oh, this is a Havana,	「ああ、これはハバナだ。
and these others are cigars of the peculiar sort which are imported by the Dutch from their East Indian colonies.	――けれど、そのほかのは、東印度（いんど）の殖民地から輸入されるドイツ煙草で、全然何か別種の葉巻らしい。
They are usually wrapped in straw, you know, and are thinner for their length than any other brand.''	――それは君も知ってるように、大ていはストローでつつんであって、ほかの種類のものに比較すると、長さの割に細巻のものだ」
He picked up the four ends and examined them with his pocket-lens.	彼はそこにある四つの吸い残りをつまみ上げて、それらを懐中レンズで調べてみた。
``Two of these have been smoked from a holder and two without,''	「このうち二つはたしかにパイプで吸われたものだが、他の二つはパイプなしで吸われたものだ」
said he.	と彼は云った。
``Two have been cut by a not very sharp knife, and two have had the ends bitten off by a set of excellent teeth.	「それから二つの口はあんまり鋭くない刄物（はもの）で切ってあるけれども、他の二つは丈夫な歯でくい切ってある。
This is no suicide, Mr. Lanner.	――レーナー君、これは何だね、自殺じゃないね。
It is a very deeply planned and cold-blooded murder.''	これは実に巧妙に仕組んである、冷酷な殺人だよ」
``Impossible!''	「そんなことはないでしょう」
cried the inspector.	と、探偵は叫んだ。
``And why?''	「なぜさ？」
``Why should anyone murder a man in so clumsy a fashion as by hanging him?''	「なぜって、そうじゃありませんか、首をくくらせるなんて、そんな気のきかない人殺しの仕方なんてあるものですか」
``That is what we have to find out.''	「いや、それは僕たちが発見した時の死人の様子なんだよ」
``How could they get in?''	「しかしそれならどこから這入って来たんでしょう？」
``Through the front door.''	「前の入口からさ」
``It was barred in the morning.''	「でも今朝は、そこにはちゃんと閂がかかっていましたよ」
``Then it was barred after them.''	「そりア仕事がすんでからかけたからさ」
``How do you know?''	「だが、あなたはどうしてそれをご存じなんです？［＃「ご存じなんです？」は底本では「ご存じないんです？」］」
``I saw their traces.	「その跡がちゃんとあるよ。
Excuse me a moment, and I may be able to give you some further information about it.''	――ちょっと待ちたまえ、今、君にもっと不思議なことを見せて上げるから」
He went over to the door,	彼は入口のドアまで歩いていった。
and turning the lock he examined it in his methodical way.	そしてそこの鍵を、彼独得の法則にかなったやり方で調べた。
Then he took out the key, which was on the inside, and inspected that also.	それから内側にある鍵もとって、しらべてみた。
The bed, the carpet, the chairs, the mantelpiece, the dead body, and the rope were each in turn examined,	また寝台も敷ものも椅子も暖炉も死体も綱も、順々にみんなしらべてみた。
until at last he professed himself satisfied,	彼の満足が行くまで。
and with my aid and that of the inspector cut down the wretched object and laid it reverently under a sheet.	――そうして私と探偵との手を借りて、その死骸を下におろして、うやうやしく被いものでおおった。
``How about this rope?''	「この綱はどこから持って来たものなんです」
he asked.	彼はきいた。
``It is cut off this,''	「これから切ったんですよ」
said Dr. Trevelyan, drawing a large coil from under the bed.	トレベリアン博士は寝台の下から、大きな綱の束を引っぱり出しながら、答えた。
``He was morbidly nervous of fire,	「ブレシントンは無暗（むやみ）に火事をこわがったんです。
and always kept this beside him, so that he might escape by the window in case the stairs were burning.''	だものですから、もし火事がおきて来て階段が燃えるようなことがあった場合、窓から逃げられるようにと云うのでこの綱を、いつも自分の側においといたんです」
``That must have saved them trouble,''	「なるほどね、その綱が、彼の生命を救うどころかかえって奪ってしまったと云うわけなんですね」
said Holmes thoughtfully.	ホームズは考え深そうにそう云った。
``Yes, the actual facts are very plain,	「それで大体事件は想像がつきましたよ。
and I shall be surprised if by the afternoon I cannot give you the reasons for them as well.	――きょうの午後までには、すっかり判明させることが出来ると思います。
I will take this photograph of Blessington,	――あの暖炉の上のブレシントンの肖像をとりおろしてもいいでしょう。
which I see upon the mantelpiece, as it may help me in my inquiries.''	ちょっと調べてみたいことがあるんですが……」
``But you have told us nothing!''	「けれど私にはまだ、何も話して下さらないじゃありませんか」
cried the doctor.	と医者は云った。
``Oh,	「ああ、そうでしたね。
there can be no doubt as to the sequence of events,''	――こう云うことだけは、この事件について疑いのない所ですね」
said Holmes.	ホームズは云った。
``There were three of them in it:	「この事件の中には、三人の男がいると云うことです。
the young man, the old man, and a third,	――若い男と年をとった男とそれからもう一人、
to whose identity I have no clue.	――その男についてはまだどんな男か、私は手がかりがつかないでいるんですが。
The first two, I need hardly remark, are the same who masqueraded as the Russian count and his son, so we can give a very full description of them.	――しかしとにかくその初めの二人の男ですね、それは例のロシア貴族とその息子とに化けて来た男であることは、申上げるまでもないことでしょう。
They were admitted by a confederate inside the house.	その男たちは、誰か家の中に加担した男がいて、その男の手引きで、仕事をしたらしいと思うんですがね
If I might offer you a word of advice.	――探偵、あなたにちょっと御注意しておきたいことは、
Inspector, it would be to arrest the page,	ここの、案内のボーイですね、あれを捕えてお調べになってみたら。
who, as I understand, has only recently come into your service, Doctor.''	――なんでも最近お雇いになったったと云うお話でしたね、博士……」
``The young imp cannot be found,''	「ええ、あの若僧が見えないんですよ。
said Dr. Trevelyan;	とトレベリアン博士は云った。
``the maid and the cook have just been searching for him.''	「今、女中や料理番がさがして歩いているんですがね」
Holmes shrugged his shoulders.	ホームズは肩をそびやかした。
``He has played a not unimportant part in this drama,''	「彼奴（きゃつ）はこの事件で少なからず重大な役目をしているんですよ」
said he.	彼は云った。
``The three men having ascended the stairs, which they did on tiptoe,	「三人の男たちは、爪さきで階段を昇って来たんですね、
the elder man first, the younger man second, and the unknown man in the rear -- ''	――年をとった奴が最初で、それから若い男、それからその分からないもう一人の男が一番あとから……」
``My dear Holmes!''	「確かにそうだね、ホームズ君」
I ejaculated.	と、私は不意に、思わず口をはさんだ。
``Oh, there could be no question as to the superimposing of the footmarks.	「それは、たしかに足跡が重なり合っているのを見れば、疑う余地はないんです。
I had the advantage of learning which was which last night.	――私は昨夜のうちにつけられた足跡を調べてみました。
They ascended, then, to Mr. Blessington's room,	――で、彼等はブレシントン氏の部屋の入口までのぼって来たんです。
the door of which they found to be locked.	しかし入口の戸は鍵がかかっていた。
With the help of a wire, however, they forced round the key.	そこで彼等はどうしたかと云えば、針金の力を応用して、うまうまと鍵を廻してしまったのです。
Even without the lens you will perceive, by the scratches on this ward,	拡大鏡がなくても、この通り鍵の穴に引っ掻いたらしい跡があるのが分かるでしょう。
where the pressure was applied.	これは針金を入れて廻そうとした時についた引っ掻きキズに相違ないんです。
``On entering the room their first proceeding must have been to gag Mr. Blessington.	奴等は部屋の中に這入って来ると、いきなりブレシントン氏に猿轡をはめちまったんですね、
He may have been asleep, or he may have been so paralyzed with terror as to have been unable to cry out.	ブレシントン氏はたぶんその時眠っていたか、でなければ目をさましていたにしても、恐ろしさで縮み上って、声を立てることも出来なかったものに違いないんです。
These walls are thick,	それにこの通りこの部屋の壁は厚いでしょう。
and it is conceivable that his shriek, if he had time to utter one, was unheard.	ですから彼が一声や二声叫んだって、到底外まで聞えはしなかったんです。
``Having secured him, it is evident to me that a consultation of some sort was held.	ところで、ブレシントン氏をしばり上げちまってから、奴等は何をしたかと云えば、私の想像では、ブレシントン氏をどう云う方法で殺ろそうと云う相談をしたんだろうと思うんです。
Probably it was something in the nature of a judicial proceeding.	こう云う風な事件の時、大概はそう云った順序をとるものらしいですね。
It must have lasted for some time, for it was then that these cigars were smoked.	――しかもその相談はかなり長く続いたと見えてこの通りたくさん葉巻の吸殻が捨ててあります。
The older man sat in that wicker chair;	たぶん、年とった男はそこの椅子に腰かけていたんです。
it was he who used the cigar-holder.	パイプで葉巻を吸ったのはそいつでしょう。
The younger man sat over yonder;	それから若い男はそっち側にいて、
he knocked his ash off against the chest of drawers.	抽出（ひきだ）しの縁［＃「縁」は底本では「椽」］で煙草の灰を落していたんです。
The third follow paced up and down.	そして三番目の奴は、その辺をいったり来たりしていたんでしょう。
Blessington, I think, sat upright in the bed, but of that I cannot be absolutely certain.	ブレシントン氏は、たぶんベットの上にすわらされていたんだろうと私は思うんですが、しかしどれも確かじアありません。
``Well, it ended by their taking Blessington and hanging him.	やがて彼等の相談は、ブレシントンを吊るして首をくくらせようという事にきまったのです。
The matter was so prearranged that it is my belief that they brought with them some sort of block or pulley which might serve as a gallows.	――そこで奴等は、何かの用にしようと思って持って来た滑車を絞首台をつくるのに応用したんですね。
That screw-driver and those screws were, as I conceive, for fixing it up.	その螺旋廻しと螺旋とで、それをしっかりそこにくくりつけたんです。
Seeing the hook, however, they naturally saved themselves the trouble.	それからブレシントンをそこにぶらさげたんですね。
Having finished their work they made off, and the door was barred behind them by their confederate.''	こう云う風にして、すっかり細工をし上げてから、彼等は悠々と入口から出ていったのですが、そのあとはちゃんと彼等の共謀者が家の中にいて、閂をかけておいたものだと、私は思うんです」
We had all listened with the deepest interest to this sketch of the night's doings,	私たちは非常に深い興味を以って、その前の晩の出来事の話をきいた。
which Holmes had deduced from signs so subtle and minute that, even when he had pointed them out to us, we could scarcely follow him in his reasonings.	ホームズはそれらの話を、彼が説明してくれている時でさえ、私たちは気のつかないような小さな、捕えどころのないようなことから推論して話してくれるのであった。
wThe inspector hurried away on the instant to make inquiries about the page, while Holmes and I returned to Baker Street for breakfast.	探偵はやがて、いそいで、例の案内係りのボーイをさがしに出かけていったので、ホームズと私とは朝飯をたべにブルックストリートに帰って来た。
``I'll be back by three,''	「僕は三時までには帰って来る」
said he when we had finished our meal.	ホームズは朝飯をすましてしまうとそう云った。
``Both the inspector and the doctor will meet me here at that hour,	「探偵と医者とが、たぶん三時には僕たちをたずねて来るだろう。
and I hope by that time to have cleared up any little obscurity which the case may still present.''	僕はそれまでに、まだ少し残っている小さな不明瞭な個所をすっかり調べ上げてしまいたいんだ」
Our visitors arrived at the appointed time,	やがて彼が云った三時になると、私たちの訪問客はちゃんとやって来た。
but it was a quarter to four before my friend put in an appearance.	しかし私の友達が帰って来たのは、四時二十五分前のことだった。
From his expression as he entered, however, I could see that all had gone well with him.	――私は彼が這入って来た時、彼の表情を見て、これはすっかりうまくいったんだな、とそう思った。
``Any news, Inspector?''	「何か変ったことがありましたかな、探偵」
``We have got the boy, sir.''	「例のボーイを捕えましたよ」
``Excellent,	「そりア素適な手柄です。
and I have got the men.''	――私はまた例の奴等の正体をひっつかんで来ました」
``You have got them!''	「何者だか分かったんですか」
we cried, all three.	私たちはみんな一時に叫んだ。
``Well, at least I have got their identity.	「少くも奴等が何者であるかと云うことだけは内偵して来ました。
This so-called Blessington is, as I expected, well known at headquarters, and so are his assailants.	――私の睨んだ所によると、このいわゆるブレシントンと云う男も、それからブレシントンを殺ろした男も、共に探偵本部ではよく知られている男だったんです。
Their names are Biddle, Hayward, and Moffat.''	――奴等の名前は、ビッドルとヘイワード、それからモーファット、とこの三人です」
``The Worthingdon bank gang,''	「ああ、それじゃ、あのウォーシントン銀行事件の発頭人じゃありませんか」
cried the inspector.	探偵は叫んだ。
``Precisely,''	「その通りなんです」
said Holmes.	ホームズは云った。
``Then Blessington must have been Sutton.''	「そうするとブレシントンはシュウトンに違いありませんね」
``Exactly,''	「そうなんですよ」
said Holmes.	ホームズは答えた。
``Why, that makes it as clear as crystal,''	「またどうしてあなたは、まるで鏡に写し出すようにハッキリそれがお分かりになったんです？」
said the inspector.	探偵は云った。
But Trevelyan and I looked at each other in bewilderment.	しかしトレベリアンと私とは、何が何だか分からないのでお互いに目を見合っているばかりだった。
``You must surely remember the great Worthingdon bank business,''	「諸君は、例のウォーシントン銀行事件と云うのを知っているだろう」
said Holmes.	とホームズは云った。
``Five men were in it	「あの事件の中には五人の人物がいる。
-- these four and a fifth called Cartwright.	すなわち今いった四人と、それから五人目の男はカートライトと云ったんだ。
Tobin, the caretaker, was murdered, and the thieves got away with seven thousand pounds.	トビンと云うその銀行の留守番を殺ろして、七千磅（ポンド）を奪って逃たんだが、
This was in 1875.	それは一八七五年のことだったんです。
They were all five arrested, but the evidence against them was by no means conclusive.	ほどなく五人のものはみんな捕まったんですが、相憎なことに証拠がすこぶる不充分だった。
This Blessington or Sutton, who was the worst of the gang, turned informer.	ところがこのブレシントンすなわちシュウトンなる男が、この男がまあ一番悪がしこかったわけなんでしょうが、たちまち寝返って密告しちまったんです。
On his evidence Cartwright was hanged and the other three got fifteen years apiece.	そこでブレシントンの密告のおかげでカートライトはとうとう主謀者と云うので死刑にされ、他の四人のものはそれぞれ十五年間ずつの刑を着せられたわけです。
When they got out the other day, which was some years before their full term,	――が、やがてそれらのものも、各々特赦などに会って、十五年たたないうちにまた社会へ出て来ることになったわけです。
they set themselves, as you perceive, to hunt down the traitor and to avenge the death of their comrade upon him.	そこで彼等は、自分たちを売って刑を着せたり、また仲間の一人を死刑にしてしまったりした男に、復讐をしようと計画したわけなんです。
Twice they tried to get at him and failed;	――彼等は二度計画して、二度とも失敗したんです。
a third time you see, it came off.	そして三度目にようやく成功したわけなのです。
Is there anything further which I can explain, Dr. Trevelyan?''	――と、まあ以上のようなわけなんですけれど、まだどこかお分かりにならない所がありますから、トレベリアン博士」
``I think you have made it all remarkably clear,''	「いえ、実によく分かりました」
said the doctor.	と医者は答えた。
``No doubt the day on which he was so perturbed was the day when he had seen of their release in the newspapers.''	「そう云えば思い出します。
``Quite so.	「そうでしょう。
His talk about a burglary was the merest blind.''	――ですから彼が起こした強盗騒ぎなんか、みんな嘘なんですよ」
``But why could he not tell you this?''	「けれど、どうして彼はそれを打ちあけなかったんでしょう？」
``Well, my dear sir, knowing the vindictive character of his old associates, he was trying to hide his own identity from everybody as long as he could.	「それはなんですよ、自分の昔の仲間がどんなに復讐心が強いかと云うことをよく知っていたんで、出来るだけ長く、誰からも自分の正体をかくしておきたかったんでしょう。
His secret was a shameful one and he could not bring himself to divulge it.	――それに彼のその秘密は実際破廉恥なものですからね、それを漏らす元気はなかったんですよ。
However, wretch as he was, he was still living under the shield of British law, and I have no doubt, Inspector, that you will see that, though that shield may fail to guard, the sword of justice is still there to avenge.''	――しかしこうして彼が殺ろされてみると、彼は英国の法律によって保護されて生きていた人間なんですから、よし一度はその保護の盾を破られて殺されたとは云え、英国の正義の剣は、彼のために正当な仇を報じてやらなくてはなりますまい、ねえ探偵」
Such were the singular circumstances in connection with the Resident Patient and the Brook Street Doctor.	以上の話が、ブルック・ストリートの医者とその家の入院患者とに関係した事件のあらましである。
From that night nothing has been seen of the three murderers by the police,	――その夜から三人の殺人犯は、官憲によって探索されたが、なかなかつかまらなかった。
and it is surmised at Scotland Yard that they were among the passengers of the ill-fated steamer Norah Creina,	が、やがて、彼等がノラ・クリーナ号と云うボロボロの船の乗客の間にまじって、スコットランドの波止場に上陸した時、とうとう捕えられてしまった。
which was lost some years ago with all hands upon the Portuguese coast, some leagues to the north of Oporto.	その船はつい二三年前（ぜん）、オポルトウの北方数哩（まいる）のポルトガルの沖合いで沈んでしまった。
The proceedings against the page broke down for want of evidence,	――それから例の案内係のボーイは、証拠不充分と云うので放免された。
and the Brook Street Mystery, as it was called, has never until now been fully dealt with in any public print.	すなわちこれがいわゆる『ブルック・ストリートの秘密』として有名な事件のあらましなのであって、今日までまだ公に発表されたことのないものである。
