Harlem.	ニューヨーク市ハーレム。
Mrs. Fink had dropped into Mrs. Cassidy's flat one flight below.	ミセス・フィンクは1階下のミセス・カシディの部屋に降りていった。
"Ain't it a beaut?"	「ねえ、きれいじゃない？」
said Mrs. Cassidy.	とミセス・カシディは言った。
She turned her face proudly for her friend Mrs. Fink to see.	誇らしげに首を回し、ミセス・フィンクに顔が見えるようにする。
One eye was nearly closed, with a great, greenish-purple bruise around it.	片目の回りに青黒い痣ができていて、ほとんどふさがっている。
Her lip was cut and bleeding a little and there were red finger-marks on each side of her neck.	唇は切れ、ほんの少し血が流れており、首の両側には赤い手形がついている。
"My husband wouldn't ever think of doing that to me,"	「うちのひとは私にそんなことしようなんて考えもしないけどな」
said Mrs. Fink, concealing her envy.	とミセス・フィンクは羨ましいのを隠しながら言った。
"I wouldn't have a man," declared Mrs. Cassidy, "that didn't beat me up at least once a week.	「少なくとも1週間に一度くらいは私をぶってくれない男なんてごめんよ。
Shows he thinks something of you.	ちょっとくらいは気にかけてるって示してもらわないと。
Say!	そうよ！
but that last dose Jack gave me wasn't no homeopathic one.	でもジャックが最後にくれたのはひと味違ってたのよ。
I can see stars yet.	まだ目の前で星がとびかってるもの。
But he'll be the sweetest man in town for the rest of the week to make up for it.	でもあのひとはその償いにその週のあとの日はずっと優しくしてくれるんだから。
This eye is good for theater tickets and a silk shirt waist at the very least."	この目にだって芝居のチケットとシルクのブラウスくらいのことはありそうよ」
"I should hope,"	「うちのひとは」
said Mrs. Fink, assuming complacency,	ミセス・フィンクは自慢げなふりをして言った。
"that Mr. Fink is too much of a gentleman ever to raise his hand against me."	「とっても立派な紳士だから私に手を上げようなんて考えもしないのよ」
"Oh, go on, Maggie!"	「無理しないことね、マギー」
said Mrs. Cassidy, laughing and applying witch hazel,	とミセス・カシディはマンサクの膏薬を塗りながら笑い飛ばした。
"you're only jealous.	「あんた、妬んでるんでしょう。
Your old man is too frapped and slow to ever give you a punch.	あんたんとこのひとはパンチ一発お見舞いしてくれない鈍いひとだもんね。
He just sits down and practises physical culture with a newspaper when he comes home	家に帰ってきたらただ椅子に座って新聞で今日なにがあったかを眺めるばかり
--now ain't that the truth?"	――どう、図星でしょう」
"Mr. Fink certainly peruses of the papers when he comes home,"	「うちのひとは確かに家に帰ってきたらじっと新聞を読んでるけど」
acknowledged Mrs. Fink, with a toss of her head;	とミセス・フィンクは頭をつんとそらしつつ認めた。
"but he certainly don't ever make no Steve O'Donnell out of me just to amuse himself--that's a sure thing."	「でも、面白半分にわたしをスティーブ・オドネルみたいにはしません――それは絶対よ」
Mrs. Cassidy laughed the contented laugh of the guarded and happy matron.	ミセス・カシディは毎日の生活が充実した既婚女性特有の満足げな笑い声を立てた。
With the air of Cornelia exhibiting her jewels, she drew down the collar of her kimono and revealed another treasured bruise,	自分の宝石を見せびらかすコーネリアさながらの態度で、ミセス・カシディは着ていたキモノの襟をくつろげて別の痣をミセス・フィンクの目にさらした。
maroon-colored, edged with olive and orang--a bruise now nearly well, but still to memory dear.	オリーブ色とオレンジ色に縁取られた栗色の痣――ほとんどよくなっていたが、愛すべ
Mrs. Fink capitulated.	ミセス・フィンクは抵抗を諦めた。
The formal light in her eye softened to envious admiration.	瞳に宿っていた堅苦しい光が和らぎ、うらやましげな賞賛の色を帯びた。
She and Mrs. Cassidy had been chums in the downtown paper-box factory before they had married, one year before.	2人は、1年前、結婚する前は下町の紙箱工場で働く友達同士だった。
Now she and her man occupied the flat above Mame and her man.	そしていまは、マギーとその夫が階上の部屋を、その下の部屋にメイムとその夫が暮らすようになっていた。
Therefore she could not put on airs with Mame.	だから、メイムには気を許していた。
"Don't it hurt when he soaks you?"	「殴たれたとき、痛くないの？」
asked Mrs. Fink, curiously.	とミセス・フィンクが好奇心から尋ねた。
"Hurt!"	「痛いって！」
--Mrs. Cassidy gave a soprano scream of delight.	――ミセス・カシディはソプラノで喜びの叫びをあげた。
"Well, say--did you ever have a brick house fall on you?	「うーん、あのね――煉瓦の家の下敷きになった経験、ない？
--well, that's just the way it feels--just like when they're digging you out of the ruins.	――そうね、ちょうどそんな感じよ――ちょうど、その瓦礫のなかから掘り出されるときみたいな感じ。
Jack's got a left that spells two matinees and a new pair of Oxfords--and his right!	ジャックの左1発で、お芝居2回分とオックスフォード靴1足は出てきてね
--and his right!	――それに右といったら！
--well, it takes a trip to Coney and six pairs of openwork, silk lisle threads to make that good."	――そうね、コニー・アイランド行き1回に、すかし細工いりのライル織りシルク・ストッキングが6組くらいのことはあるわね」
"But what does he beat you for?"	「でもあのひとはなんで殴ったりするの？」
inquired Mrs. Fink, with wide-open eyes.	とミセス・フィンクは目を見張って問う。
"Silly!"	「お馬鹿さんね！」
said Mrs. Cassidy, indulgently.	とミセス・カシディは優しく言った。
"Why, because he's full.	「そりゃあ酔っ払ってるからよ。
It's generally on Saturday nights."	ふつうは土曜日の夜のことだから」
"But what cause do you give him?"	「でもなんでそんなことされるの？」
persisted the seeker after knowledge.	と知識の探求者は食い下がった。
"Why, didn't I marry him?	「あのね、あたしはあのひとと結婚してるわけでしょう？
Jack comes in tanked up; and I'm here, ain't I?	つまり、ジャックがへべれけになって帰ってきたら、そこにあたしがいるってこと、そうでしょう？
Who else has he got a right to beat?	他にだれを殴る権利があるって言うのよ？
I'd just like to catch him once beating anybody else!	一度でいいからあのひとがだれか他のひとを殴ってるところを見てみたいものね！
Sometimes it's because supper ain't ready; and sometimes it's because it is.	理由は夕食がまだできてなかったからってときもあるし、逆に準備できてたからってこともある。
Jack ain't particular about causes.	ジャックはべつに理由にこだわってるわけじゃないから。
He just lushes till he remembers he's married, and then he makes for home and does me up.	ただ、べろべろに酔っててもそのうち自分が結婚してるってことを思い出して、家に帰ってきてからあたしに手を上げるのよ。
Saturday nights I just move the furniture with sharp corners out of the way,	土曜日の夜になるとあたしは家具を移動させておくの。
so I won't cut my head when he gets his work in.	そうすめばあのひとがやりはじめたときに頭を切っちゃったりしないで済むから。
He's got a left swing that jars you!	あのひとの左は強烈でね！
Sometimes I take the count in the first round;	第1ラウンドでノックアウトされちゃうこともあるくらいよ。
but when I feel like having a good time during the week or want some new rags I come up again for more punishment.	でもその週を楽しく過ごしたいとか新しい洋服が欲しいときなんかは、立ちあがってもっと罰を受けようとするわけ。
That's what I done last night.	昨日の晩もそう。
Jack knows I've been wanting a black silk waist for a month, and I didn't think just one black eye would bring it.	ジャックはあたしが1ヶ月ずっと黒絹のブラウスを欲しがってたのを知ってたはずだけど、片目に痣をこしらえただけじゃブラウスには足りないと思ったからね。
Tell you what, Mag, I'll bet you the ice cream he brings it to-night."	そうよ、マグ、あたし賭けてもいいけど、あのひとはきっと今晩アイスクリームを買ってきてくれる」
Mrs. Fink was thinking deeply.	ミセス・フィンクは考えこんでしまった。
"My Mart, "she said, "never hit me a lick in his life.	「うちのマートは、一度もあたしを殴ったことない。
It's just like you said, Mame;	メイムの言うとおりよ。
he comes in grouchy and ain't got a word to say.	家に帰ってきたらいつも不機嫌で一言も口を利いてくれない。
He never takes me out anywhere.	どこにも連れてってくれないし。
He's a chair-warmer at home for fair.	家ではずっと椅子を暖めてるだけ。
He buys me things, but he looks so glum about it that I never appreciate 'em."	いろいろ買ってきてはくれるけど、あたしがありがとうも言わないものだからすぐ機嫌を悪くしちゃう」
Mrs. Cassidy slipped an arm around her chum.	ミセス・カシディは腕をすらりと伸ばして友だちの体を抱きしめた。
"You poor thing!" she said.	「かわいそうに！
"But everybody can't have a husband like Jack.	でもみんながジャックみたいな夫を持てるわけじゃないの。
Marriage wouldn't be no failure if they was all like him.	世の中の夫がみんなジャックみたいだったら結婚して失敗だったなんてことはありっ
These discontented wives you hear about--what they need is a man to come home and kick their slats in once a week, and then make it up in kisses, and chocolate creams.	不満を抱えた奥さんってのにはね――1週間に一度は家に帰ってきたとたん肋骨を蹴飛ばしてくれて、それをキスとチョコレートクリームとで償ってくれるような夫が必要なのよ。
That'd give 'em some interest in life.	それで毎日がおもしろくなる。
What I want is a masterful man that slugs you when he's jagged and hugs you when he ain't jagged.	あたしがほしいのはね、いらだってるときはぴしゃりとひと撃ちくれて、いらだってないときには抱きしめてくれるような、強い男なの。
Preserve me from the man that ain't got the sand to do neither!"	どっちが欠けてたってあたしは願い下げね」
Mrs. Fink sighed.	ミセス・フィンクは溜息をついた。
The hallways were suddenly filled with sound.	廊下からとつぜん騒がしくなった。
The door flew open at the kick of Mr. Cassidy.	ドアがミスター・カシディの足蹴を受けて大きく開く。
His arms were occupied with bundles.	両腕が荷物でふさがっていたのだ。
Mame flew and hung about his neck.	メイムは飛んでいって夫の首に抱きついた。
Her sound eye sparkled with the love light	ふさがっていないほうの目が愛情をたたえて輝いた。
that shines in the eye of the Maori maid when she recovers consciousness in the hut of the wooer who has stunned and dragged her there.	その光は、あのマオリ族の乙女が、彼女を気絶させて拉致した求愛者の小屋で意識を取りもどしたときに、その目に輝かせていたものと同じものだった。
"Hello, old girl!"	「ただいま！」
shouted Mr. Cassidy.	ミスター・カシディは声を張り上げた。
He shed his bundles and lifted her off her feet in a mighty hug.	抱え込んでいた包みの山を床に落とし、彼女を抱えあげ力いっぱい抱きしめる。
"I got tickets for Barnum-- Bailey's, and if you'll bust the string of one of them bundles I guess you'll find that silk waist--why, good evening, Mrs. Fink--I didn't see you at first.	「バーナム＆ベイリーのチケットを手に入れたんだ、それからその包みのどれかにシルクのブラウスが入ってて――おや、こんばんは、ミセス・フィンク――いらっしゃっていたんですか。
How's old Mart coming along?"	マートのやつは最近どうです？」
"He's very well, Mr. Cassidy--thanks," said Mrs. Fink.	「とても元気ですよ、おかげさまで。
"I must be going along up now.	あ、そろそろ帰らないと。
Mart'll be home for supper soon.	マートが夕食に帰ってきちゃう。
I'll bring you down that pattern you wanted to-morrow, Mame."	メイム、欲しがってた型紙は明日持ってくるからね」
Mrs. Fink went up to her flat and had a little cry.	ミセス・フィンクは階段を上って自分の部屋にもどり、ちょっぴり泣いた。
It was a meaningless cry, the kind of cry that only a woman knows about, a cry from no particular cause, altogether an absurd cry; the most transient and the most hopeless cry in the repertory of grief.	意味のない涙、女性だけにしか分からない種類の涙、とりたてて原因もなく発生する馬鹿げた涙――嘆きのレパートリーのうちもっとも儚く、そしてもっとも救いようのない涙だった。
Why had Martin never thrashed her?	なぜマーティンは妻をぶたないのであろうか？
He was as big and strong as Jack Cassidy.	かれはジャック・カシディ並みに大柄で、力も強い。
Did he not care for her at all?	かれは妻のことなどまったく気にしていないのだろうか？
He never quarrelled;	口喧嘩の一度もやったことがないのだ。
he came home and lounged about, silent, glum, idle.	家に帰って椅子にもたれかかると、あとは鬱々とふさぎこむ。
He was a fairly good provider, but he ignored the spices of life.	扶養者としてはかなり優秀だったが、人生のスパイスというやつを忘れている。
Mrs. Fink's ship of dreams was becalmed.	ミセス・フィンクの夢の舟は静まりかえっていた。
Her captain ranged between plum duff and his hammock.	船長の行動範囲はプラム・プティングとハンモックとの間に限られていた。
If only he would shiver his timbers or stamp his foot on the quarter-deck now and then!	せめて、ときおり梁を揺さぶったり、甲板を踏み鳴らしたりしてさえくれたなら！
And she had thought to sail so merrily, touching at ports in the Delectable Isles!	彼女としてはそんな感じで陽気に喜びの島々を訪ねて回ろうと思って船出したというのに！
But now, to vary the figure, she was ready to throw up the sponge, tired out, without a scratch to show for all those tame rounds with her sparring partner.	だがいまや、言い方を変えれば、スパーリング・パートナーとの退屈な何ラウンドもの間、注目に値する傷も負わず、疲れきり、タオルが投げこまれるのを待ち構えているという状態だった。
For one moment she almost hated Mame--Mame, with her cuts and bruises, her salve of presents and kisses;	一瞬、メイムに対して憎しみにも似た想いを抱いた――メイム、その切り傷にアザ、その機嫌直しのプレゼントにキス。
her stormy voyage with her fighting, brutal, loving mate.	喧嘩好きで残酷だけども愛のあるパートナーとの、波乱に富んだその航海。
Mr. Fink came home at 7.	ミスター・フィンクは7時に帰宅した。
He was permeated with the curse of domesticity.	かれは骨の髄まで家畜化という呪いをかけられていた。
Beyond the portals of his cozy home he cared not to roam, to roam.	居心地のいい家庭の玄関を飛び出して戸外をぶらつくもぶらつかないも、かれには関心がなかった。
He was the man who had caught the street car, the anaconda that had swallowed its prey, the tree that lay as it had fallen.	かれは路面電車という、獲物を腹一杯に飲みこむかの大蛇に捕らえられた人間のひとりであり、あるいは、倒れたまま横たわりつづけるかの大木にけつまずいた人間のひとりだった。
"Like the supper, Mart?"	「ごはんは、マート？」
asked Mrs. Fink, who had striven over it.	とミセス・フィンクは言った。
"M-m-m-yep,"	「ん、ん、ん、うん」
grunted Mr. Fink.	とミスター・フィンクは言った。
After supper he gathered his newspapers to read.	夕食が済むと、かれは新聞をかき集めて読みはじめた。
He sat in his stocking feet.	靴を脱ぎ捨て腰を下ろす。
Arise, some new Dante,	いずくにか起こり来れ、新たなるダンテ。
and sing me the befitting corner of perdition for the man who sitteth in the house in his stockinged feet.	そして、家で靴を脱ぎ捨て椅子に収まりこんでいる男にふさわしい地獄の詩を詩ってくれ。
Sisters of Patience who by reason of ties or duty have endured it in silk, yarn, cotton, lisle thread or woollen--does not the new canto belong?	種々のしがらみに捕われ、シルクなりコットンなりウールなりの靴下に耐え忍ぶシスターズ・オブ・パティエンスよ――新編はそこに捧げられるべきではないか？
The next day was Labor Day.	翌日は労働際だった。
The occupations of Mr. Cassidy and Mr. Fink ceased for one passage of the sun.	ミスター・カシディもミスター・フィンクも今日一日仕事休み。
Labor, triumphant, would parade and otherwise disport itself.	労働者が気焔をあげてはパレードに加わったり、あるいは別の方法でその日を楽しむ。
Mrs. Fink took Mrs. Cassidy's pattern down early.	ミセス・フィンクはミセス・カシディの型紙を持って、早朝、階下に降りていった。
Maine had on her new silk waist.	メイムは新しいシルクのブラウスを着ていた。
Even her damaged eye managed to emit a holiday gleam.	その半ばふさがった目からさえ、休日を喜ぶ光が溢れ出していた。
Jack was fruitfully penitent, and there was a hilarious scheme for the day afoot, with parks and picnics and Pilsener in it.	ジャックは悔いを気前よく表し、散歩、ピクニック、ピルズナーを含んだその日の計画を立てていた。
A rising, indignant jealousy seized Mrs. Fink as she returned to her flat above.	ふつふつとわきあがる怒りにも似た嫉妬心が、2階の部屋にもどったミセス・フィンクを捕らえた。
Oh, happy Mame, with her bruises and her quick-following balm!	ああ、幸せなメイム、耐えず痣をこしらえつつ、その後すみやかに慰めを受け取るメイム！
But was Mame to have a monopoly of happiness?	だが、メイムばかりが幸せを独占すべきものなのか？
Surely Martin Fink was as good a man as Jack Cassidy.	マーティン・フィンクはジャック・カシディなみに立派な男だ。
Was his wife to go always unbelabored and uncaressed? A sudden, brilliant, breathless idea came to Mrs. Fink. She would show Mame that there were husbands as able to use their fists and perhaps to be as tender afterward as any Jack.	ミセス・フィンクは、ジャックに劣らず己の拳を振るったその後あるいは優しくしてくれる夫が他にもいるのだということを、メイムに示してみせたかった。
Jealousy surged high in Mrs. Fink's heart, and higher still surged an audacious resolve.	嫉妬心がミセス・フィンクの心を高々と押し上げ、さらに向こう見ずな決意を固めさせるところまで打ち上げた。
If her man would not strike her--if he would not so far prove his manhood, his prerogative and his interest in conjugal affairs, he must be prompted to his duty.	もし夫が殴ってくれないのなら――もし夫が、自分の男らしさを、自分の権力を、自分の夫婦生活への関心を、いままでずっと示そうとすら思ったこともないのならば、自分の義務がなんであるかを理解させてやらないと。
Mr. Fink lit his pipe and peacefully rubbed an ankle with a stockinged toe.	ミスター・フィンクは平和そうにパイプに火をつけ、靴下のつま先で踝をこすった。
He reposed in the state of matrimony like a lump of unblended suet in a pudding.	プティングに残った脂身のように、かれは結婚生活の現状に安んじていた。
This was his level Elysium--to sit at ease vicariously girdling the world in print amid the wifely splashing of suds and the agreeable smells of breakfast dishes departed and dinner ones to come.	これこそがかれの安定した楽園なのだ――気楽に座りこみ、活字化された世界を飛びまわりながら、洗濯の水音と、すでに下げられた朝食とやがて出てくる夕食の心地よい香りを楽しむ。
Many ideas were far from his mind; but the furthest one was the thought of beating his wife.	かれとは縁遠いアイディアがいくつもあったが、なかでもいちばん縁遠いのは、妻を殴るというアイディアだった。
Mrs. Fink turned on the hot water and set the washboards in the suds.	ミセス・フィンクはたらいに湯をあけ、洗濯板を突っこんだ。
Up from the flat below came the gay laugh of Mrs. Cassidy.	階下からはミセス・カシディの楽しげな笑い声が聞こえてきた。
It sounded like a taunt, a flaunting of her own happiness in the face of the unslugged bride above.	愚弄するように響くその声は、階上に住む働き者の花嫁にいかに自分が幸福かを見せびらかすものように思えた。
Now was Mrs. Fink's time.	今度こそミセス・フィンクの番だ。
Suddenly she turned like a fury upon the man reading.	突如、彼女は新聞を読んでいる男に憤怒の女神よろしく向き直った。
"You lazy loafer!" she cried,	「この怠け者！
"must I work my arms off washing and toiling for the ugly likes of you?	あたしはあんたみたいな愚図のために腕がいたくなるまで洗濯してやらなきゃならないわけ？
Are you a man	あんた、それでも男なの？
or are you a kitchen hound?"	それじゃあただの飼い犬じゃないの！」
Mr. Fink dropped his paper,	ミスター・フィンクは新聞を取り落とした。
motionless from surprise.	驚きのあまり身じろぎもしない。
She feared that he would not strike--that the provocation had been insufficient.	夫は殴たないかもしれない、ミセス・フィンクはそう案じた――挑発不充分ではなかったか。
She leaped at him and struck him fiercely in the face with her clenched hand.	彼女は夫に飛びかかり、握り締めた拳で力一杯夫の顔面を殴りつけた。
In that instant she felt a thrill of love for hire	その瞬間、彼女は夫にぞくぞくするような愛情を感じた。
such as she had not felt for many a day.	もうずいぶんと感じていないものだった。
Rise up, Martin Fink, and come into your kingdom!	起て、マーティン・フィンク、おまえの力を見せてやるのだ！
Oh, she must feel the weight of his hand now--just to show that he cared--just to show that he cared!	おお、いまこそ妻は夫の拳の重みを感じなければならない――夫が妻を気にかけていること示すため――夫が妻を気にかけていることを示すため！
Mr. Fink sprang to his feet--Maggie caught him again on the jaw with a wide swing of her other hand.	ミスター・フィンクは弾かれたように立ちあがった――マギーは反対側の拳を大きく振りかぶり、ふたたびかれのあごをとらえた。
She closed her eyes in that fearful,	そして恐怖に目を閉じた。
blissful moment before his blow should come--she whispered his name to herself	夫の鉄拳が下されるまでの至福のひととき――妻は自分の胸の中でそっと夫の名を呼んだ
--she leaned to the expected shock, hungry for it.	――予期される衝撃に身を傾け、飢えたようにそれを待った。
In the flat below Mr. Cassidy, with a shamed and contrite face was powdering Mame's eye in preparation for their junket.	階下の部屋ではミスター・カシディが、恥と悔恨のいりまじった表情でメイムの目元にパウダーをつけてやり、遊山の準備をしていた。
From the flat above came the sound of a woman's voice, high-raised, a bumping, a stumbling and a shufing, a chair overturned--unmistakable sounds of domestic conflict.	上の部屋から昂ぶった聞こえてきたのに続いて、どたばた暴れていたかと思うと、椅子がひっくりかえる音がした――まがうことなき夫婦喧嘩の物音だ。
"Mart and Mag scrapping?"	「マートとマグが喧嘩？」
postulated Mr. Cassidy.	とミスター・カシディは読み取った。
"Didn't know they ever indulged.	「喧嘩なんかする2人じゃないと思ってたけどな。
Shall I trot up and see if they need a sponge holder?"	とりなす必要がありそうかどうか見てこようかな？」
One of Mrs. Cassidy's eyes sparkled like a diamond.	ミセス・カシディの片目がダイアモンドのような輝きを放った。
The other twinkled at least like paste.	もう一方の目も少なくとも模造宝石くらいには光った。
"Oh, oh,"	「おお、おお」
she said, softly and without apparent meaning, in the feminine ejaculatory manner.	と、女性特有の突発的な調子で、とりたてて意味のない柔らかな声を出す。
"I wonder if--wonder if! Wait, Jack, till I go up and see."	「もしかしたら――もしかしたら！　待ってて、ジャック、上に行って見てくるから」
Up the stairs she sped.	猛スピードで階段を駆け登る。
As her foot struck the hallway above out from the kitchen door of her flat wildly flounced Mrs. Fink.	階上の廊下に踊り出たところで、キッチンのドアからミセス・フィンクが激しい勢いで飛び出してきた。
"Oh, Maggie,"	「あっ、マギー」
cried Mrs. Cassidy, in a delighted whisper;	ミセス・カシディは叫んだ。
"did he?	「あのひと、やったの？
Oh, did he?"	やったのね？」
Mrs. Fink ran and laid her face upon her chum's shoulder and sobbed hopelessly.	ミセス・フィンクは友達のところに駈けより、その肩に顔を埋めて頼りなげに泣きじゃくった。
Mrs. Cassidy took Maggie's face between her hands and lifted it gently.	ミセス・カシディはマギーの頬を両手ではさんでそっともちあげた。
Tear-stained it was, flushing and paling, but its velvety, pink-and-white, becomingly freckled surface was unscratched, unbruised, unmarred by the recreant fist of Mr. Fink.	涙に汚れ、赤らみ青ざめていたけれど、そばかすの散る柔らかな肌は薄桃色のままで、ミスター・フィンクの拳による引っかき傷も痣も見当たらなかった。
"Tell me, Maggie,"	「教えて、マギー」
pleaded Mame,	メイムが訊ねる。
"or I'll go in there and find out.	「じゃないと中に入ってこの目で見ることにするから。
What was it?	どうしたのよ？
Did he hurt you	あのひと、ひどいことをしたの？
--what did he do?"	――何をされたっていうのよ？」
Mrs. Fink's face went down again despairingly on the bosom of her friend.	ミセス・フィンクは自棄になってふたたび顔を友だちの胸に埋めた。
"For God's sake don't open that door, Mame,"	「お願い、お願いだからドアを開けないで、メイム」
she sobbed.	ミセス・フィンクはすすり泣いた。
"And don't ever tell nobody --keep it under your hat.	「それから絶対誰にも言わないでよ――内緒にしといてちょうだい。
He--he never touched me, and--he's--oh, Gawd--he's washin' the clothes--he's washin' the clothes!"	あのひと――あのひと、あたしに触ろうともしなかったの――それであのひとったら――ああ、あんまりよ――洗濯してるの――あのひと、洗濯してるのよ！」
