SUN TZU ON THE ART OF WAR	孫子の兵法
I.  LAYING PLANS	一・作戦を立てる
1.  Sun Tzu said:	１．孫子は言いました。
The art of war is of vital importance to the State.	「兵法は国家にとってたいへん重要なものです。
2.  It is a matter of life and death, a road either to safety or to ruin.	２．生きるか死ぬかを決めるような問題であり、平和か破滅かの分かれ道でもあります。
Hence it is a subject of inquiry which can on no account be neglected.	だから、ぜったいに無視できない研究対象なのです。
3.  The art of war, then, is governed by five constant factors,  to be taken into account in one's deliberations,  when seeking to determine the conditions obtaining in the field.	３．さて、兵法というものは必ず五つの基本的な要項によって決定されるものであり、戦場で情勢を理解しようとするときには、よくよく考慮に入れなければいけません。
4.  These are:  (1) The Moral Law; (2) Heaven;  (3)  Earth; (4) The Commander; (5) Method and discipline.	４．その五つとは（１）徳のある法律（２）天意（３）地の利（４）指揮官（５）作戦と規律のことです。
5,  6.  The MORAL LAW causes the people to be in complete accord with their ruler, so that they will follow him regardless of their lives, undismayed by any danger.	５、６．（１）国に徳のある法律が施行されていれば、兵士たちみんなは国主と完璧に一体となって、自分たちの死をも顧みずに彼に従い、どんな危険にもめげることはありません。
7.  HEAVEN signifies night and day, cold and heat, times and seasons.	７．（２）天意は夜と昼の変化、寒さや暑さ、時と季節の移ろいなどの自然の秩序にその兆しを現します。
8.  EARTH comprises distances, great and small; danger and security; open ground and narrow passes; the chances of life and death.	８．（３）地面は距離、大きいものと小さいもの、つまり危険と安全、すなわち開けた土地と狭い小道、ということはつまり生きるチャンスと死の機会とで出来ているものです。
9.  The COMMANDER stands for the virtues of wisdom, sincerely, benevolence, courage and strictness.	９．（４）指揮官とは知恵、誠実さ、慈悲深さ、勇気、厳格さという道徳的美点を備えた人のことです。
10.  By METHOD AND DISCIPLINE are to be understood the marshaling of the army in its proper subdivisions, the graduations of rank among the officers, the maintenance of roads by which supplies may reach the army, and the control of military expenditure.	１０．（５）作戦と規律を用いるというのは、部隊の適切な部署割り、将校の階級の等級付け、物資を軍に供給するための補給路の整備、軍事費の制御ということだと理解されなくてはなりません。
11.  These five heads should be familiar to every general:	１１．この五つはおよそ将軍たる者はみな熟知していなけれなばりません。
he who knows them will be victorious;	これに通じている者が勝利を収めるのです。
he who knows them not will fail.	そして、このことを知らない者は負けてしまうでしょう。
12.  Therefore,  in your deliberations,  when seeking to determine the military conditions, let them be made the basis of a comparison, in this wise: --	１２．それゆえ、自軍の状況を判断しようと考える際には、次のようなやり方を比較の基準にしましょう。
13.  (1)   Which of the two sovereigns is imbued with the Moral law?	１３．（１）どちらの君主が善政を敷いていますか？
(2)  Which of the two generals has most ability?	（２）どちらの将軍がより有能ですか？
(3)  With whom lie the advantages derived from Heaven and Earth?	（３）天の利、地の利はどちらにありますか？
(4)  On which side is discipline most rigorously enforced?	（４）どちらがより厳格な規律のもとにありますか？
(5)  Which army is stronger?	（５）どちらの軍隊が強いですか？
(6)  On which side are officers and men more highly trained?	（６）どちらの士卒がよりしっかり訓練されていますか？
(7)   In which army is there the greater constancy both in reward and punishment?	（７）どちらの軍隊で賞罰が公明に行われていますか？
14.  By means of these seven considerations I can forecast victory or defeat.	１４．この七つの考察でもって勝利か敗北かを前もって知ることができます。
15.  The general that hearkens to my counsel and acts upon it, will conquer:	１５．私の助言に耳を傾け、それに従って行動する将軍は勝ちます。
--let such a one be retained in command!	そんな人物を雇いましょう！
The general that hearkens not to my counsel nor acts upon it,  will suffer defeat:	私の助言に耳を傾けず、それに従って行動しない将軍は一敗地にまみれます。
--let such a one be dismissed!	そんな将軍は解雇してしまいなさい！
16.  While heading the profit of my counsel, avail yourself also of any helpful circumstances over and beyond the ordinary rules.	１６．私の助言の利益を受けると同時に、普通の作戦に加えていかなる有用な状況をも利用しなさい。
17.  According as circumstances are favorable,  one should modify one's plans.	１７．有利な状況に応じて作戦は変更していかなければなりません。
18.  All warfare is based on deception.	１８．あらゆる戦争は騙し合いです。（兵とは詭道なり）
19.  Hence, when able to attack, we must seem unable;	１９．ゆえに、攻めることが出来るなら、出来ないと見せかけなければならず、
when using our forces, we must seem inactive;	軍事力を用いるときには動かないと見せかけなければいけません。
when we are near,  we must make the enemy believe we are far away;	すなわち、敵の近くにいるときには敵に遠くにいると思わせ、
when far away,  we must make him believe we are near.	遠くにいるときには、近くにいると思わせるのです。
20.  Hold out baits to entice the enemy.	２０．敵をおびき寄せるために餌をまいておきなさい。
Feign disorder, and crush him.	混乱していると装い、それから叩きつぶすのです。
21.  If he is secure at all points, be prepared for him.	２１．あらゆる点で相手が難攻不落なら、攻めてくるのに備えなさい。
If he is in superior strength, evade him.	相手が優勢であれば、回避しなさい。
22.  If your opponent is of choleric temper,  seek to irritate him.	２２．敵が怒りっぽいのであれば、いらつかせてやりなさい。
Pretend to be weak, that he may grow arrogant.	こちらが弱いふりをしていれば相手は尊大になるでしょう。
23.  If he is taking his ease, give him no rest.	２３．相手が楽にしているのであれば、休む暇を与えてはいけません。
If his forces are united, separate them.	結束が固ければ、分裂させてやりなさい。
24.  Attack him where he is unprepared, appear where you are not expected.	２４．備えのないところから攻め、予期せぬところから姿を現しましょう。
25.  These military devices, leading to victory, must not be divulged beforehand.	２５．勝つためのこれらの軍事作戦は事前に漏らしてはいけません。
26.   Now the general who wins a battle makes many calculations in his temple ere the battle is fought.	２６．戦いに勝つ将軍はやがて起きる戦争を頭の中で何度も計算します。
The general who loses a battle makes but few calculations beforehand.	負ける将軍は事前に少ししか計算をしません。
Thus do many calculations lead to victory, and few calculations to defeat:	このように、数多く計算することは勝利に繋がり、少ししか計算しないことは敗北に繋がるのです。
how much more no calculation at all!	ましてや全く計算しないよりはるかにましです！
It is by attention to this point that I can foresee who is likely to win or lose.	この点を注意して見ることで私はどちらが勝ちそうでどちらが負けそうかを見極めるのです」
II.  WAGING WAR	二・戦争の遂行
1.  Sun Tzu said:	１．孫子は言いました。
In the operations of war, where there are in the field a thousand swift chariots, as many heavy chariots, and a hundred thousand mail-clad soldiers,	「戦争をするにあたっては、千の戦車にそれと同数の重戦車、千里の行軍に十分な糧秣を備えた十万の武装した兵士、
the expenditure at home and at the front, including entertainment of guests, small items such as glue and paint, and sums spent on chariots and armor, will reach the total of a thousand ounces of silver per day.	外交使節を迎える費用、膠や漆のような細々とした物品、戦車と武具の維持費を含む本陣と前線の軍事費は、総額で一日に銀千オンスにのぼります。
Such is the cost of raising an army of 100,000 men.	十万の軍勢を出陣させるにはこれほどの費用がかかってしまうのです。
2.  When you engage in actual fighting, if victory is long in coming, then men's weapons will grow dull and their ardor will be damped.	２．実際の戦闘に臨んで、勝利を得るのに時間がかかってしまうと、兵卒の武器はなまくらになり、その勢いはそがれてしまいます。
If you lay siege to a town, you will exhaust your strength.	都市を包囲して闘うなら、自軍の優勢を使い果たしてしまうでしょう。
3.  Again,	３．繰り返します。
if the campaign is protracted, the resources of the State will not be equal to the strain.	もし軍事行動が長引いてしまえば、自国の資源は使い果たされたも同然となってしまうのです。
4.  Now, when your weapons are dulled, your ardor damped, your strength exhausted and your treasure spent, other chieftains will spring up to take advantage of your extremity.	４．ですから、あなたの武器は切れ味がなくなり、兵卒は勢いをそがれ、優位性は使い果たされ、財産は浪費してしまったとなれば、諸侯はあなたの窮地につけこむために飛びかかってくるでしょう。
Then no man, however wise, will be able to avert the consequences that must ensue.	そうなれば、いかに賢い人であっても、その後に続く事態を避けることはできません。
5.  Thus,  though we have heard of stupid haste in war, cleverness has never been seen associated with long delays.	５．ゆえに、戦争においては愚かな迅速さというのはあっても、長く時間をかけてしまうことに賢さが見受けられるなどということは決してないのです。
6.  There is no instance of a country having benefited from prolonged warfare.	６．長引く戦役から利益を得た国の例などありません。
7.  It is only one who is thoroughly acquainted with the evils of war that can thoroughly understand the profitable way of carrying it on.	７．戦争の悪弊に完全に通じている者だけが、戦端を開くことで利益を得る方法の全てを理解できるのです。
8.  The skillful soldier does not raise a second levy, neither are his supply-wagons loaded more than twice.	８．優れた兵隊は二度目の徴兵には応じず、また食料運搬車を三度も満載にしたりはしません。
9.  Bring war material with you from home,	９．軍需物資は国から持って行きましょう。
but forage on the enemy.	でも食糧は敵方のものを。
Thus the army will have food enough for its needs.	こうして軍隊は自分たちに必要な食べ物を手に入れるのです。
10.  Poverty of the State exchequer causes an army to be maintained by contributions from a distance.	１０．国庫が窮乏すれば、軍勢は遠方からの財政負担によって維持されることになります。
Contributing to maintain an army at a distance causes the people to be impoverished.	遠方の軍勢を維持するために財政負担するとなると、国民は貧窮するのです。
11.  On the other hand, the proximity of an army causes prices to go up;	１１．その一方で、軍隊が近隣にいることは物価を上昇させてしまいます。
and high prices cause the people's substance to be drained away.	そして、物価高は国民の資産を奪い取ってしまいます。
12.  When their substance is drained away, the peasantry will be afflicted by heavy exactions.	１２．国民の資産が奪われると、農民たちは重い年貢の取り立てに苦しむことになるでしょう。
13,  14.  With this loss of substance and exhaustion of strength, the homes of the people will be stripped bare, and three-tenths of their income will be dissipated;	１３，１４．このような資産の喪失と意気阻喪によって、人々の家々はすっかり丸裸にされ、収入の三分の一が失われてしまうでしょう。
while government expenses for broken chariots, worn-out horses, breast-plates and helmets, bows and arrows, spears and shields, protective mantles, draught-oxen and heavy wagons, will amount to four-tenths of its total revenue.	一方で政府も、戦車の修繕費用や疲れた馬、胸当てや兜、弓矢、槍や楯、鎧、運搬用の牛、大型車両のための出費が歳入の四分の一にまでなってしまうのです。
15.  Hence a wise general makes a point of foraging on the enemy.	１５．だからこそ、賢い将軍は敵の糧秣を狙うのです。
One cartload of the enemy's provisions is equivalent to twenty of one's own,	敵の食糧一台分は自軍の食糧二十台分に相当します。
and likewise a single PICUL of his provender is equivalent to twenty from one's own store.	また同じように相手方の飼い葉一担はこちら側の備蓄分の二十担分に値します。
16.  Now in order to kill the enemy, our men must be roused to anger;	１６．敵を殺すにあたっては、自軍は怒りにまかせた状態にあります。
that there may be advantage from defeating the enemy, they must have their rewards.	兵士は敵を倒すことで褒賞をもらえるに違いないからです。
17.  Therefore in chariot fighting,  when ten or more chariots have been taken, those should be rewarded who took the first.	１７．それに対し、戦車戦では、十台かそれ以上の戦車を捕獲した場合、最初に捕らえた者にはかならず恩賞を与えましょう。
Our own flags should be substituted for those of the enemy,  and the chariots mingled and used in conjunction with ours.	味方の旗を敵の旗と取り替え、自軍のと混ぜて一緒に使わなければいけません。
The captured soldiers should be kindly treated and kept.	捕らえた敵兵は親切に遇して手元に置いておきましょう。
18.  This is called, using the conquered foe to augment one's own strength.	１８．これが征服した敵を使って自軍の力を増すということです。
19.  In war, then, let your great object be victory, not lengthy campaigns.	１９．戦争においては、最大の目的は長引く作戦行動ではなく、勝つことに定めましょう。
20.  Thus it may be known that the leader of armies is the arbiter of the people's fate, the man on whom it depends whether the nation shall be in peace or in peril.	２０．というわけで、軍を率いる者は国民の運命を握る、国の安泰か危機かを左右する存在なのです。
III.  ATTACK BY STRATAGEM	三・計略を用いて攻撃する
1.  Sun Tzu said:	１．孫子は言いました。
In the practical art of war, the best thing of all is to take the enemy's country whole and intact;	「実践的な兵法では、何よりもいいのは敵の国をそっくりそのまま無傷で頂いてしまうことです。
to shatter and destroy it is not so good.	散々に破壊してしまうのは上策ではありません。
So, too, it is better to recapture an army entire than to destroy it, to capture a regiment, a detachment or a company entire than to destroy them.	ですから、それと同じように敵兵を捕虜にする方が撃滅するよりもよくて、敵の分隊や連隊、中隊を捕らえる方が殲滅してしまうよりもいいのです。
2.  Hence to fight and conquer in all your battles is not supreme excellence;	２．したがって、戦争の間中ずっと闘って相手を征服するのは最上のことではありません。
supreme excellence consists in breaking the enemy's resistance without fighting.	最上の策とは、闘わずに相手の抵抗をなくしてしまうことにあるのです。
3.  Thus the highest form of generalship is to balk the enemy's plans;	３．用兵術の最高の形は、敵の作戦をくじいてしまうことです。
the next best is to prevent the junction of the enemy's forces;	次善は敵の軍隊の連携を断ち切ってしまうことで、
the next in order is to attack the enemy's army in the field;	その次によいのが戦場で敵を攻撃すること、
and the worst policy of all is to besiege walled cities.	そして最悪の手段が城塞都市の包囲戦です。
4.  The rule is, not to besiege walled cities if it can possibly be avoided.	４．もし可能ならば城塞化された都市への攻撃は避けるのが常道です。
The preparation of mantlets, movable shelters, and various implements of war, will take up three whole months;	防楯や城攻め用の車輌、それからさまざまな武具を準備するのに丸々三ヶ月はかかってしまいます。
and the piling up of mounds over against the walls will take three months more.	そして防壁を越える土塁を積み上げるのにさらに三ヶ月かかってしまうでしょう。
5.  The general, unable to control his irritation, will launch his men to the assault like swarming ants,	５．もし将軍が自分の怒気をコントロールできないような場合は、自軍の兵士たちをまるでアリの群のように強襲させてしまい、
with the result that one-third of his men are slain,  while the town still remains untaken.	その結果、自軍の三分の一が死傷したのに相手方の城塞はまだ陥落しないなどという羽目になってしまいます。
Such are the disastrous effects of a siege.	これが攻城戦の害悪です。
6.  Therefore the skillful leader subdues the enemy's troops without any fighting;	６．それに対して、有能な指揮官は敵の大群を闘わずして捕捉してしまいます。
he captures their cities without laying siege to them;	城塞を囲むことなく陥落させ、
he overthrows their kingdom without lengthy operations in the field.	戦場で長期間戦闘することなしに敵国を転覆させるのです。
7.  With his forces intact he will dispute the mastery of the Empire, and thus, without losing a man, his triumph will be complete.	７．自軍は無傷のままに天下の覇権を争い、一兵も失うことなく完全な勝利を手に入れる。
This is the method of attacking by stratagem.	これが計略をもって攻撃することの原則です。
8.  It is the rule in war, if our forces are ten to the enemy's one, to surround him;	８．自軍が敵の十倍であれば、包囲しましょう。
if five to one, to attack him;	五倍であれば、攻撃しなさい。
if twice as numerous, to divide our army into two.	二倍であれば、自軍を二手に分けましょう。
9.  If equally matched, we can offer battle;	９．もし同数であるならば、戦いを挑んでも構いません。
if slightly inferior in numbers, we can avoid the enemy;	やや数が少ないのであれば、敵を回避しましょう。
if quite unequal in every way, we can flee from him.	もしどうやっても不利な場合は、身を隠すのです。
10.  Hence, though an obstinate fight may be made by a small force, in the end it must be captured by the larger force.	１０．ゆえに、勝ち目のない戦いは弱い方の軍が起こしたものかもしれませんが、最後には強い方に捕らえられてしまうことになるのです。
11.  Now the general is the bulwark of the State;	１１．さて、将軍は国の防壁です。
if the bulwark is complete at all points; the State will be strong;	もし防壁があらゆる点で完璧であれば、国は強いでしょう。
if the bulwark is defective, the State will be weak.	もし防壁に欠陥があれば、国は弱くなります。
12.  There are three ways in which a ruler can bring misfortune upon his army:--	１２．国王が自軍に不幸をもたらすのには三つのやり方があります。
13.  (1)  By commanding the army to advance or to retreat, being ignorant of the fact that it cannot obey.	１３．（１）実際には無理であることも知らず、軍隊に進めだの退けだのと命令すること。
This is called hobbling the army.	このようなことを軍の足を引っ張るというのです。
14.  (2)  By attempting to govern an army in the same way as he administers a kingdom, being ignorant of the conditions which obtain in an army.	１４．（２）軍隊の現場のことを無視して、国を治めるのと同じやり方で軍隊も統率しようとすること。
This causes restlessness in the soldier's minds.	これをすると兵士は投げやりになってしまいます。
15.  (3)   By employing the officers of his army without discrimination, [That is,  he is not careful to use the right man in the right place.] through ignorance of the military principle of adaptation to circumstances.	１５．（３）軍の現状に適した方針を無視して、自軍の将校を雇うのに分け隔てなく誰でも雇ってしまうこと。
This shakes the confidence of the soldiers.	これでは兵士の信頼が揺らいでしまいます。
16.  But when the army is restless and distrustful, trouble is sure to come from the other feudal princes.	１６．軍がやけっぱちで不信感を持っている状態であれば、諸外国は必ずや攻め込んで来ることになります。
This is simply bringing anarchy into the army, and flinging victory away.	それではただ軍に無秩序をもたらすことになり、みすみす勝利を逃してしまいます。
17.  Thus we may know that there are five essentials for victory:	１７．そういうわけで、わたしたちは勝利の五つの法則を知ったことになります。
(1) He will win who knows when to fight and when not to fight.	（１）いつ闘うべきで、いつ闘わないでいるべきかを知っている人は勝ちます。
(2)   He will win who knows how to handle both superior and inferior forces.	（２）優勢な軍隊と劣性な軍隊の両方の扱い方を知っている人は勝ちます。
(3)  He will win whose army is animated by the same spirit throughout all its ranks.	（３）どの階級の兵士も心を一つにして鼓舞されている軍隊を率いる人は勝ちます。
(4)   He will win who, prepared himself, waits to take the enemy unprepared.	（４）常に備えがあって、敵の備えが薄いときを狙う人は勝ちます。
(5)   He will win who has military capacity and is not interfered with by the sovereign.	（５）軍事の才能があって、国王が干渉してこない人は勝ちます。
18.  Hence the saying:	１８．というようなわけで、こんなことが言われるのです。
If you know the enemy and know yourself, you need not fear the result of a hundred battles.	「敵と自分自身のことを理解していれば、百回の戦闘にもその結果を心配する必要はありません。
If you know yourself but not the enemy, for every victory gained you will also suffer a defeat.	自分ことは分かっているけれども敵のことは知らないという場合は、勝利を得る度に同じくらい負けて苦しみもするでしょう。
If you know neither the enemy nor yourself, you will succumb in every battle.	もし敵のことも味方のことも理解していなければ、どの戦いでもボロ負けしてしまうでしょう」と。
IV.  TACTICAL DISPOSITIONS	四・戦略的な作戦計画
1.  Sun Tzu said:	１．孫子は言いました。
The good fighters of old first put themselves beyond the possibility of defeat, and then waited for an opportunity of defeating the enemy.	「昔の優秀な戦士たちは、まず負けるはずのない態勢を作り上げてから、敵を倒せる機会を待ちました。
2.  To secure ourselves against defeat lies in our own hands, but the opportunity of defeating the enemy is provided by the enemy himself.	２．負けない態勢を作ることはこちら側の問題です。敵を倒せる機会ができるかどうかは相手側の問題なのです。
3.  Thus the good fighter is able to secure himself against defeat,	３．つまり、いい戦士たちは負けない態勢を作ることはできますが、
but cannot make certain of defeating the enemy.	敵を倒す機会を作ることはできないのです。
4.  Hence the saying:	４．ですから
One may KNOW how to conquer without being able to DO it.	「敵を倒すやり方を知っている人も、それができるわけではない」
5.  Security against defeat implies defensive tactics;	５．負けない体勢というのは守備態勢のことです。
ability to defeat the enemy means taking the offensive.	敵を倒せる能力というのは攻撃に回るということです。
6.   Standing on the defensive indicates insufficient strength;	６．守りに回るというのは、そんなに強くはないということを示します。
attacking, a superabundance of strength.	攻撃するということは、圧倒的に強いということです。
7.  The general who is skilled in defense hides in the most secret recesses of the earth;	７．守りに長けた人は地中奥深くのいちばん隠れたところに身を隠します。
he who is skilled in attack flashes forth from the topmost heights of heaven.	攻撃に長けた人は天の高見から急襲するのです。
Thus on the one hand we have ability to protect ourselves;	つまり一方で防御の能力を持っていれば、
on the other, a victory that is complete.	もう一方には完全な勝利があるのです。
8.  To see victory only when it is within the ken of the common herd is not the acme of excellence.	８．一般の人たちに理解できる程度のものであった場合にしか勝利と見なさないようであれば、最高に優れているとはいえません。
9.  Neither is it the acme of excellence if you fight andconquer and the whole Empire says, "Well done!"	９．闘って相手を征服し、国中が「よくやった！」と誉めてくれても、やはり最高に優れているとはいえません。
10.  To lift an autumn hair is no sign of great strength;	１０．細くなった髪の毛を持ち上げても力持ちだということにはなりません。
to see the sun and moon is no sign of sharp sight;	太陽や月が見えたからといってことさら目がいいというわけではありません。
to hear the noise of thunder is no sign of a quick ear.	雷鳴が聞こえたからといって耳がいいというわけではありません。
11.  What the ancients called a clever fighter is one who not only wins, but excels in winning with ease.	１１．昔の人たちは優れた戦士のことを、ただ勝つだけでなく、いとも簡単に勝つところがすごいと言っていました。
12.  Hence his victories bring him neither reputation for wisdom nor credit for courage.	１２．というのも、そんな人の勝利は知恵を讃えられたり、勇気を賞賛されたりはしないからです。
13.  He wins his battles by making no mistakes.	１３．そのような人はミスを犯さずに戦いに勝ちます。
Making no mistakes is what establishes the certainty of victory,	ミスを犯さなければ、勝利は確かなものになります。
for it means conquering an enemy that is already defeated.	なぜなら敵を征服する前にもう勝ったことになっているからです。
14.  Hence the skillful fighter puts himself into a position which makes defeat impossible, and does not miss the moment for defeating the enemy.	１４．というのも、優れた兵士は負けることがあり得ない立場に身を置き、敵を倒せる瞬間を見逃したりはしないからです。
15.  Thus it is that in war the victorious strategist only seeks battle after the victory has been won, whereas he who is destined to defeat first fights and afterwards looks for victory.	１５．そんなわけで、勝利する軍の作戦を立てる人は、すでに勝ってしまってから戦争を始めますが、負けると決まっているような人はまず始めに戦って、その後から勝利を求めるのです。
16.  The consummate leader cultivates the moral law, and strictly adheres to method and discipline;	１６．立派なリーダーは徳の高い政治を敷き、秩序と規律を厳格に守ります。
thus it is in his power to control success.	だから勝利を収めるのも思うがままなのです。
17.  In respect of military method, we have, firstly, Measurement; secondly, Estimation of quantity; thirdly, Calculation; fourthly, Balancing of chances; fifthly, Victory.	１７．軍隊の運用についてわたしたちが見てきたのは、まず一番目には計ること、二番目には量を見積もること、三番目には計算すること、四番目にはチャンスをそれぞれ比べてみること、五番目には勝利することです。
18.  Measurement owes its existence to Earth;	１８．計るというのは、地面あってのことです。
Estimation of quantity to Measurement; Calculation to Estimation of quantity; Balancing of chances to Calculation; and Victory to Balancing of chances.	量を見積もるのは計ること、計算は数の見積もり、チャンスをそれぞれ比べてみることは計算、勝利はチャンスをそれぞれ比べてみることがあって成り立つのです。
19.  A victorious army opposed to a routed one, is as a pound's weight placed in the scale against a single grain.	１９．行軍してくる敵軍に向かい合った勝利する軍隊は、一粒の種と一緒に計りに乗せられた１ポンドの錘のようなものです。
20.  The onrush of a conquering force is like the bursting of pent-up waters into a chasm a thousand fathoms deep.	２０．相手を征服しようとする軍の突撃は、せき止められた水が決壊して六百フィートの谷になだれ込むのと似ています。
V.  ENERGY	五・勢い
1.  Sun Tzu said:	１．孫子は言いました。
The control of a large force is the same principle as the control of a few men:	「大軍を率いるのは、その原理は少人数を率いるのと同じです。
it is merely a question of dividing up their numbers.	ただその人数分けが問題になるだけなのです。
2.  Fighting with a large army under your command is nowise different from fighting with a small one:	２．軍を率いて人数の多い敵と戦うのは、少人数の敵と戦うのとほとんど違いはありません。
it is merely a question of instituting signs and signals.	号令や合図が問題になるだけです。
3.  To ensure that your whole host may withstand the brunt of the enemy's attack and remain unshaken	３．自軍が敵軍の猛攻に必ず耐えて、揺るがないでいられるようにすること。
- this is effected by maneuvers direct and indirect.	これは正攻法と奇襲の作戦行動によってできることです。
4.  That the impact of your army may be like a grindstone dashed against an egg - this is effected by the science of weak points and strong.	４．自軍の攻撃が卵に投げつけられた石のようであるのは、これは弱点と強みを研究したからこそなのです。
5.  In all fighting, the direct method may be used for joining battle,	５．どんな戦いでも、戦端を開くのには正攻法がとられるでしょう。
but indirect methods will be needed in order to secure victory.	しかし奇襲作戦は勝利を確実にするために必要とされるはずです。
6.  Indirect tactics, efficiently applied, are inexhausible as Heaven and Earth, unending as the flow of rivers and streams;	６．奇襲作戦を効果的に用いれば、さながら天と地のように疲れを知らず、また川が溢れたり流れるように無尽蔵に、
like the sun and moon, they end but to begin anew;	太陽と月のように沈んでもまた新たに昇り、
like the four seasons, they pass away to return once more.	四季の移り変わりのように去ってもまた舞い戻って来るようになるのです。
7.  There are not more than five musical notes, yet the combinations of these five give rise to more melodies than can ever be heard.	７．五つの音しかなくても、その五つが組合わされば聞いたこともないようなメロディーを奏でることにもなります。
8.  There are not more than five primary colors (blue, yellow, red, white, and black), yet in combination they produce more hues than can ever been seen.	８．五つの原色（青、黄色、赤、白、黒）しかなくても、組み合わせれば見たこともないような色合いになります。
9   There are not more than five cardinal tastes (sour, acrid, salt, sweet, bitter), yet combinations of them yield more flavors than can ever be tasted.	９．主な味覚は五つ（酸っぱさ、辛さ、塩辛さ、甘さ、苦さ）しかなくても、組み合わせればこれまでにない味わいを生み出すようになります。
10.  In battle, there are not more than two methods of attack	１０．戦闘中には二つの攻撃方法しかありません。
-  the direct and the indirect;	正攻法と奇襲です。
yet these two in combination give rise to an endless series of maneuvers.	それでもこの二つを組み合わせれば無限の作戦ができるのです。
