THE YELLOW FACE	黄色な顔
Holmes and I had listened with the utmost interest to this extraordinary statement,	ホームズと私とは、この驚くべき話を、非常な興味を以ってきいた。
which had been delivered in the jerky, broken fashion of a man who is under the influence of extreme emotion.	それは話し手が激しい感情に捕われていたため、早口に順序もかまわずに話されたのだったけれど。
My companion sat silent now for some time, with his chin upon his hand, lost in thought.	――ホームズはしばらくの間無言のまま、額（ひたい）に両手をあてて、じっと考えに沈みながら坐っていた。
``Tell me,''	が、やがて彼は云った。
said he at last,	「その窓で見たのは、確かに人間の顔だと断言出来ますね」
``Each time that I saw it I was some distance away from it so that it is impossible for me to say.''	「ところが、それを私が見た時はいつも、かなり離れていたので、確かにそうだと云うことは出来ないんです」
``You appear, however, to have been disagreeably impressed by it.''	「けれどあなたはそれを見ていやな気がしたとおっしゃいましたね」
``It seemed to be of an unusual colour and to have a strange rigidity about the features.	「うす気味の悪（わ）るい色をして、硬（こわ）ばった顔をしていました。
When I approached it vanished with a jerk.''	そして私が近寄って行くと、急に、かくれてしまうのでした」
``How long is it since your wife asked you for a hundred pounds?''	「それはあなたの奥さんが、あなたに百磅（ポンド）請求してから、どのくらい後でしたか？」
``Nearly two months.''	「二ヶ月ばかり」
``Have you ever seen a photograph of her first husband?''	「あなたは、奥さんの最初の檀那さんの写真を見た事がありますか？」
``No,	「いいえ。
there was a great fire at Atlanta very shortly after his death,	――彼女の初めての夫が死んでからまもなく、アトランタに大きな火事があったんです。
and all her papers were destroyed.''	それで、彼女の持っていた写真はみんな焼けてしまいました」
``And yet she had a certificate of death.	「奥さんは死亡証明書を、持ってる。
You say that you saw it.''	――あなたはそれを、御（ご）らんになったと、おっしゃいましたね」
``Yes,	「ええ。
she got a duplicate after the fire.''	彼女は火事の後（のち）、複写をとったのです」
``Did you ever meet anyone who knew her in America?''	「あなたは、アメリカであなたの奥さんを知ってる人に、誰かお会いになった事はありませんか」
``No.''	「いいえ」
``Did she ever talk of revisiting the place?''	「奥さんは、またアメリカへ行きたいなどと、おっしゃってはいませんか」
``No.''	「いいえ」
``Or get letters from it?''	「でなければ、アメリカから手紙が来ませんか」
``No.''	「私のしってる範囲ではない様です」
``Thank you.	「有難うございました。
I should like to think over the matter a little now.	――ところで、その事件について考えてみなけりアならないんですが、
If the cottage is now permanently deserted we may have some difficulty.	もしその離れ家がそのまま空家になっているとすると、これはちょっと困難な問題ですね。
If, on the other hand, as I fancy is more likely the inmates were warned of your coming and left before you entered yesterday, then they may be back now, and we should clear it all up easily.	しかしその反対に、実はそうあってほしいんですが、もしその離れ家に住んでた人が、あなたのやって来るのを前以って知っていて、きのうあなたが這入って行く前にその離れ家から出ていって、今はまた戻って来ているのだとすると、これは案外容易に片がつくと思うんです。
Let me advise you, then, to return to Norbury and to examine the windows of the cottage again.	――で、それについてあなたにお願いしたいのは、ノーブリーへお帰りになって、もう一度その窓を調べていただきたいんです。
If you have reason to believe that it is inhabited, do not force your way in, but send a wire to my friend and me.	そしてもし確かに誰か中に住んでいるらしいことがお分かりになったら、あなた御自身で中へ這入っていくようなことはなさらないで、私の友人と私に電報を打って下さい。
We shall be with you within an hour of receiving it, and we shall then very soon get to the bottom of the business.''	そうすれば私達は一時間以内にはそこへいって、大いそぎで事件を徹底的に解決してしまうことが出来るでしょう」
``And if it is still empty?''	「もしまだ空家のままでしたら？」
``In that case I shall come out to-morrow and talk it over with you.	「その時については、明日（みょうにち）、またあなたとよく相談しましょう。
Good-bye,	――じアさよなら。
and, above all, do not fret until you know that you really have a cause for it.''	特に確実に根拠をつかんでしまうまでは充分慎重にやって下さい」
``I am afraid that this is a bad business, Watson,''	そうして私の仲間は、グラント・マンロー氏をドアまで見送って帰って来ると、
said my companion as he returned after accompanying Mr. Grant Munro to the door.	「ワトソン君、こいつはちと厄介な事件らしいね。
``What do you make of it?''	どうしたらいいだろう？」
``It had an ugly sound,''	「悪い奴が一人いるね」
I answered.	私は答えた。
``Yes.	「そうだ。
There's blackmail in it,	――脅喝（きょうかつ）している奴がいる。
or I am much mistaken.''	いないとなると僕の非常な思い違いになるんだが……」
``And who is the blackmailer?''	「とすると脅喝（きょうかつ）している奴は何者だろう」
``Well, it must be the creature who lives in the only comfortable room in the place and has her photograph above his fireplace.	「無論、その離れ家の例の気持ちよく飾った寝室だけに住んでる、あの男の妻の肖像を暖炉棚の上に飾っとく男さ。
Upon my word, Watson, there is something very attractive about that livid face at the window,	――僕に云わせると、ワトソン君、窓に現れる例の蒼白い顔に目星をつけるべき何物かがあると思うんだ。
and I would not have missed the case for worlds.''	それにしても事件の真相を誤ってはならないからね」
``You have a theory?''	「で、君には対策があるのかい？」
``Yes, a provisional one.	「ああ、自分だけで考えてるのはあるんだが、
But I shall be surprised if it does not turn out to be correct.	事件が私の考えてる通りにいってくれないと困るんだ。
This woman's first husband is in that cottage.''	――とにかくこの女の最初の夫と云うのが、その例の離れ家の中にいるんだよ」
``Why do you think so?''	「なぜそう思うんだい？」
``How else can we explain her frenzied anxiety that her second one should not enter it?	「だって、今の亭主をその離れ家の中に入れまいとして、彼女が気違いのような騒ぎをしたと云うことについて、僕たちはどう説明したらいいだろう。
The facts, as I read them, are something like this:	僕が想像した所によると、事実はこうなんだよ。
This woman was married in America.	――この女はアメリカで結婚した。
Her husband developed some hateful qualities,	ところがその夫は、何かいやな性質を持っていたんだ。
or shall we say he contracted some loathsome disease and became a leper or an imbecile?	あるいは、何かいやな病にかかった、たとえば癩（らい）病とか痴呆症とか、そんなものになったと云ってもいい。
She flies from him at last, returns to England, changes her name,	彼女はたまらなくなって、亭主から逃げ出して、名前をかえて英国に帰って来たんだ。
and starts her life, as she thinks, afresh.	そして彼女が考えた通りに新しく生活をし直したんだ。
She has been married three years and believes that her position is quite secure,	――彼女は三年間の結婚生活をした、そして誰かの死亡証明書を彼女の今の夫に見せて、自分の位置が怪しくないことを信じさせたのだ。
having shown her husband the death certificate of some man whose name she has assumed,	しかも彼女はその死亡証明書の人間の名前をそのまま名乗っていたんだ。
when suddenly her whereabouts is discovered by her first husband,	――ところが、ふと、彼女の先の夫に、彼女の居場所を見つけられた。
or, we may suppose,	――でなけりゃ、またこうも想像出来るんだ。
by some unscrupulous woman who has attached herself to the invalid.	その病気の男と一しょになった淫奔女（いんほんおんな）があってそれに見つけられたんだ。
They write to the wife and threaten to come and expose her.	そこでその二人は彼女に手紙を書いて、やって来て事実を暴露するぞ、とおどかしたんだね。
She asks for a hundred pounds and endeavours to buy them off.	で彼女は百磅（ポンド）を夫からもらって、それで彼等を追払おうとした。
They come in spite of it,	ところがそれにもかかわらず彼等はやって来た。
and when the husband mentions casually to the wife that there are newcomers in the cottage, she knows in some way that they are her pursuers.	そして彼女の夫が、例の離れ家に新しい人が引越して来たと云って話した時、彼女はそれが彼女の脅迫者たちだと云うことを直感したんだよ。
She waits until her husband is asleep and then she rushes down to endeavour to persuade them to leave her in peace.	で、彼女はその夜（よ）、夫の寝入るのを待って、その離れ家に出かけていって、彼女をそのまま平和にしておいてくれるように彼等を説得しようと努めたんだ。
Having no success, she goes again next morning, and her husband meets her, as he has told us, as she comes out.	しかし成功しなかったので翌朝また出かけていって、その時、彼女の夫が僕たちに話したように、そこから出て来て、パッタリ彼女の夫に出会ったのだ。
She promises him then not to go there again,	そこで、もう再びそこへは行かないと云う約束をすることになった。
but two days afterwards the hope of getting rid of those dreadful neighbours was too strong for her, and she made another attempt,	しかしそれから二日の後（のち）、彼女はこの恐ろしい隣人たちを、どうしても追い払ってしまおうと決心して、もう一つの計画を立てた。
taking down with her the photograph which had probably been demanded from her.	そこで彼女は例の肖像画、
In the midst of this interview the maid rushed in to say that the master had come home,	するとこの間に、女中が追いかけて来て、彼女の夫が帰って来たことを知らせた。
on which the wife, knowing that he would come straight down to the cottage, hurried the inmates out at the back door, into the grove of fir-trees, probably, which was mentioned as standing near.	で彼女は、突嗟（とっさ）に、その女中の話をきいて、これは夫がいきなりこの離れ家にやって来るに相違ないと想像し、いそいでその中の人間を裏口から出して、たぶんそのすぐそばに生えている樅の林の中に這入らせちまったんだ。
In this way he found the place deserted.	――こう云うわけで、あの男が這入っていった時には、家の中は空っぽだったのさ。
I shall be very much surprised, however, if it is still so when he reconnoitres it this evening.	けれど、もしきょうの夕方、あの男がもう一度様子を見にいって、やっぱりまだ空家のままだったら、お目にかかるよ。
What do you think of my theory?''	――君はどう思うね」
``It is all surmise.''	「僕もそう思うよ」
``But at least it covers all the facts.	「とにかく、事件の真相はこうらしいね。
When new facts come to our knowledge which cannot be covered by it, it will be time enough to reconsider it.	しかしもし何か新事実が発見されて、それが僕たちの予想外のことだったとしても、まだもう一度考え直してみる時間は充分あるからね。
We can do nothing more until we have a message from our friend at Norbury.''	――現在としては、ノーブリーへいったあの男から電報の知らせが来るまでは、何もすることはないわけさ」
But we had not a very long time to wait for that.	しかし私たちは長く待つ必要はなかった。
It came just as we had finished our tea.	その電報は、私達がちょうどお茶を飲み終った所へとどいた。
The cottage is still tenanted [ it said ].	――ハナレヤニハマダタレカイル。
Have seen the face again at the window.	レイノカオ、マドニアラワル。
Will meet the seven-o'clock train	七ジノキシヤデオイデマツ。
and will take no steps until you arrive.	ゴトウチヤクマデシゴトニカカラヌ。
He was waiting on the platform when we stepped out,	そして汽車から降りると、彼はプラットフォームで待っていた。
and we could see in the light of the station lamps that he was very pale, and quivering with agitation.	停車場（ていしゃじょう）の明かりで、彼が非常に蒼ざめて、興奮の余りブルブル震えていることが分かった。
``They are still there,	「奴等はまだいるんです。
Mr. Holmes,''	ホームズさん」
said he, laying his hand hard upon my friend's sleeve.	と彼は、私の友達の袖をかたくつかみながら云った。
``I saw lights in the cottage as I came down.	「私がいった時、例の離れ家に明りがついているのを見ました。
We shall settle it now once and for all.''	すぐいって、ひと思いにすっかり解決しちまいましょう」
``What is your plan, then?''	「あなたはどうしたらいいと思いますか」
asked Holmes as he walked down the dark tree-lined road.	とホームズは、暗い並木道（なみきみち）を下（お）りながら云った。
``I am going to force my way in and see for myself who is in the house.	「私はあの家（いえ）の中へ這入って行って、あそこに住んでいた奴を、見つけ出してやろうと思います。
I wish you both to be there as witnesses.''	無論ご一しょに行って下さるでしょうね」
``You are quite determined to do this in spite of your wife's warning that it is better that you should not solve the mystery?''	「あなたは、あなたの奥さんの、この秘密をあばき出さない方がよいと云う忠告を無視しても、そうしようと決心したんですか？」
``Yes, I am determined.''	「ええ、私は断然やります」
``Well,	「結構です。
I think that you are in the right.	当然だと思います。
Any truth is better than indefinite doubt.	不安な疑いは明らかにするに限りますよ。
We had better go up at once.	――すぐ出かけた方がいいでしょう。
Of course, legally, we are putting ourselves hopelessly in the wrong;	もちろん、法律的に云ったら人のうちへ無断で入ると云うことはよくない事です。
but I think that it is worth it.''	しかし、やったっていいと思います」
It was a very dark night,	真暗（まっくら）な晩だった。
and a thin rain began to fall as we turned from the highroad into a narrow lane,	そして広い道から狭い道へ曲った頃から雨が降り始めた。
deeply rutted, with hedges on either side.	その狭い道には、轍（わだち）の跡が幾本も入り乱れて、深くついていた。
Mr. Grant Munro pushed impatiently forward, however,	けれども、グラント・マンロー氏は、もどかしそうに、ぐんぐん歩いて行った。
and we stumbled after him as best we could.	そして私たちも、出来るだけ早く彼の後（あと）に従った。
``There are the lights of my house,''	「あそこに、私のうちの灯りが見えます」
he murmured, pointing to a glimmer among the trees.	と彼は木の間に、ちらちらしている光りを指して云った。
``And here is the cottage which I am going to enter.''	「それから私たちが、目指している離れ家はこれです」
We turned a corner in the lane as he spoke, and there was the building close beside us.	彼はそう云いながら、細い道を一つ曲ると、私達のすぐ側に建物があらわれた。
A yellow bar falling across the black foreground showed that the door was not quite closed,	真暗（まっくら）な前庭（ぜんてい）を横切って、黄色いすじが、なげられていて、入口の扉がしっかりしめられていない事を物語っていた。
and one window in the upper story was brightly illuminated.	そして二階の一つの窓には、あかあかと灯りがついていた。
As we looked, we saw a dark blur moving across the blind.	私達が見上げた時、私達は一つの黒い影が、そこを横切ったのを見た。
``There is that creature!''	「あそこに、例の奴がいるんです」
cried Grant Munro.	と、グラント・マンローが叫んだ。
``You can see for yourselves that someone is there.	「あなたもあそこに、誰がいるのかわかるでしょう。
Now follow me,	――さあ、ついて来て下さい。
and we shall soon know all.''	私達はじきに、総てのことを解決してやるんだ」
We approached the door,	私達は入口に近寄って行った。
but suddenly a woman appeared out of the shadow and stood in the golden track of the lamplight.	と、その時不意に、一人の女がうちの中から現らわれて、ランプの黄金色（こがねいろ）の光を背にして立った。
I could not see her face in the darkness, but her arms were thrown out in an attitude of entreaty.	その女の顔は暗くて見えなかったけれど、何か哀願するらしく、両手でおがんでいるのが分かった。
``For God's sake, don't,	「どうか、お願いですから止めて下さい。
Jack!''	ジャック」
she cried.	と、彼女は叫んだ。
``I had a presentiment that you would come this evening.	「あなたがきょうの夕方ここへいらっしゃることを、私ちゃんと知っていたの。
Think better of it, dear!	――ね、ようく考えてちょうだい。
Trust me again, and you will never have cause to regret it.''	もう一度私の云うことを信じて、あとで悲しまなければならないような原因を作らないでちょうだい」
``I have trusted you too long, Effie,''	「俺はお前を信じすぎていた、エフィ」
he cried sternly.	彼は厳然として叫んだ。
``Leave go of me!	「あっちへ行ってくれ！
I must pass you.	君にかまっちゃあいられないんだ。
My friends and I are going to settle this matter once and forever!''	私達はこの事件を一思いに解決してしまうのだ」
He pushed her to one side,	彼は彼女を片方におしやった。
and we followed closely after him.	そして私達はすぐ彼につづいた。
As he threw the door open an old woman ran out in front of him and tried to bar his passage,	彼が扉（ドア）をひきあけると中年の婦人が、彼の前に飛び出して来て、通り道をふさごうとした。
but he thrust her back,	しかし彼は彼女を後（うしろ）へおしやった。
and an instant afterwards we were all upon the stairs.	そしてたちまち私達は二階に、かけ上（あが）った。
Grant Munro rushed into the lighted room at the top,	グラント・マンローは、二階の、灯りのついた部屋にとび込んで行った。
and we entered at his heels.	私達もそれに従った。
It was a cosy, well-furnished apartment, with two candles burning upon the table and two upon the mantelpiece.	それは気持ちよさそうに飾られた部屋で、テーブルの上に二本、暖炉棚の上に二本、ローソクが灯されていた。
In the corner, stooping over a desk, there sat what appeared to be a little girl.	隅の方に、小さな娘らしく見える女が、机に寄りかかって坐っていた。
Her face was turned away as we entered,	彼女は私達が入って行った刹那顔を向うにむけてしまった。
but we could see that she was dressed in a red frock, and that she had long white gloves on.	けれども私達は、彼女が赤い着物を着て長い白い手袋をはめている事がわかった。
As she whisked round to us, I gave a cry of surprise and horror.	がやがて、彼女が私達の方を振り向いた時、私は驚きと恐れのさけび声をあげた。
The face which she turned towards us was of the strangest livid tint,	彼女が私達の方に振り向けたその顔は、何とも云えない、死人そっくりの色であった。
and the features were absolutely devoid of any expression.	そしてその顔には、表情と言うものは全くなかった。
An instant later the mystery was explained.	――しかしほどなく、謎はとかれた。
Holmes, with a laugh, passed his hand behind the child's ear, a mask peeled off from her countenance,	ホームズは笑いながら、その子供の耳の後（うしろ）に、彼の手をやって、その顔から面をはぎ取った。
and there was a little coal-black negress,	すると石炭のように真黒（まっくろ）い顔をした、小さな黒ン坊の女の顔が現われた。
with all her white teeth flashing in amusement at our amazed faces.	それは、私達の驚いた顔を見て、面白そうに白い歯を光らせていた。
I burst out laughing, out of sympathy with her merriment;	私はその女の愉快そうなのに、つられて笑ってしまった。
but Grant Munro stood staring, with his hand clutching his throat.	けれども、グラント・マンローは彼の手で咽喉（のど）をつかんだままじっと見つめて立っていた。
``My God!''	「一体これはどうしたと云うんだ」
he cried.	と、彼は叫んだ。
``I will tell you the meaning of it,''	「その訳を申し上げましょう」
cried the lady, sweeping into the room with a proud, set face.	と、ツンとすまして、こわばった表情をして、エフィは部屋の中に忍び込んで来ながらさけんだ。
``You have forced me, against my own judgment, to tell you,	「しゃべるまいと思っていたのに、とうとう話させられる様なことに、なってしまいました。
and now we must both make the best of it.	けれど今こそ、私達は最善の方法でそれを解決しなければなりません。
My husband died at Atlanta.	――私の夫はアトランタで死んだのです。
My child survived.''	そして私の子供は生きながらえました」
``Your child?''	「お前の子供！」
She drew a large silver locket from her bosom.	彼女は彼女の懐から小さな箱を引き出した。
``You have never seen this open.''	「あなたはこの箱を開けて御（ご）らんになったことはありませんね」
``I understood that it did not open.''	「それは開かないものだと思っていたよ」
She touched a spring, and the front hinged back.	彼女はバネを押して蓋を開けた。
There was a portrait within of a man strikingly handsome and intelligent-looking,	するとその中から
but bearing unmistakable signs upon his features of his African descent.	しかしその表情の中には、疑いもなくアフリカ人系統の容貌が現らわれていた。
``That is John Hebron, of Atlanta,''	「これがアトランタにいた、ジョン・ヘブロンです」
said the lady,	と彼女は云った。
``and a nobler man never walked the earth.	「この人より上品な人はありません。
I cut myself off from my race in order to wed him,	私は彼と結婚するために、私の一族と義絶しました。
but never once while he lived did I for an instant regret it.	でも彼が生きている間は、一瞬間でもそれを後悔したことはございませんでしたの、
It was our misfortune that our only child took after his people rather than mine.	――けれど、私達のこの子供だけが、私の子供としてよりも、むしろ彼の人種の後継として残ったと云うことは、私共の不幸でございました。
It is often so in such matches,	こう云うことは、こう云う結婚にはよくあることには違いありません。
and little Lucy is darker far than ever her father was.	でも可愛（かあ）いいルーシーは彼女の父親より、もっと色が黒いんですの。
But dark or fair,	だけど黒くっても可愛いい。
she is my own dear little girlie,	――彼女は私の可愛いい可愛いい娘ですもの。
and her mother's pet.''	そして彼女の母親のペットですもの」
The little creature ran across at the words and nestled up against the lady's dress.	彼女がこう云い終った時、その小さな娘は飛んで来て彼女の着物にまつわりついた。
``When I left her in America,''	「私が彼女をアメリカへ残して来たのは……」
she continued,	と彼女は言葉をついだ。
``it was only because her health was weak, and the change might have done her harm.	「ただ、彼女の健康がすぐれなくて、彼女に万一のことがあってはならないと思ったからだけですもの。
She was given to the care of a faithful Scotch woman who had once been our servant.	で彼女は前に私共の女中だった信用の出来る、スコットランド人の婦人に、世話を頼んでおきました。
Never for an instant did I dream of disowning her as my child.	私はたとえ、一瞬間でも彼女を捨てよう等と夢想したこともありませんでしたわ。
But when chance threw you in my way, Jack, and I learned to love you, I feared to tell you about my child.	けれどもたまたまあなたと云うものが私の前に現らわれて、私があなたを恋する様になった時、あなたに私の子供のことをお話しかねたのです。
God forgive me,	どうか私を勘弁して下さいね。
I feared that I should lose you,	私、あなたに捨てられるのが恐ろしかったの。
and I had not the courage to tell you.	そしてあなたにお話するだけの勇気が持てなかったの。
I had to choose between you, and in my weakness I turned away from my own little girl.	私はあなたと私の子供と、どちらかを選ばなければならなくなった時、私の弱さは私の可愛いい子供から私をそむかせて、あなたを選らばせてしまったんです。
For three years I have kept her existence a secret from you, but I heard from the nurse, and I knew that all was well with her.	――三年の間（あいだ）私は彼女のあると云う事を、あなたには秘密にしていましたけれど、彼女が無事に育っていると云う事は乳母（うば）から聞いて知っておりました。
At last, however, there came an overwhelming desire to see the child once more.	けれどどうしても、一度だけ子供を見たくてたまらなくなりましたの。
I struggled against it, but in vain.	私はそんなことをしてはならないと思いましたが、やっぱり駄目でした。
Though I knew the danger, I determined to have the child over, if it were but for a few weeks.	私は危険だと云うことを知ってはいましたけれど、たとえ二三週間の間だけでもいいから、子供を呼び寄せようと決心しました。
I sent a hundred pounds to the nurse,	私は乳母に百磅（ポンド）送ってやりました。
and I gave her instructions about this cottage, so that she might come as a neighbour, without my appearing to be in any way connected with her.	そしてこの離家（はなれや）のことを教えてやって、私と彼女と何の関係もない様な振りをして、ここにやって来させました。
I pushed my precautions so far as to order her to keep the child in the house during the daytime, and to cover up her little face and hands	そうして昼間のうちは子供を家（いえ）の中に閉じ込めておいて彼女の小さな顔にも手にも覆いものをしておく様に云いつけたほど、用心深くさせました。
so that even those who might see her at the window should not gossip about there being a black child in the neighbourhood.	それは、誰かが窓から彼女を見ても、隣りに黒ン坊の子供がいる等と云う噂を立てさせたくなかったからなんです。
If I had been less cautious I might have been more wise, but I was half crazy with fear that you should learn the truth.	もし私がもっと悧巧（りこう）だったらそんなに用心深くはしなかったんでしょうが、私はあなたにこの事実を知られたくないと云う恐れで半分気がどうかしていたんですわ。
It was you who told me first that the cottage was occupied.	――あの離家に誰か来たと初めて私に話して下さったのはあなたでしたわね。
I should have waited for the morning,	私朝まで待とうと思ったんですのよ。
but I could not sleep for excitement,	けれど昂奮してどうしても寝られなかったの。
and so at last I slipped out, knowing how difficult it is to awake you.	それで私、あなたの目を醒（さま）さない様にするにはどんなにむずかしいかと云う事はよく知っていましたけれど、とうとう抜け出したんですわ、
But you saw me go,	ところがあなたは私の行くのを見ていらした。
and that was the beginning of my troubles.	そしてそれが私達の事件のはじまりでした。
Next day you had my secret at your mercy,	――その翌日、私はあなたに私の秘密をきかれました。
but you nobly refrained from pursuing your advantage.	が、あなたはそれをしつこくおききになりませんでした。
Three days later, however,	けれどそれから三日目のことです。
the nurse and child only just escaped from the back door as you rushed in at the front one.	あなたが表口（おもてぐち）から飛び込んで来られた時、やっとのことで乳母と子供とを裏口から逃がしたのは。
And now to-night you at last know all,	――でも、今夜はとうとう何もかもあからさまになってしまいました。
and I ask you what is to become of us, my child and me? ``	これから私たち――、私の子供と私とは、どんな風にでもなりますわ、それをおっしゃって下さい」
She clasped her hands and waited for an answer.	彼女は両手をかたく握り合せて、彼女の夫の言葉を待った。
It was a long ten minutes	二分間ばかり経った。
before Grant Munro broke the silence,	そしてグラント・マンローは沈黙を破った。
and when his answer came it was one of which I love to think.	その彼が返事をした瞬間は、私が考え起すことのすきな時である。
He lifted the little child, kissed her,	――彼はその可愛（かあい）い子供を抱き上げると、接吻（せっぷん）した。
and then, still carrying her, he held his other hand out to his wife and turned towards the door.	そしてそれから、静かに子供を抱いたまま、他（た）の片方の手を彼の妻のほうにさし出しながら、戸口のほうへ向き返った。
``We can talk it over more comfortably at home,''	「私たちは、うちへいってもっともっと気持ちよく話し合おう」
said he.	と彼は云った。
``I am not a very good man, Effie,	「私はあまりいい人間じゃなかった、ねえエフィ。
but I think that I am a better one than you have given me credit for being.''	けれど私は、お前が信じていてくれたよりは、もう少しいい人間だと思っているよ………」
Holmes and I followed them down the lane,	ホームズと私とは彼等について、例の細い路（みち）を下（くだ）っていった。
and my friend plucked at my sleeve as we came out.	私の友達はそこまで来ると、私の袖を引っぱった。
``I think,''	そして
said he,	「ねえ君、もう僕たちはノーブリーにいるよりもロンドンに帰ったほうがよさそうだね」
``that we shall be of more use in London than in Norbury.''	と云った。
Not another word did he say of the case until late that night, when he was turning away, with his lighted candle, for his bedroom.	こうしてその日は、夜更けて、蝋燭を灯しながら寝台に行くまで、ホームズはもう再びものを云わなかった。
``Watson,''	「ワトソン君」
said he,	と、彼は寝室にいってからこう云った。
``if it should ever strike you that I am getting a little overconfident in my powers, or giving less pains to a case than it deserves, kindly whisper `Norbury' in my ear,	「これからもし私が、余り自分の力に頼りすぎていると、君が気づいた時は、そしてまた、事件を余り考えないで扱おうとしているような様子が目についたら、どうか遠慮なく、私の耳へ「ノーブリー」とささやいてくれたまえ。
and I shall be infinitely obliged to you.''	そうすれば、僕は君に永久に恩をきるよ……」
